identity,role,filename,file_sha256,rows_after_discard,columns,retained_duration_seconds,sampling_hz,median_event_count,minimum_event_count,maximum_event_count,median_period_seconds,period_q25_seconds,period_q75_seconds,median_valid_period_fraction,minimum_valid_period_fraction,median_phase_backtrack_fraction,maximum_phase_backtrack_fraction,median_threshold_span
coupled_0,coupled_sweep,oc091818_28.lvm,2445937f8c0faf438f5ff9f40e4cbcaaddbe6a285f990a1c3cb0761ba46009cc,38100,80,190.495,200.0,74.5,71,78,2.456210317460317,2.452499613959219,2.6407086807700217,1.0,1.0,0.0,0.0,0.023320999999999995
coupled_50,coupled_sweep,oc091818_39.lvm,e7dbd1bf00dff1f578baf8ee43d9a30dda6ab9bc07939773c01bb51609f25f72,38100,80,190.495,200.0,75.5,73,78,2.4653864321423384,2.461726495726489,2.5956091644918926,1.0,1.0,0.0,0.0,0.023645000000000006
coupled_100,coupled_sweep,oc091818_41.lvm,024f56d31a112b6f008ac219b16d58b0965044a141dd45933582d6058d463957,38100,80,190.495,200.0,76.5,76,77,2.487458333333329,2.466951308472008,2.5067425929632137,1.0,1.0,0.0,0.0,0.024778499999999995
coupled_150,coupled_sweep,oc091818_42.lvm,c08a07c62c1f147944b677ab337c25d12c541c59b2b957401bb043e7917c7ac3,38100,80,190.495,200.0,77.0,77,78,2.4596582723254743,2.4583331187778996,2.460652959634981,1.0,1.0,0.0,0.0,0.027370000000000005
coupled_170,coupled_sweep,oc091818_43.lvm,4919acecf1e86a6c4a216fa0199f2bd8c8fc1a58a165c83adbcdc77c92ea4c56,38100,80,190.495,200.0,77.0,77,78,2.448828505160998,2.448333333333343,2.4494444444444508,1.0,1.0,0.0,0.0,0.027371999999999994
coupled_190,coupled_sweep,oc091818_45.lvm,4c5b5c76388caff55bbad62fab9032fa70d6d25bdb486926b9f0ff7ab5d3ef67,38100,80,190.495,200.0,78.0,78,78,2.4263953161968317,2.4252470238095274,2.4275178571428597,1.0,1.0,0.0,0.0,0.029067500000000003
coupled_240,coupled_sweep,oc091818_46.lvm,2552d7c944be1fab943c5bebda16f7f11c598f643ad89653e83fc5f44309465f,38100,80,190.495,200.0,79.5,78,81,2.38919368674469,2.3665106147752026,2.4182280418784536,1.0,0.987012987012987,0.0,0.0,0.0288275
coupled_290,coupled_sweep,oc091818_50.lvm,c99a36639ee9e5f3761de11dd71f1267bf629ca02e111383a4788a1dc439c5cc,38100,80,190.495,200.0,80.5,78,82,2.3643123801233656,2.323904962243038,2.408964654605443,1.0,1.0,0.0,0.0,0.031499
coupled_340,coupled_sweep,oc091818_51.lvm,0e0b78f3dee6742dc6fbafc92b27ef1e494969e724b8c61437ac9971ec4a4ec2,38100,80,190.495,200.0,80.5,79,82,2.3574054179532187,2.3090314469332895,2.4072834965263636,1.0,1.0,0.0,0.0,0.032711000000000004
uncoupled_1000,uncoupled_source,oc032118_4.lvm,5b6f5faa74fa9a92000f5636aa123f9e7aae33b6c99a8ee24de7f67421e14116,18100,80,90.495,200.0,23.0,21,25,3.815684845094455,3.7313390494044993,3.9213163338481873,1.0,0.0,0.0,0.0,0.01991799999999999
uncoupled_1150,uncoupled_source,oc032118_8.lvm,eaa9878416aa59aad7b725169cf0717d907b19d029f7927321c9d6ad4540dc4c,18100,80,90.495,200.0,28.0,26,30,3.206249999999997,3.147470238095236,3.299704372736492,1.0,1.0,0.0,0.0,0.023484999999999978
