magnet_id,u,v,video_x_px,video_y_px
1,0.0,0.0,176.78846948780097,128.59549197722112
2,0.2,0.0,209.79014363137296,127.86241476289213
3,0.4,0.0,242.79181777494495,127.12933754856314
4,0.6000000000000001,0.0,275.7934919185169,126.39626033423414
5,0.8,0.0,308.7951660620889,125.66318311990516
6,1.0,0.0,341.7968402056609,124.93010590557617
7,0.1,0.25,192.46592017316752,159.53992125047517
8,0.30000000000000004,0.25,225.4675943167395,158.80684403614617
9,0.5,0.25,258.46926846031147,158.07376682181717
10,0.7000000000000001,0.25,291.4709426038835,157.3406896074882
11,0.9,0.25,324.47261674745545,156.60761239315923
12,0.0,0.5,175.14169671496214,191.2174277380582
13,0.2,0.5,208.14337085853413,190.48435052372923
14,0.4,0.5,241.14504500210612,189.75127330940023
15,0.6000000000000001,0.5,274.14671914567805,189.01819609507123
16,0.8,0.5,307.14839328925007,188.28511888074223
17,1.0,0.5,340.150067432822,187.55204166641326
18,0.1,0.75,190.8191474003287,222.16185701131224
19,0.30000000000000004,0.75,223.82082154390068,221.42877979698326
20,0.5,0.75,256.82249568747267,220.6957025826543
21,0.7000000000000001,0.75,289.8241698310447,219.9626253683253
22,0.9,0.75,322.82584397461665,219.2295481539963
23,0.0,1.0,173.4949239421233,253.8393634988953
24,0.2,1.0,206.4965980856953,253.1062862845663
25,0.4,1.0,239.4982722292673,252.37320907023732
26,0.6000000000000001,1.0,272.49994637283925,251.64013185590832
27,0.8,1.0,305.50162051641126,250.90705464157935
28,1.0,1.0,338.5032946599832,250.17397742725035
