delta_r,filename,sha256,rows_after_10s,columns,sampling_hz,raw_min,raw_max,pair,events,cycles,train_cycles,test_cycles,a_q05,a_q95,b_q05,b_q95
0,oc091818_28.lvm,2445937f8c0faf438f5ff9f40e4cbcaaddbe6a285f990a1c3cb0761ba46009cc,38100.0,80.0,200.0,0.048034,0.283693,,,,,,,,,
0,,,,,,,,1.0,71.0,70.0,42.0,28.0,0.076098,0.22468819999999978,0.063097,0.252434
0,,,,,,,,2.0,71.0,70.0,42.0,28.0,0.073669,0.21941,0.061154,0.24547
0,,,,,,,,3.0,71.0,70.0,42.0,28.0,0.071564,0.21229209999999987,0.057104,0.248709
0,,,,,,,,4.0,71.0,70.0,42.0,28.0,0.073669,0.217304,0.060668,0.243202
0,,,,,,,,5.0,71.0,70.0,42.0,28.0,0.074479,0.220867,0.064231,0.255997
0,,,,,,,,6.0,72.0,71.0,42.0,29.0,0.071564,0.21549059999999987,0.056295,0.247413
0,,,,,,,,7.0,71.0,70.0,42.0,28.0,0.073508,0.21941,0.060344,0.243364
0,,,,,,,,8.0,71.0,70.0,42.0,28.0,0.073831,0.218114,0.060506,0.242068
0,,,,,,,,9.0,71.0,70.0,42.0,28.0,0.074803,0.222162,0.055485,0.241744
0,,,,,,,,10.0,71.0,70.0,42.0,28.0,0.076746,0.231393,0.055485,0.24304
0,,,,,,,,11.0,71.0,70.0,42.0,28.0,0.07626,0.229288,0.060992,0.244822
0,,,,,,,,12.0,71.0,70.0,42.0,28.0,0.07626,0.223944,0.065203,0.259075
0,,,,,,,,13.0,71.0,70.0,42.0,28.0,0.075451,0.224106,0.055323,0.24456279999999964
0,,,,,,,,14.0,71.0,70.0,42.0,28.0,0.074479,0.219086,0.061477,0.247251
0,,,,,,,,15.0,71.0,70.0,42.0,28.0,0.074641,0.219086,0.061801,0.248385
0,,,,,,,,16.0,71.0,70.0,42.0,28.0,0.073669,0.217142,0.056133,0.244498
0,,,,,,,,17.0,71.0,70.0,42.0,28.0,0.074641,0.22293959999999988,0.054675,0.237209
0,,,,,,,,18.0,71.0,70.0,42.0,28.0,0.073831,0.219733,0.054837,0.240934
0,,,,,,,,19.0,71.0,70.0,42.0,28.0,0.073831,0.2198545,0.060182,0.242716
0,,,,,,,,20.0,71.0,70.0,42.0,28.0,0.070269,0.21173419999999976,0.058724,0.25609419999999977
0,,,,,,,,21.0,71.0,70.0,42.0,28.0,0.073022,0.215685,0.056133,0.246441
0,,,,,,,,22.0,71.0,70.0,42.0,28.0,0.074479,0.2226075,0.06002,0.241906
0,,,,,,,,23.0,71.0,70.0,42.0,28.0,0.073669,0.216009,0.055485,0.245065
0,,,,,,,,24.0,71.0,70.0,42.0,28.0,0.07124,0.213742,0.060344,0.244012
0,,,,,,,,25.0,71.0,70.0,42.0,28.0,0.073346,0.21873769999999979,0.06083,0.245146
0,,,,,,,,26.0,71.0,70.0,42.0,28.0,0.072212,0.216819,0.05759,0.253082
0,,,,,,,,27.0,71.0,70.0,42.0,28.0,0.075127,0.22281,0.060506,0.242392
0,,,,,,,,28.0,72.0,71.0,42.0,29.0,0.07205,0.216333,0.061154,0.24586590000000014
0,,,,,,,,29.0,71.0,70.0,42.0,28.0,0.074479,0.222162,0.060668,0.244174
0,,,,,,,,30.0,71.0,70.0,42.0,28.0,0.075127,0.226535,0.06083,0.24357459999999986
0,,,,,,,,31.0,71.0,70.0,42.0,28.0,0.075289,0.22476919999999978,0.054999,0.241582
0,,,,,,,,32.0,71.0,70.0,42.0,28.0,0.071564,0.214552,0.059858,0.24142
0,,,,,,,,33.0,71.0,70.0,42.0,28.0,0.071726,0.214552,0.054027,0.23645569999999977
0,,,,,,,,34.0,71.0,70.0,42.0,28.0,0.077232,0.22736019999999976,0.054837,0.24223
0,,,,,,,,35.0,71.0,70.0,42.0,28.0,0.075613,0.221029,0.060182,0.24304
