medium,event,quadrants_qualifying,child_Ab_bins,child_aB_bins,child_bA_bins,child_Ba_bins,pre_storage,post_storage,storage_drop,near_drop_max_x_F,reconnect_relative_row,child_tension_pass,parent_quadrants_qualifying,parent_handover_relative_row,parent_handover_step,parent_pass
dry,1,2,131,2430,0,0,1.6422585586884808,1.2307967452686353,0.41146181341984556,1.9893499726779769,129,False,4,383.0,1.8848676218106142,False
dry,2,2,132,2429,0,0,1.905001825823705,1.298168191382341,0.6068336344413638,1.981946114996049,130,False,4,383.0,1.9185072578292877,False
dry,3,2,131,2430,0,0,1.99847615250714,1.3211041312967409,0.6773720212103991,1.9852168355707596,130,False,4,-1.0,2.013640727726352,True
dry,4,2,133,2428,0,0,2.0,1.3424218181026437,0.6575781818973563,1.988148456592293,130,False,4,-1.0,1.999999999999821,True
dry,5,2,131,2430,0,0,2.0,1.3164331130368723,0.6835668869631277,1.9865601625972515,130,False,4,-1.0,2.039607805436842,True
dry,6,2,133,2428,0,0,2.0,1.2886737309736644,0.7113262690263356,1.9907622042505084,131,False,4,-1.0,1.9999999999997762,True
dry,7,2,132,2429,0,0,2.0,1.2678658136712282,0.7321341863287718,1.9883350873308145,130,False,4,-1.0,1.999999999999824,True
dry,8,2,135,2426,0,0,1.9898927602882148,1.2544711463947211,0.7354216138934937,1.9890286635677823,131,False,4,383.0,1.8370804138006636,False
dry,9,2,132,2429,0,0,1.9574261121726013,1.2591196729797778,0.6983064391928235,1.992571827199272,130,False,4,383.0,1.8300887809392508,False
dry,10,2,132,2429,0,0,1.9623623261398784,1.2801881524646548,0.6821741736752236,1.9920074736273155,130,False,4,383.0,1.8583556797763146,False
fluid,1,2,176,2385,0,0,1.7453841446610416,1.4026583197010822,0.3427258249599594,1.9999325905177738,130,False,4,383.0,1.997954298341441,False
fluid,2,2,170,2391,0,0,1.8616550593103693,1.462790044823542,0.3988650144868273,1.9999553769354148,129,False,4,383.0,2.00923004504891,False
fluid,3,2,152,2409,0,0,1.9776000051300053,1.5263781382515549,0.45122186687845045,1.9998801963918504,129,False,4,383.0,2.0361152143163377,False
fluid,4,2,145,2416,0,0,2.0,1.5871977963798,0.4128022036201999,1.9994965316887754,130,False,4,-177.0,1.9999999999909226,False
fluid,5,2,136,2425,0,0,2.0,1.6191030767927006,0.3808969232072994,1.998755961625389,130,False,4,-33.0,1.9999999999981297,True
