rung,role,landmark,cross_index,cross_time_s,lead_ms
-2,grandchild,0.5,22106,7774.66237,16.000000000531145
-2,grandchild,0.75,22110,7774.67037,8.00000000072032
-2,grandchild,1.0,22113,7774.67637,2.0000000004074536
-1,child,0.5,22107,7774.66437,14.000000000123691
-1,child,0.75,22112,7774.674370000001,3.9999999999054126
-1,child,1.0,22114,7774.6783700000005,0.0
0,current,0.5,22110,7774.67037,8.00000000072032
0,current,0.75,22113,7774.67637,2.0000000004074536
0,current,1.0,22115,7774.68037,-1.999999999497959
1,parent,0.5,22112,7774.674370000001,3.9999999999054126
1,parent,0.75,22115,7774.68037,-1.999999999497959
1,parent,1.0,22119,7774.68837,-9.999999999308784
2,grandparent,0.5,22113,7774.67637,2.0000000004074536
2,grandparent,0.75,22116,7774.68237,-3.9999999999054126
2,grandparent,1.0,22126,7774.70237,-23.999999999432475
