# Time  Stress
 2493.4443 0.446
 2493.5439 0.446
 2493.6436 0.446
 2493.7432 0.446
 2493.8428 0.446
 2493.9424 0.446
 2494.0420 0.446
 2494.1416 0.446
 2494.2412 0.446
 2494.3408 0.446
 2494.4404 0.446
 2494.5400 0.446
 2494.6396 0.446
 2494.7393 0.446
 2494.8389 0.446
 2494.9385 0.446
 2495.0381 0.445
 2495.1377 0.445
 2495.2373 0.445
 2495.3369 0.446
 2495.4365 0.446
 2495.5361 0.446
 2495.6357 0.446
 2495.7354 0.446
 2495.8350 0.446
 2495.9346 0.446
 2496.0342 0.446
 2496.1338 0.446
 2496.2334 0.447
 2496.3330 0.447
 2496.4326 0.447
 2496.5322 0.447
 2496.6318 0.447
 2496.7314 0.447
 2496.8311 0.447
 2496.9307 0.447
 2497.0303 0.447
 2497.1299 0.447
 2497.2295 0.447
 2497.3291 0.447
 2497.4287 0.447
 2497.5283 0.447
 2497.6279 0.447
 2497.7275 0.447
 2497.8271 0.447
 2497.9268 0.447
 2498.0264 0.447
 2498.1260 0.447
 2498.2256 0.447
 2498.3252 0.447
 2498.4248 0.447
 2498.5244 0.447
 2498.6240 0.447
 2498.7236 0.446
 2498.8232 0.447
 2498.9229 0.447
 2499.0225 0.447
 2499.1221 0.447
 2499.2217 0.447
 2499.3213 0.447
 2499.4209 0.448
 2499.5205 0.448
 2499.6201 0.448
 2499.7197 0.448
 2499.8193 0.448
 2499.9189 0.448
 2500.0186 0.448
 2500.1182 0.448
 2500.2178 0.448
 2500.3174 0.448
 2500.4170 0.448
 2500.5166 0.448
 2500.6162 0.448
 2500.7158 0.448
 2500.8154 0.448
 2500.9150 0.448
 2501.0146 0.448
 2501.1143 0.448
 2501.2139 0.448
 2501.3135 0.448
 2501.4131 0.449
 2501.5127 0.449
 2501.6123 0.449
 2501.7119 0.449
 2501.8115 0.449
 2501.9111 0.449
 2502.0107 0.449
 2502.1104 0.449
 2502.2100 0.449
 2502.3096 0.449
 2502.4092 0.449
 2502.5088 0.449
 2502.6084 0.449
 2502.7080 0.449
 2502.8076 0.449
 2502.9072 0.449
 2503.0068 0.449
 2503.1064 0.449
 2503.2061 0.449
 2503.3057 0.449
 2503.4053 0.449
 2503.5049 0.449
 2503.6045 0.449
 2503.7041 0.449
 2503.8037 0.449
 2503.9033 0.449
 2504.0029 0.449
 2504.1025 0.449
 2504.2021 0.449
 2504.3018 0.449
 2504.4014 0.449
 2504.5010 0.449
 2504.6006 0.449
 2504.7002 0.449
 2504.7998 0.449
 2504.8994 0.449
 2504.9990 0.448
 2505.0986 0.448
 2505.1982 0.448
 2505.2979 0.449
 2505.3975 0.449
 2505.4971 0.449
 2505.5967 0.449
 2505.6963 0.449
 2505.7959 0.449
 2505.8955 0.449
 2505.9951 0.449
 2506.0947 0.450
 2506.1943 0.450
 2506.2939 0.450
 2506.3936 0.450
 2506.4932 0.450
 2506.5928 0.450
 2506.6924 0.450
 2506.7920 0.450
 2506.8916 0.450
 2506.9912 0.450
 2507.0908 0.450
 2507.1904 0.450
 2507.2900 0.450
 2507.3896 0.450
 2507.4893 0.450
 2507.5889 0.450
 2507.6885 0.449
 2507.7881 0.449
 2507.8877 0.449
 2507.9873 0.449
 2508.0869 0.449
 2508.1865 0.449
 2508.2861 0.450
 2508.3857 0.450
 2508.4854 0.450
 2508.5850 0.450
 2508.6846 0.450
 2508.7842 0.450
 2508.8838 0.451
 2508.9834 0.451
 2509.0830 0.451
 2509.1826 0.451
 2509.2822 0.451
 2509.3818 0.451
 2509.4814 0.451
 2509.5811 0.451
 2509.6807 0.451
 2509.7803 0.451
 2509.8799 0.451
 2509.9795 0.451
 2510.0791 0.451
 2510.1787 0.450
 2510.2783 0.450
 2510.3779 0.450
 2510.4775 0.450
 2510.5771 0.450
 2510.6768 0.450
 2510.7764 0.450
 2510.8760 0.450
 2510.9756 0.450
 2511.0752 0.450
 2511.1748 0.451
 2511.2744 0.451
 2511.3740 0.451
 2511.4736 0.451
 2511.5732 0.451
 2511.6729 0.451
 2511.7725 0.451
 2511.8721 0.451
 2511.9717 0.451
 2512.0713 0.451
 2512.1709 0.451
 2512.2705 0.451
 2512.3701 0.451
 2512.4697 0.451
 2512.5693 0.451
 2512.6689 0.451
 2512.7686 0.451
 2512.8682 0.451
 2512.9678 0.451
 2513.0674 0.451
 2513.1670 0.450
 2513.2666 0.451
 2513.3662 0.451
 2513.4658 0.451
 2513.5654 0.451
 2513.6650 0.451
 2513.7646 0.451
 2513.8643 0.451
 2513.9639 0.452
 2514.0635 0.452
 2514.1631 0.452
 2514.2627 0.452
 2514.3623 0.452
 2514.4619 0.452
 2514.5615 0.452
 2514.6611 0.452
 2514.7607 0.452
 2514.8604 0.452
 2514.9600 0.452
 2515.0596 0.452
 2515.1592 0.452
 2515.2588 0.452
 2515.3584 0.453
 2515.4580 0.453
 2515.5576 0.453
 2515.6572 0.453
 2515.7568 0.453
 2515.8564 0.453
 2515.9561 0.453
 2516.0557 0.453
 2516.1553 0.453
 2516.2549 0.453
 2516.3545 0.453
 2516.4541 0.453
 2516.5537 0.453
 2516.6533 0.453
 2516.7529 0.452
 2516.8525 0.452
 2516.9521 0.452
 2517.0518 0.452
 2517.1514 0.452
 2517.2510 0.452
 2517.3506 0.452
 2517.4502 0.452
 2517.5498 0.453
 2517.6494 0.453
 2517.7490 0.453
 2517.8486 0.453
 2517.9482 0.453
 2518.0479 0.453
 2518.1475 0.453
 2518.2471 0.453
 2518.3467 0.453
 2518.4463 0.453
 2518.5459 0.453
 2518.6455 0.453
 2518.7451 0.453
 2518.8447 0.453
 2518.9443 0.454
 2519.0439 0.453
 2519.1436 0.453
 2519.2432 0.453
 2519.3428 0.453
 2519.4424 0.453
 2519.5420 0.453
 2519.6416 0.453
 2519.7412 0.453
 2519.8408 0.453
 2519.9404 0.453
 2520.0400 0.453
 2520.1396 0.453
 2520.2393 0.453
 2520.3389 0.453
 2520.4385 0.453
 2520.5381 0.453
 2520.6377 0.454
 2520.7373 0.454
 2520.8369 0.454
 2520.9365 0.454
 2521.0361 0.454
 2521.1357 0.454
 2521.2354 0.454
 2521.3350 0.454
 2521.4346 0.454
 2521.5342 0.454
 2521.6338 0.454
 2521.7334 0.454
 2521.8330 0.454
 2521.9326 0.454
 2522.0322 0.454
 2522.1318 0.454
 2522.2314 0.455
 2522.3311 0.455
 2522.4307 0.455
 2522.5303 0.455
 2522.6299 0.455
 2522.7295 0.455
 2522.8291 0.455
 2522.9287 0.455
 2523.0283 0.455
 2523.1279 0.455
 2523.2275 0.455
 2523.3271 0.454
 2523.4268 0.454
 2523.5264 0.454
 2523.6260 0.454
 2523.7256 0.454
 2523.8252 0.454
 2523.9248 0.454
 2524.0244 0.454
 2524.1240 0.454
 2524.2236 0.454
 2524.3232 0.454
 2524.4229 0.454
 2524.5225 0.455
 2524.6221 0.455
 2524.7217 0.455
 2524.8213 0.455
 2524.9209 0.455
 2525.0205 0.455
 2525.1201 0.455
 2525.2197 0.455
 2525.3193 0.455
 2525.4189 0.455
 2525.5186 0.455
 2525.6182 0.455
 2525.7178 0.455
 2525.8174 0.455
 2525.9170 0.455
 2526.0166 0.455
 2526.1162 0.455
 2526.2158 0.455
 2526.3154 0.455
 2526.4150 0.455
 2526.5146 0.455
 2526.6143 0.455
 2526.7139 0.455
 2526.8135 0.455
 2526.9131 0.455
 2527.0127 0.456
 2527.1123 0.456
 2527.2119 0.456
 2527.3115 0.456
 2527.4111 0.456
 2527.5107 0.456
 2527.6104 0.456
 2527.7100 0.456
 2527.8096 0.455
 2527.9092 0.455
 2528.0088 0.455
 2528.1084 0.455
 2528.2080 0.455
 2528.3076 0.455
 2528.4072 0.455
 2528.5068 0.456
 2528.6064 0.456
 2528.7061 0.456
 2528.8057 0.456
 2528.9053 0.456
 2529.0049 0.456
 2529.1045 0.456
 2529.2041 0.456
 2529.3037 0.456
 2529.4033 0.456
 2529.5029 0.457
 2529.6025 0.457
 2529.7021 0.457
 2529.8018 0.457
 2529.9014 0.457
 2530.0010 0.456
 2530.1006 0.456
 2530.2002 0.456
 2530.2998 0.456
 2530.3994 0.456
 2530.4990 0.456
 2530.5986 0.456
 2530.6982 0.456
 2530.7979 0.456
 2530.8975 0.456
 2530.9971 0.456
 2531.0967 0.456
 2531.1963 0.457
 2531.2959 0.457
 2531.3955 0.457
 2531.4951 0.457
 2531.5947 0.457
 2531.6943 0.457
 2531.7939 0.457
 2531.8936 0.457
 2531.9932 0.457
 2532.0928 0.457
 2532.1924 0.457
 2532.2920 0.457
 2532.3916 0.457
 2532.4912 0.457
 2532.5908 0.457
 2532.6904 0.457
 2532.7900 0.457
 2532.8896 0.457
 2532.9893 0.457
 2533.0889 0.457
 2533.1885 0.457
 2533.2881 0.457
 2533.3877 0.457
 2533.4873 0.458
 2533.5869 0.458
 2533.6865 0.458
 2533.7861 0.458
