# tToFail   Slip
  -102.670     0.000
  -102.670     0.000
  -102.570     0.000
  -102.570     0.000
  -102.570     0.000
  -102.570     0.000
  -102.470     0.003
  -102.470     0.003
  -102.470     0.003
  -102.470     0.003
  -102.470     0.003
  -102.470     0.003
  -102.370     0.007
  -102.370     0.007
  -102.370     0.007
  -102.370     0.007
  -102.370     0.007
  -102.270     0.017
  -102.270     0.018
  -102.270     0.018
  -102.270     0.018
  -102.170     0.021
  -102.170     0.021
  -102.170     0.021
  -102.170     0.021
  -102.170     0.021
  -102.170     0.021
  -102.070     0.021
  -102.070     0.021
  -102.070     0.021
  -102.070     0.021
  -101.970     0.018
  -101.970     0.018
  -101.970     0.018
  -101.970     0.018
  -101.970     0.018
  -101.970     0.018
  -101.870     0.007
  -101.870     0.007
  -101.870     0.007
  -101.870     0.007
  -101.870     0.007
  -101.769     0.003
  -101.769     0.003
  -101.769     0.003
  -101.769     0.003
  -101.670     0.001
  -101.670     0.001
  -101.670     0.001
  -101.670     0.001
  -101.670     0.001
  -101.670     0.001
  -101.570     0.002
  -101.570     0.002
  -101.570     0.002
  -101.570     0.002
  -101.470     0.002
  -101.470     0.002
  -101.470     0.002
  -101.470     0.002
  -101.470     0.002
  -101.470     0.002
  -101.370     0.001
  -101.370     0.001
  -101.370     0.001
  -101.370     0.001
  -101.269     0.002
  -101.269     0.002
  -101.269     0.002
  -101.269     0.002
  -101.269     0.002
  -101.170     0.002
  -101.170     0.002
  -101.170     0.002
  -101.170     0.002
  -101.170     0.002
  -101.170     0.002
  -101.070     0.003
  -101.070     0.003
  -101.070     0.003
  -101.070     0.003
  -100.970     0.005
  -100.970     0.005
  -100.970     0.005
  -100.970     0.005
  -100.970     0.005
  -100.970     0.005
  -100.870     0.011
  -100.870     0.011
  -100.870     0.011
  -100.870     0.011
  -100.870     0.011
  -100.770     0.019
  -100.770     0.019
  -100.770     0.019
  -100.770     0.019
  -100.670     0.019
  -100.670     0.019
  -100.670     0.020
  -100.670     0.020
  -100.670     0.020
  -100.670     0.020
  -100.570     0.020
  -100.570     0.020
  -100.570     0.020
  -100.570     0.020
  -100.470     0.018
  -100.470     0.018
  -100.470     0.018
  -100.470     0.018
  -100.470     0.018
  -100.470     0.018
  -100.370     0.013
  -100.370     0.013
  -100.370     0.013
  -100.370     0.013
  -100.270     0.003
  -100.270     0.003
  -100.270     0.003
  -100.270     0.003
  -100.270     0.003
  -100.170     0.003
  -100.170     0.003
  -100.170     0.003
  -100.170     0.003
  -100.170     0.003
  -100.170     0.003
  -100.070     0.002
  -100.070     0.002
  -100.070     0.002
  -100.070     0.002
   -99.969     0.001
   -99.969     0.001
   -99.969     0.001
   -99.969     0.001
   -99.969     0.001
   -99.969     0.001
   -99.870     0.002
   -99.870     0.001
