# Time   AE-rate
   0.770   0.010
   0.716   0.011
   0.665   0.012
   0.619   0.014
   0.575   0.012
   0.533   0.015
   0.497   0.017
   0.466   0.020
   0.438   0.020
   0.412   0.020
   0.385   0.024
   0.362   0.026
   0.343   0.036
   0.327   0.041
   0.314   0.038
   0.299   0.038
   0.284   0.046
   0.272   0.070
   0.265   0.100
   0.259   0.105
   0.254   0.094
   0.248   0.082
   0.241   0.113
   0.236   0.143
   0.232   0.152
   0.229   0.153
   0.225   0.153
   0.221   0.154
   0.218   0.233
   0.215   0.639
   0.215  21.375
   0.215   7.830
   0.215   6.596
   0.215   6.480
   0.215   5.421
   0.214   5.151
   0.214   5.193
   0.214   1.057
   0.213   0.501
   0.212   0.524
   0.211   0.531
   0.210   0.525
   0.209   0.451
   0.208   0.356
   0.206   0.183
   0.203   0.158
   0.199   0.122
   0.194   0.103
   0.188   0.074
   0.180   0.069
   0.172   0.055
   0.161   0.055
   0.151   0.059
   0.141   0.064
   0.133   0.077
   0.125   0.080
   0.119   0.108
   0.113   0.103
   0.108   0.166
   0.105   0.154
   0.101   0.167
   0.098   0.165
   0.094   0.167
   0.091   0.174
   0.088   0.181
   0.085   0.214
   0.082   0.226
   0.080   0.220
   0.077   0.243
   0.075   0.255
   0.073   0.216
   0.070   0.264
   0.068   0.290
   0.066   0.268
   0.064   0.268
   0.062   0.368
   0.060   0.375
   0.059   0.382
   0.058   0.471
   0.056   0.419
   0.055   0.377
   0.053   0.368
   0.052   0.344
   0.050   0.330
   0.048   0.389
   0.047   0.362
   0.045   0.375
   0.044   0.400
   0.043   0.395
   0.041   0.431
   0.040   0.469
   0.039   0.469
   0.037   0.440
   0.036   0.425
   0.035   0.450
   0.034   0.407
   0.032   0.458
   0.031   0.568
   0.030   0.629
   0.029   0.769
   0.028   0.688
   0.028   0.705
   0.027   0.670
   0.026   0.706
   0.025   0.638
   0.024   0.624
   0.023   0.592
   0.022   0.533
   0.021   0.512
   0.020   0.564
   0.019   0.572
   0.018   0.534
   0.017   0.488
   0.016   0.517
   0.015   0.419
   0.013   0.431
   0.012   0.484
   0.011   0.481
   0.010   0.377
   0.008   0.421
   0.007   0.454
   0.006   0.451
   0.005   0.566
   0.004   0.587
