# Stress  Width (w)   w_min   w_max
   0.966  17.734  15.082  21.737
   0.829  16.761  14.919  18.009
   0.733  17.124  15.596  18.754
   0.666  16.379  15.431  17.203
   0.598  16.328  12.292  18.741
   0.540  12.217   8.227  15.850
   0.503  14.240   9.522  18.121
   0.467  17.031  12.274  18.932
   0.437  12.062   7.008  18.842
   0.415  10.498   6.485  16.210
   0.392   7.322   4.864  10.408
   0.368   8.018   6.324   9.969
   0.348   5.814   5.504   6.082
   0.332   6.337   6.112   6.995
   0.316   7.563   6.790   8.260
   0.299   6.216   5.532   6.758
   0.287   5.258   4.273   6.315
   0.277   7.856   6.043  12.700
   0.267   6.597   5.161   7.793
   0.257   6.274   6.084   6.433
   0.250   5.861   5.081   6.180
   0.242   3.901   3.450   4.953
   0.233   5.607   4.858   6.186
   0.224   6.099   4.371   8.872
   0.217   5.831   4.738   7.788
   0.210   6.602   5.061  10.550
   0.203   7.963   5.098  14.582
   0.197   5.643   4.448   7.931
   0.190   4.534   3.715   5.279
   0.184   5.922   5.154   6.486
   0.177   6.373   5.694   7.001
   0.170   5.233   4.495   6.108
   0.164   5.850   5.354   6.420
   0.159   5.094   4.332   6.143
   0.154   5.090   3.969   6.002
   0.149   4.697   3.598   5.911
   0.144   3.717   3.130   4.667
   0.139   5.877   4.656   8.006
   0.134   6.745   5.195   9.222
   0.128   5.925   4.473   7.526
   0.123   4.113   3.724   4.568
   0.121   2.907   2.532   3.171
   0.118   4.007   2.913   5.366
   0.113   4.815   4.224   5.248
   0.110   5.608   4.809   7.377
   0.106   6.056   5.397   7.440
   0.104   5.618   5.273   6.079
   0.101   5.026   4.852   5.279
   0.098   5.448   4.356   7.303
   0.095   5.635   4.297   7.267
   0.092   4.593   4.084   5.193
   0.090   6.175   4.465   7.785
   0.086   7.580   5.834   8.489
   0.083   7.520   6.470   8.901
   0.080   4.453   3.539   6.365
   0.079   4.519   3.710   5.101
   0.075   7.107   5.639   8.678
   0.073   6.709   5.863   7.527
   0.072   5.569   5.280   6.119
   0.069   6.350   5.342   7.488
   0.067   6.589   4.442   7.843
   0.064   4.642   3.579   5.340
   0.061   5.301   4.119   5.943
   0.059   5.179   3.830   6.253
   0.055   4.870   3.985   5.581
   0.052   4.899   4.312   5.340
   0.049   4.893   4.397   5.591
   0.046   4.448   3.675   5.044
   0.045   4.792   3.548   6.047
   0.043   4.421   4.061   4.809
   0.041   4.524   3.983   5.147
   0.040   4.143   3.249   4.843
   0.038   4.300   3.743   5.225
   0.038   4.940   4.063   5.665
   0.037   5.790   4.832   6.902
   0.035   6.054   4.881   7.035
   0.034   5.135   4.355   5.655
   0.034   5.494   5.099   5.785
   0.032   5.443   5.223   5.947
   0.032   5.567   5.103   6.450
   0.031   4.921   4.158   6.170
   0.030   5.784   5.485   6.051
   0.029   6.534   5.979   7.112
   0.029   5.767   3.579   8.485
   0.028   4.881   3.731   8.379
   0.027   6.766   4.823   8.625
   0.026   5.659   4.473   8.323
   0.025   4.167   3.153   5.929
   0.023   4.520   3.076   5.889
   0.022   5.526   4.129   6.288
   0.022   5.565   4.120   7.704
   0.021   5.952   4.602   6.463
   0.019   4.930   4.427   5.840
   0.019   5.616   4.981   6.422
   0.017   5.926   5.473   6.262
   0.015   6.991   6.026   8.270
   0.014   6.772   5.803   7.520
   0.014   5.764   4.433   6.155
   0.012   5.014   4.244   5.703
   0.011   5.908   4.714   6.580
   0.011   6.044   4.631   8.885
   0.010   5.626   4.487   6.727
   0.009   4.424   4.017   4.990
   0.008   4.933   3.595   6.116
   0.007   4.540   4.002   5.702
   0.007   4.831   4.014   5.265
   0.006   3.269   2.487   4.447
   0.006   2.878   2.672   3.169
   0.006   4.066   2.751   4.912
   0.006   4.074   2.998   5.011
   0.005   5.324   3.525   8.010
   0.005   6.584   5.325   8.350
   0.005   6.167   5.517   6.633
   0.005   5.763   5.200   6.296
   0.004   3.626   2.823   4.693
   0.003   3.646   2.914   4.308
   0.003   4.541   3.429   7.809
   0.002   4.759   3.307   7.096
   0.002   4.314   3.092   6.137
   0.001   4.624   3.510   6.537
   0.000   4.226   3.393   5.186
   0.001   4.842   4.112   5.420
