record,condition,event_id,warning,lead_s
Wgn23,event,Wgn23:E000,False,
Wgn23,event,Wgn23:E001,False,
Wgn23,quiet,Wgn23:Q000,False,
Wgn23,quiet,Wgn23:Q001,False,
Wgn24,event,Wgn24:E000,False,
Wgn24,event,Wgn24:E001,False,
Wgn24,event,Wgn24:E002,False,
Wgn24,event,Wgn24:E003,False,
Wgn24,event,Wgn24:E004,False,
Wgn24,event,Wgn24:E005,False,
Wgn24,event,Wgn24:E006,False,
Wgn24,event,Wgn24:E007,False,
Wgn24,event,Wgn24:E008,False,
Wgn24,event,Wgn24:E009,False,
Wgn24,event,Wgn24:E010,False,
Wgn24,event,Wgn24:E011,False,
Wgn24,event,Wgn24:E012,False,
Wgn24,event,Wgn24:E013,False,
Wgn24,event,Wgn24:E014,False,
Wgn24,event,Wgn24:E015,False,
Wgn24,quiet,Wgn24:Q000,False,
Wgn24,quiet,Wgn24:Q001,False,
Wgn24,quiet,Wgn24:Q002,False,
Wgn24,quiet,Wgn24:Q003,False,
Wgn24,quiet,Wgn24:Q004,False,
Wgn24,quiet,Wgn24:Q005,False,
Wgn24,quiet,Wgn24:Q006,False,
Wgn24,quiet,Wgn24:Q007,False,
Wgn24,quiet,Wgn24:Q008,False,
Wgn24,quiet,Wgn24:Q009,False,
Wgn24,quiet,Wgn24:Q010,False,
Wgn24,quiet,Wgn24:Q011,False,
Wgn24,quiet,Wgn24:Q012,False,
Wgn24,quiet,Wgn24:Q013,False,
Wgn24,quiet,Wgn24:Q014,False,
Wgn24,quiet,Wgn24:Q015,False,
Wgn25,event,Wgn25:E000,False,
Wgn25,event,Wgn25:E001,False,
Wgn25,event,Wgn25:E002,False,
Wgn25,quiet,Wgn25:Q000,False,
Wgn25,quiet,Wgn25:Q001,False,
Wgn25,quiet,Wgn25:Q002,False,
Wgn26,event,Wgn26:E000,False,
Wgn26,event,Wgn26:E001,False,
Wgn26,event,Wgn26:E002,False,
Wgn26,event,Wgn26:E003,False,
Wgn26,event,Wgn26:E004,False,
Wgn26,event,Wgn26:E005,False,
Wgn26,event,Wgn26:E006,False,
Wgn26,event,Wgn26:E007,False,
Wgn26,event,Wgn26:E008,False,
Wgn26,event,Wgn26:E009,False,
Wgn26,event,Wgn26:E010,False,
Wgn26,event,Wgn26:E011,False,
Wgn26,event,Wgn26:E012,False,
Wgn26,event,Wgn26:E013,False,
Wgn26,event,Wgn26:E014,False,
Wgn26,event,Wgn26:E015,False,
Wgn26,event,Wgn26:E016,False,
Wgn26,event,Wgn26:E017,False,
Wgn26,event,Wgn26:E018,False,
Wgn26,event,Wgn26:E019,False,
Wgn26,event,Wgn26:E020,False,
Wgn26,event,Wgn26:E021,False,
Wgn26,event,Wgn26:E022,False,
Wgn26,event,Wgn26:E023,False,
Wgn26,event,Wgn26:E024,False,
Wgn26,event,Wgn26:E025,False,
Wgn26,event,Wgn26:E026,False,
Wgn26,event,Wgn26:E027,False,
Wgn26,event,Wgn26:E028,False,
Wgn26,event,Wgn26:E029,False,
Wgn26,event,Wgn26:E030,False,
Wgn26,event,Wgn26:E031,False,
Wgn26,event,Wgn26:E032,False,
Wgn26,event,Wgn26:E033,False,
Wgn26,event,Wgn26:E034,False,
Wgn26,event,Wgn26:E035,False,
Wgn26,event,Wgn26:E036,False,
Wgn26,event,Wgn26:E037,False,
Wgn26,quiet,Wgn26:Q000,False,
Wgn26,quiet,Wgn26:Q001,False,
Wgn26,quiet,Wgn26:Q002,False,
Wgn26,quiet,Wgn26:Q003,False,
Wgn26,quiet,Wgn26:Q004,False,
Wgn26,quiet,Wgn26:Q005,False,
Wgn26,quiet,Wgn26:Q006,False,
Wgn26,quiet,Wgn26:Q007,False,
Wgn26,quiet,Wgn26:Q008,False,
Wgn26,quiet,Wgn26:Q009,False,
Wgn26,quiet,Wgn26:Q010,False,
Wgn26,quiet,Wgn26:Q011,False,
Wgn26,quiet,Wgn26:Q012,False,
Wgn26,quiet,Wgn26:Q013,False,
Wgn26,quiet,Wgn26:Q014,False,
Wgn26,quiet,Wgn26:Q015,False,
Wgn26,quiet,Wgn26:Q016,False,
Wgn26,quiet,Wgn26:Q017,False,
Wgn26,quiet,Wgn26:Q018,False,
Wgn26,quiet,Wgn26:Q019,False,
Wgn26,quiet,Wgn26:Q020,False,
Wgn26,quiet,Wgn26:Q021,False,
Wgn26,quiet,Wgn26:Q022,False,
Wgn26,quiet,Wgn26:Q023,False,
Wgn26,quiet,Wgn26:Q024,False,
Wgn26,quiet,Wgn26:Q025,False,
Wgn26,quiet,Wgn26:Q026,False,
Wgn26,quiet,Wgn26:Q027,False,
Wgn26,quiet,Wgn26:Q028,False,
Wgn26,quiet,Wgn26:Q029,False,
Wgn26,quiet,Wgn26:Q030,False,
Wgn26,quiet,Wgn26:Q031,False,
Wgn26,quiet,Wgn26:Q032,False,
Wgn26,quiet,Wgn26:Q033,False,
Wgn26,quiet,Wgn26:Q034,False,
Wgn26,quiet,Wgn26:Q035,False,
Wgn26,quiet,Wgn26:Q036,False,
Wgn26,quiet,Wgn26:Q037,False,
