domain,split,lineage,raw_states,candidate_q,amplitude_floor,valid_q,boundary_q,full_contracting_reverse,full_expanding_reverse,full_expanding_forward,full_contracting_forward
pendulum,calibration,run1_arm1,240000,239999,0.25254611834930085,227982,4123,82303,80471,29516,31569
pendulum,evaluation,run1_arm1,180000,179999,0.25254611834930085,168533,3628,66970,64828,16137,16970
pendulum,holdout,run1_arm1,180001,180000,0.25254611834930085,150245,3480,62394,62017,10734,11620
pendulum,calibration,run1_arm2,240000,239999,0.33782142002826543,227861,199,68772,68764,45912,44214
pendulum,evaluation,run1_arm2,180000,179999,0.33782142002826543,169825,64,63544,62308,21853,22056
pendulum,holdout,run1_arm2,180001,180000,0.33782142002826543,136891,22,55341,55401,12697,13430
pendulum,calibration,run1_arm3,240000,239999,0.15476835733349886,227714,0,62446,61856,51698,51714
pendulum,evaluation,run1_arm3,180000,179999,0.15476835733349886,162181,0,49089,47496,32510,33086
pendulum,holdout,run1_arm3,180001,180000,0.15476835733349886,154958,0,48852,49213,27785,29108
pendulum,calibration,run2_arm1,240000,239999,0.16013323897753187,227969,4002,82949,83048,28997,28973
pendulum,evaluation,run2_arm1,180000,179999,0.16013323897753187,155496,4367,65321,60536,12333,12939
pendulum,holdout,run2_arm1,180001,180000,0.16013323897753187,137775,5609,59713,58117,7108,7228
pendulum,calibration,run2_arm2,240000,239999,0.17596823356272143,227700,190,62737,65009,49746,50018
pendulum,evaluation,run2_arm2,180000,179999,0.17596823356272143,170245,149,63043,61858,23017,22178
pendulum,holdout,run2_arm2,180001,180000,0.17596823356272143,157518,136,67084,67672,11491,11135
pendulum,calibration,run2_arm3,240000,239999,0.18718453284211728,227527,1,60676,60895,52833,53122
pendulum,evaluation,run2_arm3,180000,179999,0.18718453284211728,153918,0,45032,45006,31442,32438
pendulum,holdout,run2_arm3,180001,180000,0.18718453284211728,134129,0,43988,43563,22975,23603
pendulum,calibration,run3_arm1,240000,239999,0.2126936789645217,227982,5047,88785,84996,23772,25382
