domain,split,line_n,line_R_median,line_s_equivalent,line_winner,line_e_error,line_fitted_calibration_R,line_fitted_error,line_eligible,line_fixed_pass,line_strong_pass,circle_n,circle_C_median_turns,circle_winner,circle_phi_error,circle_fitted_calibration_C,circle_fitted_error,circle_eligible,circle_fixed_pass,circle_strong_pass,median_X,median_Y
pendulum,calibration,27895,0.0051931338384747505,1.0052066415303016,plastic,0.9948068661615252,0.0051931338384747505,0.0,True,False,False,8200,0.0004940186627209187,quarter,0.38147199258738423,0.0004940186627209187,0.0,True,False,False,1.0000065565109253,0.9999054670333862
pendulum,evaluation,33363,0.0003863723250105977,1.0003864469764114,plastic,0.9996136276749894,0.0051931338384747505,0.004806761513464153,True,False,False,8192,0.000289057643385604,quarter,0.38167695360671955,0.0004940186627209187,0.00020496101933531463,True,False,False,1.0000026226043701,0.9999374747276306
pendulum,holdout,35667,0.0001871002314146608,1.0001871177357546,plastic,0.9998128997685853,0.0051931338384747505,0.00500603360706009,True,False,False,8500,0.00021943400497548282,quarter,0.38174657724512967,0.0004940186627209187,0.00027458465774543583,True,False,False,1.0000061988830566,0.9999484419822693
hydraulic,calibration,7293,0.08080530911684036,1.0841597999891914,plastic,0.9191946908831596,0.08080530911684036,0.0,True,False,False,2549,0.0024525115732103586,quarter,0.3795134996768948,0.0024525115732103586,0.0,True,False,False,1.0033011436462402,1.0046600103378296
hydraulic,evaluation,11097,0.008607665076851845,1.008644817548058,plastic,0.9913923349231482,0.08080530911684036,0.07219764403998852,True,False,False,23765,0.003924558870494366,quarter,0.3780414523796108,0.0024525115732103586,0.001472047297284007,True,False,False,1.0000094175338745,0.9999988675117493
hydraulic,holdout,11275,0.008078793995082378,1.0081115155087241,plastic,0.9919212060049176,0.08080530911684036,0.07272651512175798,True,False,False,23933,0.003960381727665663,quarter,0.3780056295224395,0.0024525115732103586,0.0015078701544553041,True,False,False,0.9999998211860657,1.000003457069397
bubbles,calibration,9456,0.016300832852721214,1.0164344162818975,plastic,0.9836991671472788,0.016300832852721214,0.0,True,False,False,1167,0.0023869413416832685,quarter,0.3795790699084219,0.0023869413416832685,0.0,True,False,False,0.994393527507782,0.9999812841415405
bubbles,evaluation,1455,0.0179878119379282,1.0181505670318616,plastic,0.9820121880620718,0.016300832852721214,0.0016869790852069855,True,False,False,432,0.0029020332731306553,quarter,0.3790639779769745,0.0023869413416832685,0.0005150919314473867,True,False,False,0.9983527660369873,0.9995229840278625
bubbles,holdout,1491,0.020241662859916687,1.020447914593035,plastic,0.9797583371400833,0.016300832852721214,0.003940830007195473,True,False,False,392,0.002694351365789771,quarter,0.3792716598843154,0.0023869413416832685,0.00030741002410650253,True,False,False,0.9984873533248901,0.9995548725128174
cold_room,calibration,30656,0.023833412677049637,1.0241196983205634,plastic,0.9761665873229504,0.023833412677049637,0.0,True,False,False,8438,0.003420972963795066,quarter,0.3785450382863101,0.003420972963795066,0.0,True,False,False,1.000025749206543,0.9988718032836914
