domain,split,selected_blocks,selected_states,transitions,changed_transitions,adjacent_transitions,diagonal_transitions,adjacency_fraction,same_sector_fraction,clockwise_adjacent,counterclockwise_adjacent,normalized_mutual_information,adjacency_shuffle_p,nmi_shuffle_p,eligible,coverage_pass,grammar_pass,symmetry_max_adjacency_delta,reverse_time_nmi,swap_axes_nmi,reverse_poles_nmi
pendulum,calibration,485,100000,99515,61082,22910,38172,0.37506957859926,0.386203084962066,11350,11560,0.15110008252812193,0.10589410589410589,1.0,True,True,False,0.0,0.15110486577569263,0.15110008252812188,0.15110008252812193
pendulum,evaluation,480,100000,99520,60501,38920,21581,0.6432951521462456,0.3920719453376206,19268,19652,0.05490867720764103,0.000999000999000999,1.0,True,True,False,0.0,0.054897530930223794,0.05490867720764103,0.05490867720764103
pendulum,holdout,517,100000,99483,57701,48041,9660,0.8325852238262769,0.4199913553069369,23416,24625,0.04499286574539594,0.000999000999000999,1.0,True,True,False,0.0,0.044986097220584186,0.044992865745395946,0.04499286574539594
hydraulic,calibration,2232,99999,97767,8599,7247,1352,0.8427724153971392,0.912045986887191,3658,3589,0.3661977655931895,0.000999000999000999,0.000999000999000999,True,True,True,0.0,0.3245241986393516,0.3661977655931893,0.3661977655931895
hydraulic,evaluation,17730,99642,81912,65612,40227,25385,0.6131043101871609,0.19899404238695184,20535,19692,0.008036464292750728,0.000999000999000999,1.0,True,True,False,0.0,0.008038745946847187,0.008036464292750685,0.008036464292750728
hydraulic,holdout,17801,99650,81849,65224,40220,25004,0.616644180056421,0.20311793668829187,20834,19386,0.006794885709043701,0.000999000999000999,1.0,True,True,False,0.0,0.006791536657263928,0.006794885709043619,0.006794885709043701
bubbles,calibration,5068,20994,15926,11561,8715,2846,0.7538275235706253,0.2740801205575788,3824,4891,0.07814648844569211,1.0,0.000999000999000999,True,True,False,0.0,0.0755346884298652,0.07814648844569211,0.07814648844569211
bubbles,evaluation,1785,4893,3108,2415,1384,1031,0.5730848861283644,0.22297297297297297,510,874,0.053565950910666085,1.0,0.000999000999000999,True,True,False,0.0,0.05356584086847906,0.05356595091066617,0.053565950910666085
bubbles,holdout,1769,4704,2935,2297,1377,920,0.5994775794514584,0.2173764906303237,494,883,0.05773630352189959,1.0,0.000999000999000999,True,True,False,0.0,0.057421051814012414,0.05773630352189957,0.05773630352189959
cold_room,calibration,12292,97566,85274,24510,16066,8444,0.6554875560995512,0.7125735863217393,7956,8110,0.3394334538529026,1.0,0.000999000999000999,True,True,False,0.0,0.33947606060871116,0.3394334538529025,0.3394334538529026
cold_room,evaluation,7995,92488,84493,20638,15462,5176,0.7492005039247989,0.7557430793083451,7625,7837,0.4047817063251166,1.0,0.000999000999000999,True,True,False,0.0,0.4050323214619975,0.4047817063251167,0.4047817063251166
cold_room,holdout,7392,93323,85931,20108,14971,5137,0.7445295404814004,0.7659983009624001,7456,7515,0.4228691835958821,1.0,0.000999000999000999,True,True,False,0.0,0.4228669085937553,0.42286918359588216,0.4228691835958821
acoustics,calibration,687,100000,99313,58597,43755,14842,0.7467105824530266,0.4099765388217051,22175,21580,0.05565444223533975,0.000999000999000999,0.000999000999000999,True,True,True,0.0,0.05565464415000866,0.05565444223533973,0.05565444223533975
acoustics,evaluation,10161,93490,83329,75490,34564,40926,0.4578619684726454,0.0940728917903731,17416,17148,0.11891932342863117,1.0,0.000999000999000999,True,True,False,0.0,0.11891966753556339,0.1189193234286312,0.11891932342863117
acoustics,holdout,11001,99999,88998,81136,36636,44500,0.4515381581542102,0.0883390637991865,18301,18335,0.1278046068955405,1.0,0.000999000999000999,True,True,False,0.0,0.12780393683477775,0.1278046068955405,0.1278046068955405
qutrit,calibration,6853,100000,93147,75597,53397,22200,0.7063375530775031,0.18841186511642888,26613,26784,0.1000144762302979,0.000999000999000999,0.000999000999000999,True,True,True,0.0,0.10001113575841668,0.10001447623029786,0.1000144762302979
qutrit,evaluation,6883,100000,93117,75675,53738,21937,0.7101156260323753,0.18731273559070846,26792,26946,0.10083155952965664,0.000999000999000999,0.000999000999000999,True,True,True,0.0,0.10083301365791164,0.10083155952965671,0.10083155952965664
qutrit,holdout,6862,100000,93138,75760,53347,22413,0.7041578669482577,0.18658334943846766,26762,26585,0.10166948631028576,0.000999000999000999,0.000999000999000999,True,True,True,0.0,0.10167216684836278,0.10166948631028581,0.10166948631028576
river,calibration,43,408,365,335,170,165,0.5074626865671642,0.0821917808219178,69,101,0.21879602567294693,1.0,0.000999000999000999,False,True,False,0.0,0.21896737039936795,0.21879602567294687,0.21879602567294693
river,evaluation,41,410,369,328,184,144,0.5609756097560976,0.1111111111111111,94,90,0.18497003458918745,1.0,0.000999000999000999,False,True,False,0.0,0.18650989956934835,0.18497003458918745,0.18497003458918745
river,holdout,78,414,336,287,144,143,0.5017421602787456,0.14583333333333334,66,78,0.15067807763700936,1.0,0.000999000999000999,False,True,False,0.0,0.1521902857304115,0.1506780776370093,0.15067807763700936
