domain,split,from_sector,to_sector,count
pendulum,calibration,contracting_reverse,contracting_reverse,11832
pendulum,calibration,contracting_reverse,expanding_reverse,7004
pendulum,calibration,contracting_reverse,expanding_forward,9667
pendulum,calibration,contracting_reverse,contracting_forward,2205
pendulum,calibration,expanding_reverse,contracting_reverse,7002
pendulum,calibration,expanding_reverse,expanding_reverse,12519
pendulum,calibration,expanding_reverse,expanding_forward,2173
pendulum,calibration,expanding_reverse,contracting_forward,9417
pendulum,calibration,expanding_forward,contracting_reverse,9720
pendulum,calibration,expanding_forward,expanding_reverse,2228
pendulum,calibration,expanding_forward,expanding_forward,7081
pendulum,calibration,expanding_forward,contracting_forward,35
pendulum,calibration,contracting_forward,contracting_reverse,2138
pendulum,calibration,contracting_forward,expanding_reverse,9368
pendulum,calibration,contracting_forward,expanding_forward,125
pendulum,calibration,contracting_forward,contracting_forward,7001
pendulum,evaluation,contracting_reverse,contracting_reverse,15084
pendulum,evaluation,contracting_reverse,expanding_reverse,11178
pendulum,evaluation,contracting_reverse,expanding_forward,5518
pendulum,evaluation,contracting_reverse,contracting_forward,3856
pendulum,evaluation,expanding_reverse,contracting_reverse,11271
pendulum,evaluation,expanding_reverse,expanding_reverse,14314
pendulum,evaluation,expanding_reverse,expanding_forward,4321
pendulum,evaluation,expanding_reverse,contracting_forward,5230
pendulum,evaluation,expanding_forward,contracting_reverse,5540
pendulum,evaluation,expanding_forward,expanding_reverse,4400
pendulum,evaluation,expanding_forward,expanding_forward,4812
pendulum,evaluation,expanding_forward,contracting_forward,47
pendulum,evaluation,contracting_forward,contracting_reverse,3722
pendulum,evaluation,contracting_forward,expanding_reverse,5293
pendulum,evaluation,contracting_forward,expanding_forward,125
pendulum,evaluation,contracting_forward,contracting_forward,4809
pendulum,holdout,contracting_reverse,contracting_reverse,17761
pendulum,holdout,contracting_reverse,expanding_reverse,13688
pendulum,holdout,contracting_reverse,expanding_forward,2462
pendulum,holdout,contracting_reverse,contracting_forward,5017
pendulum,holdout,expanding_reverse,contracting_reverse,14198
pendulum,holdout,expanding_reverse,expanding_reverse,19098
pendulum,holdout,expanding_reverse,expanding_forward,5076
pendulum,holdout,expanding_reverse,contracting_forward,2229
pendulum,holdout,expanding_forward,contracting_reverse,2367
