split,model,stream,predictor,mae,rmse,direction_accuracy,ara_mae,n
calibration,14m,median,ara,0.06842938083731977,0.1445010576592672,0.6209150326797386,0.03387707783158095,306
calibration,14m,median,broken_lineage,0.07088317759529006,0.14678488172576323,0.630718954248366,0.035103612049010254,306
calibration,14m,median,local_flow,0.07173512110315314,0.1568572638066124,0.6078431372549019,0.03548822089672784,306
calibration,14m,median,local_trend,0.07120451559925373,0.1510292722214191,0.6339869281045751,0.035211993825673346,306
calibration,14m,median,parent_flow,0.06810215715585008,0.13921439384507744,0.6470588235294118,0.03372563710085264,306
calibration,14m,median,persistence,0.06495030370325455,0.1286576389269213,0.0,0.03216514633397947,306
calibration,14m,top1,ara,0.06166959931620678,0.1082596438634643,0.673202614379085,0.03069474211506894,306
calibration,14m,top1,broken_lineage,0.06386738673016157,0.10687486420526672,0.6274509803921569,0.031793479560251664,306
calibration,14m,top1,local_flow,0.06478514679808384,0.11471585792179466,0.6437908496732027,0.032248032990467454,306
calibration,14m,top1,local_trend,0.06762556324348515,0.1184407400456478,0.6535947712418301,0.03365636180662157,306
calibration,14m,top1,parent_flow,0.06265212764771373,0.10609985082885816,0.6437908496732027,0.031186947055007356,306
calibration,14m,top1,persistence,0.06518458704541163,0.10473456768089308,0.0,0.03245408666912298,306
calibration,160m,median,ara,0.09328744345439591,0.16045735659432747,0.7373737373737373,0.04625863010895539,396
calibration,160m,median,broken_lineage,0.09747425158271066,0.16479676592311793,0.7171717171717171,0.04834791381826303,396
calibration,160m,median,local_flow,0.09667623011680278,0.16813773025492035,0.7449494949494949,0.047930736783228324,396
calibration,160m,median,local_trend,0.09115291738519177,0.15726977100175682,0.7727272727272727,0.045192157000524334,396
calibration,160m,median,parent_flow,0.09245820447249592,0.15816369171784225,0.7272727272727273,0.04585006591059549,396
calibration,160m,median,persistence,0.09832874705422698,0.15403037176819634,0.0,0.0488070024891669,396
calibration,160m,top1,ara,0.154765318096384,0.34646688372403145,0.8106060606060606,0.06989818268173521,396
calibration,160m,top1,broken_lineage,0.15745494764764134,0.34813193641268575,0.8005050505050505,0.0712073278895739,396
calibration,160m,top1,local_flow,0.16009248257357256,0.3498349148092909,0.7904040404040404,0.07237682725768971,396
calibration,160m,top1,local_trend,0.15439258615398724,0.325469399567755,0.8232323232323232,0.06977263401882004,396
calibration,160m,top1,parent_flow,0.15280906374301348,0.3468998105415879,0.8232323232323232,0.06903599764277908,396
calibration,160m,top1,persistence,0.2094233175532737,0.40991745822699355,0.0,0.09709044825042644,396
calibration,70m,median,ara,0.08971471768005196,0.17087839646140426,0.7424242424242424,0.044517213882984415,198
calibration,70m,median,broken_lineage,0.09673340209351146,0.1758591464793509,0.7171717171717171,0.04802327433521932,198
calibration,70m,median,local_flow,0.09370272875778597,0.18604291775078374,0.7272727272727273,0.046437692251556584,198
calibration,70m,median,local_trend,0.09025353415777172,0.17376040356972516,0.7727272727272727,0.044749515718485476,198
calibration,70m,median,parent_flow,0.0899183320900132,0.16338992745275757,0.7424242424242424,0.04463905895051611,198
calibration,70m,median,persistence,0.08647777318059287,0.1438150525796881,0.0,0.042932088268252795,198
calibration,70m,top1,ara,0.1470198532050987,0.28970168461923124,0.696969696969697,0.06992612495184186,198
calibration,70m,top1,broken_lineage,0.1518590857765305,0.2926840499283519,0.696969696969697,0.07231568328085167,198
calibration,70m,top1,local_flow,0.14720700895586647,0.28989855929689157,0.6919191919191919,0.07003383342421422,198
calibration,70m,top1,local_trend,0.14176330281411775,0.2686979311129998,0.7474747474747475,0.06730685132413147,198
calibration,70m,top1,parent_flow,0.15156904564955256,0.29435464144777485,0.6868686868686869,0.0721602394283052,198
calibration,70m,top1,persistence,0.1754181917115547,0.31875095263968867,0.0,0.08403684790861002,198
