split,stream,predictor,mae,rmse,direction_accuracy,ara_mae,models,level,streams
calibration,median,ara,0.08381051399058921,0.158612270238333,0.700237670825906,0.04155097394117358,3.0,stream,
calibration,median,broken_lineage,0.08836361042383739,0.16248026470941068,0.6883541295306,0.04382493340083087,3.0,stream,
calibration,median,local_flow,0.08737135999258062,0.1703459706041055,0.693355119825708,0.04328554997717091,3.0,stream,
calibration,median,local_trend,0.0842036557140724,0.16068648226430035,0.7264804911863735,0.04171788884822772,3.0,stream,
calibration,median,parent_flow,0.08349289790611973,0.15358933767189242,0.7055852644087938,0.04140492065398808,3.0,stream,
calibration,median,persistence,0.0832522746460248,0.14216768775826857,0.0,0.04130141236379972,3.0,stream,
calibration,top1,ara,0.1211515902058965,0.24814273740224232,0.7269261239849475,0.05683968324954867,3.0,stream,
calibration,top1,broken_lineage,0.12439380671811114,0.24923028351543478,0.7083085759556348,0.05843883024355908,3.0,stream,
calibration,top1,local_flow,0.12402821277584096,0.2514831106759924,0.7087046939988116,0.05821956455745713,3.0,stream,
calibration,top1,local_trend,0.12126048407053004,0.23753602357546755,0.7414339473163003,0.05691194904985769,3.0,stream,
calibration,top1,parent_flow,0.12234341234675992,0.24911810093940698,0.7179639532580708,0.05746106137536388,3.0,stream,
calibration,top1,persistence,0.15000869877008002,0.27780099284919174,0.0,0.07119379427605314,3.0,stream,
evaluation,median,ara,0.05227567816549191,0.09162649726249672,0.8257575757575758,0.025929730594026982,3.0,stream,
evaluation,median,broken_lineage,0.05222108167272191,0.09167544725452353,0.8253367003367004,0.025903247592147127,3.0,stream,
evaluation,median,local_flow,0.05369955995619372,0.09418942760431219,0.8051872895622895,0.02663786144945554,3.0,stream,
evaluation,median,local_trend,0.05393363177075017,0.09418547959724072,0.8129208754208754,0.026746315807354055,3.0,stream,
evaluation,median,parent_flow,0.05229255926609481,0.09182993965547524,0.8284538089225589,0.025938281886659198,3.0,stream,
evaluation,median,persistence,0.07109827346885948,0.11043824403462384,0.0,0.03533522710817815,3.0,stream,
evaluation,top1,ara,0.12213021922557932,0.28634186582630283,0.8423624263468014,0.05331334913577344,3.0,stream,
evaluation,top1,broken_lineage,0.12360789617524719,0.2880890305295279,0.8419415509259259,0.05404283162226268,3.0,stream,
evaluation,top1,local_flow,0.12538060993990263,0.2930273785903151,0.8363517992424242,0.05481045837354667,3.0,stream,
evaluation,top1,local_trend,0.12321165997524715,0.27171622763974096,0.8267374263468014,0.053855027673775153,3.0,stream,
evaluation,top1,parent_flow,0.12253255020404319,0.2865954434150717,0.8329321864478114,0.0535695864743004,3.0,stream,
evaluation,top1,persistence,0.19141749606774763,0.3805376922248516,0.0,0.0878335902942244,3.0,stream,
holdout,median,ara,0.07888591028411632,0.13584364157560194,0.7491820082545889,0.03920408611597239,3.0,stream,
holdout,median,broken_lineage,0.07909159061113498,0.13582904036162727,0.7492906212664278,0.03930668999541295,3.0,stream,
holdout,median,local_flow,0.08047968089548248,0.13815375051264236,0.7319329043119366,0.03998652907052213,3.0,stream,
holdout,median,local_trend,0.0750785145792412,0.12757497840448762,0.7535638644509612,0.03729562994468107,3.0,stream,
holdout,median,parent_flow,0.07988595903360457,0.13779662415207852,0.7465074128380579,0.03970350032242962,3.0,stream,
holdout,median,persistence,0.08191749216178457,0.12776578766861235,0.0,0.04073772866286813,3.0,stream,
holdout,top1,ara,0.15819535852235722,0.35811540985371515,0.8045814326056262,0.06980020578900815,3.0,stream,
holdout,top1,broken_lineage,0.15876262236486874,0.35829664577458215,0.8024736613446292,0.0700800259208764,3.0,stream,
holdout,top1,local_flow,0.15910799280568955,0.36072683773608816,0.7945483056370154,0.0702706423775999,3.0,stream,
holdout,top1,local_trend,0.15651894724068482,0.3529546577034101,0.7923794395568589,0.06918800248219648,3.0,stream,
holdout,top1,parent_flow,0.16003756115164963,0.3578601279061469,0.8036650103182361,0.07069523070877028,3.0,stream,
holdout,top1,persistence,0.20764479998970464,0.4306614156435578,0.0,0.09470863484727038,3.0,stream,
calibration,joint,ara,0.10248105209824285,0.20337750382028766,0.7135818974054268,0.049195328595361125,,joint,2.0
calibration,joint,broken_lineage,0.10637870857097426,0.20585527411242271,0.6983313527431174,0.051131881822194976,,joint,2.0
calibration,joint,local_flow,0.10569978638421079,0.21091454064004894,0.7010299069122599,0.05075255726731402,,joint,2.0
calibration,joint,local_trend,0.10273206989230121,0.19911125291988396,0.7339572192513368,0.049314918949042705,,joint,2.0
calibration,joint,parent_flow,0.10291815512643983,0.20135371930564971,0.7117746088334322,0.04943299101467598,,joint,2.0
calibration,joint,persistence,0.11663048670805241,0.20998434030373014,0.0,0.05624760331992643,,joint,2.0
evaluation,joint,ara,0.08720294869553562,0.18898418154439978,0.8340600010521886,0.03962153986490021,,joint,2.0
evaluation,joint,broken_lineage,0.08791448892398454,0.1898822388920257,0.8336391256313131,0.0399730396072049,,joint,2.0
evaluation,joint,local_flow,0.08954008494804817,0.19360840309731364,0.8207695444023568,0.04072415991150111,,joint,2.0
evaluation,joint,local_trend,0.08857264587299865,0.18295085361849084,0.8198291508838385,0.040300671740564606,,joint,2.0
evaluation,joint,parent_flow,0.087412554735069,0.18921269153527348,0.8306929976851851,0.0397539341804798,,joint,2.0
evaluation,joint,persistence,0.13125788476830355,0.24548796812973772,0.0,0.06158440870120127,,joint,2.0
