candidate,n,largest_gap,circular_star_discrepancy,union_coverage,overlap_loss,flat_mean,flat_p05,flat_min,beam7_mean,beam7_p05,beam7_min,beam7_cycle23_mean,beam7_cycle23_p05,beam7_cycle23_min,beam7_decay_mean,beam7_decay_p05,beam7_decay_min,largest_gap_rank,discrepancy_rank
phi,4,0.38196601125,0.25,0.009375,0,0.009375,0.009375,0.009375,0.009375,0.00749642068323,0.00746927876922,0.00968876046507,0.00744571633136,0.00737464759604,0.011044886677,0.00622875299059,0.00616003595119,5,3.5
phi,5,0.2360679775,0.2,0.01171875,0,0.01171875,0.01171875,0.01171875,0.01171875,0.00961526476301,0.00958452548118,0.0119656284486,0.00998258778815,0.00995796614264,0.012885584466,0.00801403332017,0.00794528411357,2,3.5
phi,6,0.2360679775,0.166666666667,0.0140625,0,0.0140625,0.0140625,0.0140625,0.0140625,0.0137563085524,0.0137518704892,0.0142954870421,0.0113191702591,0.011216650909,0.0136498933508,0.00937436733759,0.00931465651868,2,3.5
phi,7,0.2360679775,0.142857142857,0.01640625,0,0.01640625,0.01640625,0.01640625,0.01640625,0.0146197944859,0.0145941962261,0.0168049565055,0.0141272085178,0.0140498254488,0.0166895150358,0.0102987707378,0.0102088354058,4,3.5
phi,8,0.14589803375,0.125,0.01875,0,0.01875,0.01875,0.01875,0.01875,0.0165882621416,0.0165576436553,0.0190831071175,0.0165086885688,0.0164054257547,0.0180212304196,0.0115008524961,0.0114103245519,4,3
phi,9,0.14589803375,0.111111111111,0.02109375,0,0.02109375,0.02109375,0.02109375,0.02109375,0.0206358649029,0.0206294551298,0.0211679760363,0.0205863459639,0.020566695051,0.0231307000721,0.0204868462387,0.0204484456603,4,2
phi,10,0.14589803375,0.1,0.0234375,0,0.0234375,0.0234375,0.0234375,0.0234375,0.0217509329904,0.0217272007608,0.0232068360289,0.0222769615436,0.0222697939534,0.0253236366891,0.0209430551159,0.0208809111308,4,2.5
phi,11,0.14589803375,0.0909090909091,0.02578125,0,0.02578125,0.02578125,0.02578125,0.02578125,0.0235725965842,0.0235411530201,0.0256745948477,0.0233357057163,0.0232591858711,0.0262868071627,0.021997184866,0.021936515962,5,2.5
phi,12,0.14589803375,0.0833333333333,0.028125,0,0.028125,0.028125,0.028125,0.028125,0.0275179948028,0.0275092528271,0.0283104180692,0.0246457086713,0.0245189473337,0.0299890729043,0.0279931928159,0.0279637395294,6,1.5
phi,13,0.0901699437495,0.0769230769231,0.03046875,0,0.03046875,0.03046875,0.03046875,0.03046875,0.0288913527805,0.0288683745492,0.0308528869307,0.0286348847044,0.0285668198877,0.031571387107,0.028264459087,0.0282155532157,1,2
phi,14,0.0901699437495,0.0714285714286,0.0328125,0,0.0328125,0.0328125,0.0328125,0.0328125,0.0305676559351,0.0305350143015,0.0331059548119,0.0313512640743,0.0313085211273,0.0322677827878,0.0292236968164,0.0291787565379,1,2
phi,15,0.0901699437495,0.0721359549996,0.03515625,0,0.03515625,0.03515625,0.03515625,0.03515625,0.0344025664883,0.0343917320165,0.0353795005949,0.0326883707454,0.0326063945707,0.0349508190691,0.032817840894,0.0327859702307,1,3
phi,16,0.0901699437495,0.0625,0.0375,0,0.0375,0.0375,0.0375,0.0375,0.0360367969803,0.0360160047331,0.037812864899,0.0354540639421,0.0353875801837,0.0360927411719,0.0331234952829,0.033077655792,1,2
phi,17,0.0901699437495,0.0603712491172,0.03984375,0,0.03984375,0.03984375,0.03984375,0.03984375,0.037570106479,0.0375381733993,0.0401745849084,0.0373102898933,0.037201548987,0.0407375696856,0.0381442999839,0.0381090430698,2,3
phi,18,0.0901699437495,0.0555555555556,0.0421875,0,0.0421875,0.0421875,0.0421875,0.0421875,0.0412901220617,0.0412775362664,0.0423198788818,0.0411675599697,0.0411118701742,0.0426821911188,0.041483070925,0.0414667117623,2,1.5
phi,19,0.0901699437495,0.0557280900008,0.04453125,0,0.04453125,0.04453125,0.04453125,0.04453125,0.0431896191099,0.0431705810089,0.0443377331688,0.043521485376,0.0434972211868,0.0435064678173,0.0422687660409,0.0422517677982,3,3
phi,20,0.0901699437495,0.0516261237512,0.046875,0,0.046875,0.046875,0.046875,0.046875,0.044585234872,0.0445523640853,0.046721759861,0.0447734314754,0.0447134443411,0.0468626794866,0.0430448556384,0.0429926379526,3,3
phi,21,0.0557280900008,0.047619047619,0.04921875,0,0.04921875,0.04921875,0.04921875,0.04921875,0.0481827523888,0.048167708802,0.0493425683901,0.045577906944,0.0454505963408,0.0482722108662,0.0450167192532,0.0449730221337,2,1.5
phi,22,0.0557280900008,0.0469328397738,0.0515625,0,0.0515625,0.0515625,0.0515625,0.0515625,0.0503492215576,0.0503315234316,0.0519861733711,0.049860744086,0.0494827150007,0.0537640177405,0.0501811255928,0.0501286176515,2,2
phi,23,0.0557280900008,0.0466916828799,0.05390625,0,0.05390625,0.05390625,0.05390625,0.05390625,0.0516099125452,0.0515767955727,0.0542593058842,0.052219176852,0.0521494047726,0.0561883895279,0.0515019593571,0.0514366399761,2,1
phi,24,0.0557280900008,0.0485032770828,0.05625,0,0.05625,0.05625,0.05625,0.05625,0.0550789127622,0.0550622173243,0.0564932096118,0.0541686306357,0.0541145226689,0.0572100974195,0.0533118361742,0.0532576169216,2,3
phi,25,0.0557280900008,0.0462379212493,0.05859375,0,0.05859375,0.05859375,0.05859375,0.05859375,0.0575126294136,0.0574973951914,0.0588196688678,0.0567024993429,0.0565883753277,0.061176324798,0.0558216486361,0.0557426681685,2,1
phi,26,0.0557280900008,0.0384615384615,0.0609375,0,0.0609375,0.0609375,0.0609375,0.0609375,0.0586432958363,0.058611225531,0.061244578309,0.058235503505,0.0581335407473,0.0629270858151,0.0569294048841,0.0568415652966,2,1
phi,27,0.0557280900008,0.0418823347233,0.06328125,0,0.06328125,0.06328125,0.06328125,0.06328125,0.0619805415875,0.0619621443563,0.063447531237,0.0617580736489,0.0616798725151,0.0636676660905,0.0582823668376,0.0582059612562,2,3
phi,28,0.0557280900008,0.040523635535,0.065625,0,0.065625,0.065625,0.065625,0.065625,0.0646820314891,0.0646685383188,0.0655015531642,0.0647219582504,0.0646958040918,0.0665329580126,0.0599322823737,0.0598376815174,2,2
phi,29,0.0557280900008,0.0344827586207,0.06796875,0,0.06796875,0.06796875,0.06796875,0.06796875,0.0656897756569,0.0656567884915,0.0677810391307,0.0662547105437,0.0661996906276,0.0677969430767,0.0607341393153,0.0606327190143,3,1.5
phi,30,0.0557280900008,0.0388026216662,0.0703125,0,0.0703125,0.0703125,0.0703125,0.0703125,0.0688892346002,0.0688684074599,0.0703767664491,0.0667001781258,0.0665814475655,0.0727502028611,0.069821654239,0.069779522938,4,3
phi,31,0.0557280900008,0.0359153406041,0.07265625,0,0.07265625,0.07265625,0.07265625,0.07265625,0.0718555378301,0.0718439531708,0.073077773756,0.0703012764615,0.0697433451133,0.0748208048096,0.0711146699083,0.0710592598348,4,2
phi,32,0.0557280900008,0.0346359549996,0.075,0,0.075,0.075,0.075,0.075,0.0727443207778,0.0727120586332,0.0754217101942,0.0731145663718,0.0730326678244,0.0757331434605,0.0716766381806,0.0716188045035,4,1
phi,33,0.0557280900008,0.0329635594294,0.07734375,0,0.07734375,0.07734375,0.07734375,0.07734375,0.0758021264647,0.0757803319265,0.077626093915,0.0757253893376,0.075696900764,0.0793229236309,0.0781807524928,0.0781641880445,4,1
phi,34,0.0344418537486,0.0294117647059,0.0796875,0,0.0796875,0.0796875,0.0796875,0.0796875,0.0790319598493,0.0790228004958,0.0798473827228,0.0778144303128,0.0777059717675,0.0808197307714,0.0792233550984,0.0791998836071,1,1.5
phi,35,0.0344418537486,0.0314009628555,0.08203125,0,0.08203125,0.08203125,0.08203125,0.08203125,0.0798089616334,0.0797776323558,0.0822890700106,0.079294493563,0.079203844474,0.0814781199592,0.0796463621023,0.0796198061033,1,2
phi,36,0.0344418537486,0.0342693193033,0.084375,0,0.084375,0.084375,0.084375,0.084375,0.0827232700624,0.0826997114802,0.084551302386,0.0824049222142,0.0823115912367,0.0840793815378,0.0835282791112,0.0835209946623,1,2
phi,37,0.0344418537486,0.0306146598988,0.08671875,0,0.08671875,0.08671875,0.08671875,0.08671875,0.0862121422485,0.0862048327752,0.086679983767,0.0858424998659,0.0858200061497,0.0851617594212,0.0847452237314,0.0847390760025,1,1
phi,38,0.0344418537486,0.0317346838173,0.0890625,0,0.0890625,0.0890625,0.0890625,0.0890625,0.0868857510319,0.0868539843148,0.0888633804624,0.0877447587439,0.0877009733015,0.0895454072653,0.0861986740894,0.086152805876,1,2
phi,39,0.0344418537486,0.0291431070181,0.09140625,0,0.09140625,0.09140625,0.09140625,0.09140625,0.0896522267397,0.0896267684122,0.0914211908202,0.0879845398456,0.087886754626,0.0914300263348,0.0884476901674,0.0884066224886,1,1
phi,40,0.0344418537486,0.0315778087482,0.09375,0,0.09375,0.09375,0.09375,0.09375,0.0933941555965,0.0933890496178,0.0941298637278,0.0905380598674,0.0902856565623,0.0922129788948,0.0897687632185,0.0897359517087,1,2
phi,41,0.0344418537486,0.0304509867698,0.09609375,0,0.09609375,0.09609375,0.09609375,0.09609375,0.0939692803944,0.0939391476587,0.0965824407282,0.0941133106257,0.0940274790813,0.0953755016363,0.0904053895586,0.090338098152,2,2
phi,42,0.0344418537486,0.0238095238095,0.0984375,0,0.0984375,0.0984375,0.0984375,0.0984375,0.0965871076561,0.0965611679976,0.0987685052214,0.09729155749,0.0972657969562,0.0967406250015,0.0918613501592,0.0917957028916,2,1
phi,43,0.0344418537486,0.0287352296197,0.10078125,0,0.10078125,0.10078125,0.10078125,0.10078125,0.100577742906,0.100574883324,0.100911343564,0.0990434040575,0.0989546750498,0.101968572885,0.0998460865613,0.0998156422435,2,2
phi,44,0.0344418537486,0.0271248978408,0.103125,0,0.103125,0.103125,0.103125,0.103125,0.101063776876,0.101034473071,0.103310099201,0.100483526253,0.100402245549,0.104249928595,0.100308166984,0.100252326374,2,1
phi,45,0.0344418537486,0.0264104556945,0.10546875,0,0.10546875,0.10546875,0.10546875,0.10546875,0.103532388432,0.103504539719,0.105635645404,0.103141383484,0.103040370394,0.10523851814,0.101744355412,0.1016953443,2,1
phi,46,0.0344418537486,0.0277130802729,0.1078125,0,0.1078125,0.1078125,0.1078125,0.1078125,0.10776241368,0.107761685058,0.107850746477,0.106763759095,0.106730494341,0.109022620868,0.106046191681,0.106000871282,2,2
phi,47,0.0344418537486,0.0212765957447,0.11015625,0,0.11015625,0.11015625,0.11015625,0.11015625,0.108168453722,0.1081395103,0.109978583189,0.108718181411,0.108681298686,0.11066825005,0.106668181736,0.106609123746,2,1
phi,48,0.0344418537486,0.0276052433325,0.1125,0,0.1125,0.1125,0.1125,0.1125,0.110485488839,0.110456489561,0.112478140669,0.109419174532,0.109338054147,0.11138397276,0.107904917396,0.107853284323,2,1
phi,49,0.0344418537486,0.0259045630604,0.11484375,0,0.11484375,0.11484375,0.11484375,0.11484375,0.114740285343,0.11473881305,0.115156576043,0.111170995776,0.111035146178,0.114123786826,0.110295501217,0.110237116075,2,2
phi,50,0.0344418537486,0.0229123600034,0.1171875,0,0.1171875,0.1171875,0.1171875,0.1171875,0.115279549558,0.115252714791,0.117725345631,0.115233144418,0.115149448199,0.115310837749,0.110867103196,0.110801201257,2,1
