candidate,alpha,eligible_forward,geometry_mean_rank,largest_gap_mean,discrepancy_mean,overlap_loss_total,fusion_robust_overlap_mean,fusion_robust_overlap_tail_p05,flat_overlap_mean,strict_cell_win_share_vs_three_eighths
phi,0.38196601125,True,1.97131147541,0.0688791167828,0.0504971882837,0,0.0774851279577,0.0117263981017,0.0796875,0.96174863388
phi_reverse,0.61803398875,False,,0.0688791167828,0.0504971882837,0,0.0777221681903,0.0137654882587,0.0796875,0.972677595628
three_eighths,0.375,True,5.85245901639,0.135245901639,0.129254488681,3.740625,0.0154772352117,0.0125823403236,0.0183657786885,0
eight_twentyone,0.380952380952,True,3.38524590164,0.0765027322404,0.0580263178394,2.2171875,0.0425334951386,0.0118221245504,0.0433401639344,0.945355191257
one_over_e,0.367879441171,True,3.02459016393,0.0748698673561,0.0542734523221,0,0.0770948057137,0.0137877306292,0.0796875,0.972677595628
two_fifths,0.4,True,6.50819672131,0.203278688525,0.129259031592,4.1484375,0.0108590071815,0.00965198796959,0.0116803278689,0.0382513661202
sqrt2_minus_1,0.414213562373,True,2.30737704918,0.070799330047,0.052499567275,0,0.076050977548,0.0113576959963,0.0796875,0.934426229508
one_third,0.333333333333,True,7.9262295082,0.333333333333,0.20647772824,4.43203125,0.00629054532907,0.00579119278176,0.00703125,0
pi_minus_3,0.14159265359,True,5.02459016393,0.126498734692,0.085847950691,2.25514051877e-17,0.0334441800695,0.00321169089705,0.0796875,0.666666666667
oracle_uniform,,False,,0.0477140585307,0.0477140585307,0,0.0788880145182,0.0116002833273,0.0796875,
