time_us,prompt_rate,delayed_rate,cumulative_ara
5.000000000000000104e-04,3.259051198488945542e-08,4.831682220648925643e-09,2.345301567018514048e-10
5.499999999999999681e-03,1.797455684164738925e-07,1.095052532392432729e-08,4.161428533923351185e-09
1.050000000000000065e-02,5.094232776981813003e-07,2.839414564373200941e-08,1.611121893914474069e-08
1.549999999999999989e-02,1.064012834437331654e-06,5.543931451490535820e-08,4.299035673143408357e-08
2.050000000000000086e-02,2.586999211836215662e-06,1.451469108545774304e-07,1.055138001915113338e-07
2.549999999999999836e-02,5.208522625858586049e-06,2.717796148271563581e-07,2.391314142500785817e-07
3.049999999999999933e-02,1.100053360586583432e-05,5.925678974506391696e-07,5.165941371817602150e-07
3.549999999999999684e-02,2.013535566880058681e-05,1.016755087088283252e-06,1.050252509925739798e-06
4.050000000000000128e-02,3.515518411593471546e-05,1.777976971014100942e-06,1.993450300025738131e-06
4.549999999999999878e-02,5.597134719384569141e-05,2.757710109376158875e-06,3.545538201915123976e-06
5.050000000000000322e-02,8.429872973950214082e-05,4.187907510561460545e-06,5.925264029401148561e-06
5.550000000000000072e-02,1.197578639708225226e-04,6.006440100019502069e-06,9.379260919442997739e-06
6.049999999999999822e-02,1.662334030467120592e-04,8.616972880240828962e-06,1.421257861280648888e-05
6.550000000000000266e-02,2.235826306094666652e-04,1.187321414955402611e-05,2.079977642305604480e-05
7.049999999999999323e-02,3.003083064159417178e-04,1.655557125415465684e-05,2.965395103067071096e-05
7.549999999999999767e-02,3.963854761099215281e-04,2.230099691416318603e-05,4.144373334952389823e-05
8.050000000000000211e-02,5.233158656633948077e-04,3.025953219233672484e-05,5.701395613815355340e-05
8.550000000000000655e-02,6.803420208292565181e-04,3.991887543155924107e-05,7.741374281240529377e-05
9.049999999999999711e-02,8.791133999722363724e-04,5.266557012057002801e-05,1.038463235251665582e-04
9.550000000000000155e-02,1.117487439864315885e-03,6.796839974623735661e-05,1.377093746058835502e-04
1.005000000000000060e-01,1.404900401819157100e-03,8.727497939286175119e-05,1.804904655266769960e-04
1.054999999999999966e-01,1.737782314461286870e-03,1.101614303602025438e-04,2.338175076943926987e-04
1.105000000000000010e-01,2.124314740811297699e-03,1.381241936063115324e-04,2.993714125408264686e-04
1.155000000000000054e-01,2.560259262340354360e-03,1.708294731777165731e-04,3.789432606126525186e-04
1.204999999999999960e-01,3.057999196354362070e-03,2.101337614726865707e-04,4.744496534731717846e-04
1.255000000000000004e-01,3.613509269429977452e-03,2.555293985589386727e-04,5.879958177201926759e-04
