run,split,field_g,start_time,temperature_k,orientation_metadata,analysis_counts,detector_child_gain,orientation_covariance,reverse_gain,free_gamma_mhz_per_g,recovered_frequency_mhz,phase_at_parent_ridge_rad,native_child_at_parent_ridge,projected_child_at_parent_ridge,pole_score
EMU00066572,calibration,20.0,2016-10-20T11:54:08,300.0,l,8825932,0.29725715300363265,681.6341634327536,0.034623012534137354,,,,,,
EMU00066574,calibration,20.0,2016-10-20T12:29:13,300.0,l,8802730,0.2963102716021666,681.2896036098283,0.03495385875149504,,,,,,
EMU00066576,calibration,20.0,2016-10-20T13:04:20,300.0,l,8812915,0.29611574551783315,683.2364997682569,0.03394814843536209,,,,,,
EMU00066573,calibration,25.0,2016-10-20T12:00:15,300.0,l,43968524,-0.45644273415987935,226.9869378730356,-1.4568362628366915,,,,,,
EMU00066575,calibration,25.0,2016-10-20T12:35:19,300.0,l,43903113,-0.4438920143282812,230.0480543570354,-1.4410579838999045,,,,,,
EMU00066577,calibration,25.0,2016-10-20T13:10:33,300.0,l,43983551,-0.44343330197070663,230.77664772001603,-1.4500316389896342,,,,,,
EMU00066581,diagnostic,1000.0,2016-10-20T15:32:54,300.0,l,43910501,-1.5754426793209655,2.3972964569548054,-1.5749323942452973,0.015599999999999975,15.599999999999975,,,,
EMU00066582,diagnostic,2000.0,2016-10-20T16:02:38,300.0,l,44042819,-1.6066189613514168,0.4119674791381515,-1.6043016520873183,0.015599999999999975,31.19999999999995,,,,
EMU00066583,diagnostic,4000.0,2016-10-20T16:32:42,300.0,l,43942769,-1.6178330548395121,-0.3244991358958267,-1.6170679731447444,0.015599999999999975,62.3999999999999,,,,
EMU00066578,holdout,63.0,2016-10-20T13:39:25,300.0,l,43843517,-0.554861519593042,215.80792907401204,-1.448238457777593,0.013649999999999978,0.8599499999999987,1.967747848023743,1.3866087022961544,0.6933043511480772,0.3866087022961545
EMU00066579,holdout,160.0,2016-10-20T14:34:08,300.0,l,44049559,-0.8970326815062641,121.88615897355795,-1.3824553560958708,0.013549999999999979,2.1679999999999966,2.2035631325374716,1.5913781552268582,0.7956890776134291,0.5913781552268581
EMU00066580,holdout,400.0,2016-10-20T15:03:24,300.0,l,43795135,-1.470487635479512,-2.01738882281839,-1.4104962185275167,0.013549999999999979,5.419999999999991,2.4631480990054726,1.7785498309495757,0.8892749154747879,0.7785498309495757
EMU00066584,validation,20.0,2016-10-20T17:03:20,300.0,l,9021300,0.2972667565250726,698.8739181740561,0.03479575640875432,0.013899999999999978,0.2779999999999996,,,,
EMU00066571,validation,25.0,2016-10-20T11:20:32,300.0,l,43886379,-0.461568186598345,224.81639880867147,-1.459627166847428,0.013849999999999977,0.34624999999999945,,,,
