split,reason,count
engineering,eligible,364
engineering,insufficient_interpulse,106
engineering,insufficient_prepulse,12
engineering,pulse_below_10mV,18
calibration,eligible,1157
calibration,insufficient_interpulse,267
calibration,insufficient_prepulse,36
calibration,pulse_below_10mV,40
validation,eligible,1180
validation,insufficient_interpulse,251
validation,insufficient_prepulse,24
validation,pulse_below_10mV,45
evaluation,eligible,1148
evaluation,insufficient_interpulse,271
evaluation,insufficient_prepulse,27
evaluation,pulse_below_10mV,55
