split,model,auc,logloss,brier,n_windows,n_events
calibration,M0,0.49999999999999994,0.6931471805599452,0.25,49630,929
calibration,MT,0.7566484320989352,0.6384390971903543,0.22178948111708544,49630,929
calibration,MG,0.7492613780194166,0.6378594067292261,0.2215108991043549,49630,929
calibration,MA,0.7194847398969876,0.6274511786516686,0.21831272344615504,49630,929
calibration,MLEAK,0.9999814822843158,0.02529725104831274,0.0025381337029298087,49630,929
validation,M0,0.5000000000000001,0.6931471805599453,0.25,53755,948
validation,MT,0.7524181115214607,0.6430642217661318,0.22345958479689174,53755,948
validation,MG,0.7418653845436641,0.6433512762312196,0.22360855420074963,53755,948
validation,MA,0.7123197665332955,0.6336875116475591,0.22073416615307906,53755,948
validation,MLEAK,0.9999414944294738,0.02548987063899658,0.0026310984908763796,53755,948
evaluation,M0,0.49999999999999994,0.6931471805599453,0.25,51434,920
evaluation,MT,0.7530155174677112,0.6403932385336598,0.22246405201719002,51434,920
evaluation,MG,0.7418242048677869,0.6409177998366113,0.22269932313954446,51434,920
evaluation,MA,0.7107827395554744,0.6322966436011185,0.22038196642252927,51434,920
evaluation,MLEAK,0.9999784776037101,0.02521123621134765,0.0025875806189398333,51434,920
