window_ns,time_ns,axis,n,median,q25,q75
64,-1024,x_radial,214,1.0,0.8993888779924908,1.1110602814295427
64,-1016,x_radial,214,1.0,0.8918231910260654,1.1105771747490585
64,-1008,x_radial,215,1.0,0.9043049701906491,1.1166772088463932
64,-1000,x_radial,215,1.0,0.8949125858617695,1.1007084165957073
64,-992,x_radial,216,1.0,0.8897775760926405,1.104310488649843
64,-984,x_radial,216,1.0,0.8870201343976878,1.1090288728079196
64,-976,x_radial,218,1.0,0.9030147135118424,1.110231281527387
64,-968,x_radial,218,1.0,0.8841146234518855,1.110281941297468
64,-960,x_radial,218,1.0,0.8841146234518855,1.118243893682677
64,-952,x_radial,219,1.0,0.8831573452761523,1.1093167476209311
64,-944,x_radial,219,1.0,0.8848801422088756,1.0938353775394292
64,-936,x_radial,219,1.0,0.8953797094068556,1.101586357647677
64,-928,x_radial,220,1.0,0.8955346103785062,1.104310488649843
64,-920,x_radial,220,1.0,0.8956895113501572,1.1054389609036164
64,-912,x_radial,221,1.0,0.8981535560169829,1.107022516668319
64,-904,x_radial,222,1.0,0.9090219448027177,1.131552508837281
64,-896,x_radial,223,1.0,0.8987944221509314,1.116334839397656
64,-888,x_radial,225,1.0,0.9075073388395457,1.122229517767791
64,-880,x_radial,225,1.0227038425243014,0.9041991462912058,1.1132771318270975
64,-872,x_radial,225,1.0,0.9075073388395457,1.1422544538343622
64,-864,x_radial,228,1.0,0.9085944463582712,1.1343692219101706
64,-856,x_radial,228,1.0,0.8770074015514754,1.1383302308429615
64,-848,x_radial,228,1.0,0.884018743742514,1.1148716889749428
64,-840,x_radial,230,1.0,0.857825620868344,1.0949738055717093
64,-832,x_radial,232,1.0,0.873428149970904,1.1044779663641964
64,-824,x_radial,234,0.9840921616558749,0.8855949042417787,1.0834749503933068
64,-816,x_radial,234,1.0,0.9041292790048552,1.0737337120651635
64,-808,x_radial,234,1.0,0.8926694432571884,1.0835718430508814
64,-800,x_radial,235,0.9738901615846332,0.862625782622914,1.0814424960500733
64,-792,x_radial,237,0.9845396908711664,0.8643992813271373,1.1014172713768542
64,-784,x_radial,238,1.0,0.8695120004727286,1.1084257113813438
64,-776,x_radial,238,1.0,0.8849628651476025,1.1108383570876483
64,-768,x_radial,238,1.0,0.8956954861930029,1.1106382042162515
64,-760,x_radial,238,1.0,0.8892683164275761,1.102543217696924
64,-752,x_radial,240,1.0,0.9195472942231554,1.1189576556070424
64,-744,x_radial,240,1.0,0.9191071918038808,1.1189356459174746
64,-736,x_radial,241,1.0129976231022069,0.9192847855285251,1.1209219784561895
64,-728,x_radial,241,1.0,0.8886030007617429,1.122433782478629
64,-720,x_radial,242,1.0,0.8972963695024191,1.1376258132977868
64,-712,x_radial,242,1.0,0.9000292616156899,1.1399273799456444
64,-704,x_radial,244,1.0,0.8908435984982384,1.1226876427234513
64,-696,x_radial,244,1.0,0.8908722803507818,1.1320904953278048
64,-688,x_radial,244,1.0,0.904129279004855,1.113655090379377
64,-680,x_radial,245,1.0,0.881434548343429,1.1147889660362156
64,-672,x_radial,246,1.0,0.896298338830603,1.1043104886498432
64,-664,x_radial,247,1.0,0.8712951352127835,1.1168426547238477
64,-656,x_radial,247,1.0,0.8833227911536068,1.1339400727320164
64,-648,x_radial,248,1.0,0.881434548343429,1.1315284671243215
64,-640,x_radial,249,1.0,0.8925667632323578,1.1185654516565708
64,-632,x_radial,249,1.0,0.8891675055595463,1.1088243776649365
64,-624,x_radial,249,1.0,0.8827207802390044,1.1084257113813438
64,-616,x_radial,250,1.0,0.8994891317851509,1.1185654516565708
64,-608,x_radial,250,1.0,0.9051884837885651,1.1158812596522174
64,-600,x_radial,250,1.0,0.8994352882848801,1.1022870993469143
64,-592,x_radial,250,1.0,0.8852110339637846,1.104265468497687
64,-584,x_radial,251,1.0,0.8820671861487348,1.1055609748026032
64,-576,x_radial,252,1.0,0.8616151934366428,1.1045756848928452
64,-568,x_radial,252,1.0,0.8637444063250823,1.1079764767731513
64,-560,x_radial,252,1.0,0.8556485460735381,1.1227427753965424
64,-552,x_radial,252,1.0,0.8784449447813762,1.1147889660362151
64,-544,x_radial,253,1.0,0.889402642180052,1.1108324944404535
64,-536,x_radial,255,1.0,0.8776974560165673,1.0992526911044096
64,-528,x_radial,256,1.0,0.8877773397665535,1.1106561419750745
64,-520,x_radial,257,1.0,0.9073119510249319,1.129301751160649
64,-512,x_radial,257,1.0,0.9090219448027177,1.1338152858071449
64,-504,x_radial,258,1.0,0.8861789346165501,1.1158633667940863
64,-496,x_radial,259,1.0,0.8716547078130055,1.1288783111462728
64,-488,x_radial,259,1.0,0.8803954471291082,1.1192037798511112
64,-480,x_radial,261,1.0,0.8837784996199567,1.1174249693036389
64,-472,x_radial,263,1.0,0.8852110339637846,1.1128136615619317
64,-464,x_radial,264,1.0,0.8661068808928787,1.1028891875779097
64,-456,x_radial,264,1.0,0.8851283110250573,1.0927503195562163
64,-448,x_radial,264,1.0,0.888178387660606,1.1015245645283946
64,-440,x_radial,265,1.0,0.8891675055595463,1.09498270610379
64,-432,x_radial,265,1.0,0.881434548343429,1.0926880489750683
64,-424,x_radial,265,1.0,0.8891675055595463,1.1147889660362154
64,-416,x_radial,266,0.9856799831352367,0.897584579446068,1.0962169314381278
64,-408,x_radial,266,1.0,0.9077394494693785,1.0922605505306218
64,-400,x_radial,267,1.0,0.9099116443303397,1.1156913877799841
64,-392,x_radial,268,1.0,0.8956895113501571,1.1079610022070516
64,-384,x_radial,273,1.0,0.8875538665024673,1.095519338623557
64,-376,x_radial,273,1.0,0.8976441389752176,1.0924926611604542
64,-368,x_radial,273,1.0,0.9075073388395455,1.122229517767791
64,-360,x_radial,273,1.0,0.8693218851051778,1.122375570199074
64,-352,x_radial,273,1.0,0.8915742886186562,1.1043104886498432
64,-344,x_radial,274,1.0,0.895689511350157,1.0962169314381278
64,-336,x_radial,275,1.0,0.8783939459168129,1.1028183799810898
64,-328,x_radial,277,1.0,0.9041292790048555,1.1278027996980544
64,-320,x_radial,278,1.0,0.9090219448027178,1.1185654516565708
64,-312,x_radial,279,1.0,0.9071349886440884,1.111367224965857
64,-304,x_radial,281,1.0,0.8985827286231457,1.1147889660362156
64,-296,x_radial,281,1.0,0.8891675055595463,1.1147889660362156
64,-288,x_radial,282,1.0,0.9073119510249319,1.1147889660362156
64,-280,x_radial,282,1.0,0.9033013248300652,1.1063445096637001
64,-272,x_radial,282,1.0,0.9050172938962101,1.1043391547689256
64,-264,x_radial,284,1.0,0.8931357751163981,1.0788998836287174
64,-256,x_radial,284,1.0,0.9089378026376573,1.0925415081141079
64,-248,x_radial,284,1.0,0.8956856588985463,1.095519338623557
64,-240,x_radial,284,1.0,0.8810866745689528,1.1107904677275504
64,-232,x_radial,284,1.0,0.889342392363127,1.1208031281201947
64,-224,x_radial,284,1.0,0.8890294259427995,1.1044779663641964
64,-216,x_radial,284,1.0,0.8601762947790061,1.10818745602332
64,-208,x_radial,284,1.0,0.8763450208719066,1.1130268115845996
64,-200,x_radial,284,1.0,0.8891616429123518,1.1288877846759344
64,-192,x_radial,284,1.0,0.881561895000118,1.1031773975215584
64,-184,x_radial,284,1.0,0.881561895000118,1.1015245645283946
64,-176,x_radial,284,1.0,0.8945610390963834,1.1125026740098558
64,-168,x_radial,284,1.0,0.8897584935138484,1.104415982175357
64,-160,x_radial,284,1.0,0.8984988440511993,1.1074729819174733
64,-152,x_radial,284,1.0,0.9048831357662683,1.1214857611690654
64,-144,x_radial,284,1.0,0.904392815783546,1.121033887088464
64,-136,x_radial,284,1.0,0.8975845794460681,1.122229517767791
64,-128,x_radial,284,1.0,0.9036768779466331,1.1237323775738193
64,-120,x_radial,284,1.0,0.9047952901733713,1.1366219301218747
64,-112,x_radial,284,1.0,0.9048831357662683,1.12352335697039
64,-104,x_radial,284,1.0,0.8975845794460681,1.1192444762987133
64,-96,x_radial,284,1.0,0.8911756223350633,1.1169655983213636
64,-88,x_radial,284,1.0,0.8793563459147878,1.1159812562574858
64,-80,x_radial,284,0.9948792433031428,0.8776800359297314,1.1100077512111424
64,-72,x_radial,284,1.0,0.865672208722222,1.1108383570876483
64,-64,x_radial,284,1.0,0.8772135653937916,1.0953650544368574
64,-56,x_radial,284,1.0,0.8772135653937916,1.1171955753182101
64,-48,x_radial,284,1.0,0.8823992222651105,1.1136805573333532
64,-40,x_radial,284,1.0,0.9125741316779349,1.1151530639082163
64,-32,x_radial,284,1.0,0.9073119510249319,1.1188072558474627
64,-24,x_radial,284,1.0,0.9128268455892704,1.1174897742108976
64,-16,x_radial,284,1.009810780130123,0.9073119510249319,1.14611211176893
64,-8,x_radial,284,1.0,0.9024931041151583,1.122037373410132
64,0,x_radial,284,1.4025031121417055,1.255875326737494,1.5219243662565611
64,8,x_radial,284,1.8414044104454952,1.7688906516285214,1.890771157367909
64,16,x_radial,284,1.8912434857304343,1.8438194331338795,1.9259707082547182
64,24,x_radial,284,1.8960155985367992,1.852297942604972,1.9310118594600731
64,32,x_radial,284,1.8978663143173375,1.854011522519732,1.9324629143574181
64,40,x_radial,284,1.8985165294956852,1.855764134648819,1.9352929374203849
64,48,x_radial,284,1.899699886253283,1.8600005211883817,1.9329115749354788
64,56,x_radial,284,1.9007337127699993,1.8615031348347693,1.9335737929004158
64,64,x_radial,284,1.7889989364114123,1.7585528747967007,1.8118883361253828
64,72,x_radial,284,1.1529793091855085,1.1178907510332952,1.2058726547280234
64,80,x_radial,284,0.6798676313048904,0.6518482550599245,0.715129483603846
64,88,x_radial,284,0.44522061538491464,0.42260994708122884,0.4727643151558909
64,96,x_radial,284,0.2686751445777614,0.24463221263608254,0.2946357166793082
64,104,x_radial,284,0.18783880644067602,0.1635431124131091,0.21395813386174498
