run,field_g,turn_fraction,correlation_real,correlation_imag,anti_similarity
EMU00066571,25.0,0.3,-0.15865109436458225,0.41618304300089504,0.15865109436458225
EMU00066571,25.0,0.31,-0.1982608111607667,0.3934815057102988,0.1982608111607667
EMU00066571,25.0,0.32,-0.2504012979630169,0.3854603631949924,0.2504012979630169
EMU00066571,25.0,0.33,-0.30455554651310995,0.3779455154575534,0.30455554651310995
EMU00066571,25.0,0.34,-0.3561967612561223,0.36345366265849993,0.3561967612561223
EMU00066571,25.0,0.35,-0.3977571947175007,0.3360006758443993,0.3977571947175007
EMU00066571,25.0,0.36,-0.43240342506843493,0.3172341077856387,0.43240342506843493
EMU00066571,25.0,0.37,-0.4643904914458997,0.2939738386370373,0.4643904914458997
EMU00066571,25.0,0.38,-0.5158234267478967,0.2801348347061425,0.5158234267478967
EMU00066571,25.0,0.39,-0.5516903450266981,0.25729662510703605,0.5516903450266981
EMU00066571,25.0,0.4,-0.5867792969408843,0.23649653708746501,0.5867792969408843
EMU00066571,25.0,0.41,-0.6085621409326614,0.20908213105081241,0.6085621409326614
EMU00066571,25.0,0.42,-0.6186321808172902,0.18731194743993854,0.6186321808172902
EMU00066571,25.0,0.43,-0.6636245496431368,0.15943193661100752,0.6636245496431368
EMU00066571,25.0,0.44,-0.6830341594228044,0.13105005947412832,0.6830341594228044
EMU00066571,25.0,0.45,-0.70601595726992,0.1061085205629005,0.70601595726992
EMU00066571,25.0,0.46,-0.7047784510305449,0.07627089631014755,0.7047784510305449
EMU00066571,25.0,0.47,-0.7175243684948286,0.04841395358468234,0.7175243684948286
EMU00066571,25.0,0.48,-0.7356930513717195,0.025698871608587356,0.7356930513717195
EMU00066571,25.0,0.49,-0.7457021445074221,0.0006847431921491064,0.7457021445074221
EMU00066571,25.0,0.5,-0.7511607471359651,-0.02732048348536015,0.7511607471359651
EMU00066571,25.0,0.51,-0.7439095609962307,-0.048248887901317615,0.7439095609962307
EMU00066571,25.0,0.52,-0.7313434106951702,-0.07941341405919258,0.7313434106951702
EMU00066571,25.0,0.53,-0.7318843361104034,-0.09676814892318246,0.7318843361104034
EMU00066571,25.0,0.54,-0.73242729472205,-0.12933415150068106,0.73242729472205
EMU00066571,25.0,0.55,-0.7228531402418824,-0.15320261800546822,0.7228531402418824
EMU00066571,25.0,0.56,-0.7131682044160289,-0.1753727840966533,0.7131682044160289
EMU00066571,25.0,0.57,-0.6821016410971085,-0.19615996253817855,0.6821016410971085
EMU00066571,25.0,0.58,-0.6628769733713452,-0.22023169168039244,0.6628769733713452
EMU00066571,25.0,0.59,-0.6480628717161037,-0.24711967905996773,0.6480628717161037
EMU00066571,25.0,0.6,-0.631635490661768,-0.2705307170120344,0.631635490661768
EMU00066571,25.0,0.61,-0.6138782924373096,-0.2852750309910744,0.6138782924373096
EMU00066571,25.0,0.62,-0.5779363516712825,-0.29703174675449534,0.5779363516712825
EMU00066571,25.0,0.63,-0.5473667439972819,-0.31197210157814764,0.5473667439972819
EMU00066571,25.0,0.64,-0.5295932773722574,-0.33958301489419596,0.5295932773722574
EMU00066571,25.0,0.65,-0.5003853631654233,-0.3550042991753645,0.5003853631654233
EMU00066571,25.0,0.66,-0.46545045555510856,-0.37806931544293326,0.46545045555510856
EMU00066571,25.0,0.67,-0.4255854189916138,-0.39571491954731375,0.4255854189916138
EMU00066571,25.0,0.68,-0.37089414870839643,-0.3897893730635108,0.37089414870839643
EMU00066571,25.0,0.69,-0.34649365585950287,-0.41490339749163946,0.34649365585950287
EMU00066571,25.0,0.7,-0.30874150904000747,-0.43460116600143367,0.30874150904000747
EMU00066584,20.0,0.3,-0.3252624811490073,0.8246804349683128,0.3252624811490073
EMU00066584,20.0,0.31,-0.37710361242247875,0.8033935082309347,0.37710361242247875
EMU00066584,20.0,0.32,-0.42753843129866015,0.7799092988118691,0.42753843129866015
EMU00066584,20.0,0.33,-0.47607424487131556,0.75312152781015,0.47607424487131556
EMU00066584,20.0,0.34,-0.5224826315874033,0.7227428141251592,0.5224826315874033
EMU00066584,20.0,0.35,-0.5677432626529382,0.6906497542865808,0.5677432626529382
EMU00066584,20.0,0.36,-0.6105083455681439,0.6564869219945463,0.6105083455681439
EMU00066584,20.0,0.37,-0.6507423006363294,0.6198005428020577,0.6507423006363294
EMU00066584,20.0,0.38,-0.6876980604203732,0.5810562647040964,0.6876980604203732
EMU00066584,20.0,0.39,-0.7236735604846475,0.5400618249022892,0.7236735604846475
EMU00066584,20.0,0.4,-0.7564980972087899,0.49707270187485186,0.7564980972087899
EMU00066584,20.0,0.41,-0.7859615302440999,0.4525664117842896,0.7859615302440999
EMU00066584,20.0,0.42,-0.8122139854356724,0.4056041752767977,0.8122139854356724
EMU00066584,20.0,0.43,-0.837056360622787,0.35828128475456655,0.837056360622787
EMU00066584,20.0,0.44,-0.8581221262795258,0.30943319277343945,0.8581221262795258
EMU00066584,20.0,0.45,-0.8755679896547118,0.2590144103944879,0.8755679896547118
EMU00066584,20.0,0.46,-0.8894623583719223,0.2074427252848594,0.8894623583719223
EMU00066584,20.0,0.47,-0.9012133278053596,0.15540302964713024,0.9012133278053596
EMU00066584,20.0,0.48,-0.9093480486008766,0.10194145580508784,0.9093480486008766
EMU00066584,20.0,0.49,-0.9129547311521135,0.04786494845816829,0.9129547311521135
EMU00066584,20.0,0.5,-0.9131174707106104,-0.007050006898782797,0.9131174707106104
EMU00066584,20.0,0.51,-0.910813258467653,-0.06144318685800051,0.910813258467653
EMU00066584,20.0,0.52,-0.9038941037458786,-0.11606215239786866,0.9038941037458786
EMU00066584,20.0,0.53,-0.8931295730367438,-0.1703057972381926,0.8931295730367438
EMU00066584,20.0,0.54,-0.8786682297793282,-0.22431503766270175,0.8786682297793282
EMU00066584,20.0,0.55,-0.861758649238772,-0.27716391807952295,0.861758649238772
EMU00066584,20.0,0.56,-0.8403963427385188,-0.3293061559529126,0.8403963427385188
EMU00066584,20.0,0.57,-0.8147385331220128,-0.38032372418941873,0.8147385331220128
EMU00066584,20.0,0.58,-0.7863267698513356,-0.42990524267806707,0.7863267698513356
EMU00066584,20.0,0.59,-0.7550117838409349,-0.4783936245777162,0.7550117838409349
EMU00066584,20.0,0.6,-0.7202316079614557,-0.524239506177365,0.7202316079614557
EMU00066584,20.0,0.61,-0.6810492179724825,-0.5677521883994779,0.6810492179724825
EMU00066584,20.0,0.62,-0.6413040962023001,-0.6097769801284566,0.6413040962023001
EMU00066584,20.0,0.63,-0.5983950359247749,-0.6486397451116496,0.5983950359247749
EMU00066584,20.0,0.64,-0.552353913142745,-0.6851752511999143,0.552353913142745
EMU00066584,20.0,0.65,-0.5032398263577696,-0.7181744624600251,0.5032398263577696
