control_family,label,turns,observed_counts,expected_counts,observed_expected_ratio,excess_ratio
integer,integer_2,2.0,4962150.0,4955244.014243296,1.0013936721858405,0.001393672185840522
integer,integer_3,3.0,3628511.0,3623906.451959348,1.0012706034500871,0.0012706034500871155
integer,integer_4,4.0,2731238.0,2728113.6662198664,1.001145235925768,0.0011452359257679845
integer,integer_5,5.0,2133044.0,2132557.1536952266,1.0002282922658976,0.00022829226589760054
integer,integer_6,6.0,1711822.0,1710113.090807686,1.0009992960123513,0.0009992960123512695
integer,integer_7,7.0,1195935.0,1195433.2948990932,1.0004196847310909,0.0004196847310908858
integer,integer_8,8.0,1167345.0,1166589.7665130524,1.0006473856608609,0.0006473856608608664
quarter,quarter_2.25,2.25,4569576.0,4565747.938819729,1.0008384302487932,0.0008384302487931539
quarter,quarter_3.25,3.25,3368030.0,3367849.782671832,1.0000535110945552,5.351109455520309e-05
quarter,quarter_4.25,4.25,2302787.0,2300100.0613575606,1.0011681833706199,0.0011681833706198574
quarter,quarter_5.25,5.25,2011133.0,2011854.7761201093,0.9996412384588209,-0.00035876154117908676
quarter,quarter_6.25,6.25,1624929.0,1623274.9248331077,1.001018974137768,0.0010189741377679695
quarter,quarter_7.25,7.25,1420179.0,1419841.9478338077,1.0002373871026324,0.0002373871026324359
quarter,quarter_8.25,8.25,1115632.0,1117454.9583475473,0.9983686516096872,-0.001631348390312759
three_quarter,three_quarter_1.75,1.75,5392657.0,5389541.7141175205,1.0005780242639777,0.0005780242639776834
three_quarter,three_quarter_2.75,2.75,3616307.0,3612063.221944391,1.0011748903036433,0.0011748903036432612
three_quarter,three_quarter_3.75,3.75,2923209.0,2917961.582997702,1.0017983160000712,0.0017983160000711873
three_quarter,three_quarter_4.75,4.75,2235059.0,2231717.6422213437,1.001497213498447,0.0014972134984470031
three_quarter,three_quarter_5.75,5.75,1575479.0,1573492.222201786,1.001262654984995,0.0012626549849950042
three_quarter,three_quarter_6.75,6.75,1470705.0,1468411.954472497,1.001561581898403,0.0015615818984029417
three_quarter,three_quarter_7.75,7.75,1218462.0,1219004.1910061305,0.9995552180951215,-0.00044478190487851066
field_permutation,field_permutation_1,7.5,1276411.0,1275292.0185236146,1.000877431568717,0.000877431568717002
field_permutation,field_permutation_2,7.5,1272577.0,1273074.0948069096,0.9996095319126064,-0.00039046808739362504
field_permutation,field_permutation_3,7.5,1278043.0,1275733.1718596662,1.0018105887589068,0.0018105887589068281
field_permutation,field_permutation_4,7.5,1272336.0,1273125.1324299301,0.9993801611406226,-0.0006198388593774418
field_permutation,field_permutation_5,7.5,1274731.0,1275505.1982810535,0.9993930261655564,-0.000606973834443636
