momentum_mev_c,charged_energy_ara_x_e,joint_neutral_energy_ara_x_n,fit_asymmetry_digitised,data_minus_fit_digitised,residual_sigma_digitised,reconstructed_data_asymmetry,joint_neutral_direction_asymmetry,residual_square_x_pixel,residual_square_y_pixel
17.250000,0.326667279,1.673332721,-0.157257490,-0.016250000,0.014609375,-0.173507490,0.173507490,511,1830
17.750000,0.336127711,1.663872289,-0.147870975,-0.004531250,0.011640625,-0.152402225,0.152402225,528,1755
18.250000,0.345588364,1.654411636,-0.138578577,-0.001093750,0.009843750,-0.139672327,0.139672327,545,1733
18.750000,0.355049220,1.644950780,-0.129368320,-0.009062500,0.008671875,-0.138430820,0.138430820,562,1784
19.250000,0.364510263,1.635489737,-0.120228226,0.001718750,0.007734375,-0.118509476,0.118509476,579,1715
19.750000,0.373971480,1.626028520,-0.111146321,-0.005000000,0.006953125,-0.116146321,0.116146321,596,1758
20.250000,0.383432857,1.616567143,-0.102110627,-0.001093750,0.006406250,-0.103204377,0.103204377,614,1733
20.750000,0.392894382,1.607105618,-0.093109168,0.002343750,0.006015625,-0.090765418,0.090765418,630,1711
21.250000,0.402356046,1.597643954,-0.084129968,-0.003906250,0.005625000,-0.088036218,0.088036218,648,1751
21.750000,0.411817839,1.588182161,-0.075161051,-0.004218750,0.005234375,-0.079379801,0.079379801,665,1753
22.250000,0.421279752,1.578720248,-0.066190440,0.006875000,0.005156250,-0.059315440,0.059315440,682,1682
22.750000,0.430741776,1.569258224,-0.057206158,0.005156250,0.004843750,-0.052049908,0.052049908,699,1693
23.250000,0.440203906,1.559796094,-0.048196231,-0.004062500,0.004609375,-0.052258731,0.052258731,716,1752
23.750000,0.449666134,1.550333866,-0.039148680,-0.001093750,0.004531250,-0.040242430,0.040242430,734,1733
24.250000,0.459128454,1.540871546,-0.030051530,-0.004218750,0.004218750,-0.034270280,0.034270280,751,1753
24.750000,0.468590861,1.531409139,-0.020892805,-0.003593750,0.004218750,-0.024486555,0.024486555,768,1749
25.250000,0.478053350,1.521946650,-0.011660528,-0.002656250,0.003984375,-0.014316778,0.014316778,785,1743
25.750000,0.487515915,1.512484085,-0.002342723,0.000781250,0.003984375,-0.001561473,0.001561473,802,1721
26.250000,0.496978552,1.503021448,0.007072587,-0.003593750,0.003750000,0.003478837,-0.003478837,819,1749
26.750000,0.506441258,1.493558742,0.016597377,0.004687500,0.003750000,0.021284877,-0.021284877,837,1696
27.250000,0.515904028,1.484095972,0.026243624,0.004687500,0.003593750,0.030931124,-0.030931124,853,1696
27.750000,0.525366860,1.474633140,0.036023305,0.003125000,0.009609375,0.039148305,-0.039148305,870,1706
28.250000,0.534829749,1.465170251,0.045948396,0.002812500,0.009765625,0.048760896,-0.048760896,888,1708
28.750000,0.544292693,1.455707307,0.056030873,-0.001406250,0.011875000,0.054624623,-0.054624623,905,1735
29.250000,0.553755689,1.446244311,0.066282712,-0.003750000,0.013359375,0.062532712,-0.062532712,922,1750
29.750000,0.563218734,1.436781266,0.076715890,-0.002343750,0.012187500,0.074372140,-0.074372140,939,1741
30.250000,0.572681826,1.427318174,0.087342383,-0.002031250,0.012109375,0.085311133,-0.085311133,956,1739
30.750000,0.582144963,1.417855037,0.098174168,-0.007187500,0.003359375,0.090986668,-0.090986668,973,1772
31.250000,0.591608143,1.408391857,0.109223220,0.006406250,0.003281250,0.115629470,-0.115629470,991,1685
31.750000,0.601071362,1.398928638,0.120501516,0.001718750,0.003203125,0.122220266,-0.122220266,1007,1715
32.250000,0.610534621,1.389465379,0.132021033,-0.004062500,0.003203125,0.127958533,-0.127958533,1025,1752
32.750000,0.619997916,1.380002084,0.143793747,0.005156250,0.003125000,0.148949997,-0.148949997,1042,1693
33.250000,0.629461247,1.370538753,0.155831634,-0.002343750,0.003125000,0.153487884,-0.153487884,1059,1741
33.750000,0.638924611,1.361075389,0.168146670,-0.001093750,0.003125000,0.167052920,-0.167052920,1076,1733
34.250000,0.648388007,1.351611993,0.180750832,-0.002343750,0.003125000,0.178407082,-0.178407082,1093,1741
34.750000,0.657851434,1.342148566,0.193656095,0.004687500,0.003125000,0.198343595,-0.198343595,1111,1696
35.250000,0.667314890,1.332685110,0.206874438,0.007031250,0.002890625,0.213905688,-0.213905688,1128,1681
35.750000,0.676778375,1.323221625,0.220417835,-0.002031250,0.003046875,0.218386585,-0.218386585,1145,1739
36.250000,0.686241887,1.313758113,0.234298263,-0.001406250,0.002968750,0.232892013,-0.232892013,1162,1735
36.750000,0.695705424,1.304294576,0.248527699,0.001875000,0.002890625,0.250402699,-0.250402699,1179,1714
37.250000,0.705168987,1.294831013,0.263118118,0.002343750,0.002890625,0.265461868,-0.265461868,1196,1711
37.750000,0.714632573,1.285367427,0.278081498,-0.001093750,0.002890625,0.276987748,-0.276987748,1213,1733
38.250000,0.724096183,1.275903817,0.293429813,0.004218750,0.002812500,0.297648563,-0.297648563,1230,1699
38.750000,0.733559814,1.266440186,0.309175042,-0.001093750,0.002812500,0.308081292,-0.308081292,1247,1733
39.250000,0.743023467,1.256976533,0.325329160,-0.001093750,0.002812500,0.324235410,-0.324235410,1264,1733
39.750000,0.752487140,1.247512860,0.341904143,0.001250000,0.002812500,0.343154143,-0.343154143,1282,1718
40.250000,0.761950833,1.238049167,0.358911967,-0.003437500,0.002734375,0.355474467,-0.355474467,1298,1748
40.750000,0.771414544,1.228585456,0.376364610,0.000312500,0.002812500,0.376677110,-0.376677110,1316,1724
41.250000,0.780878274,1.219121726,0.394274048,-0.001093750,0.002734375,0.393180298,-0.393180298,1333,1733
41.750000,0.790342022,1.209657978,0.412652256,0.001406250,0.002656250,0.414058506,-0.414058506,1350,1717
42.250000,0.799805787,1.200194213,0.431511211,0.003593750,0.002656250,0.435104961,-0.435104961,1367,1703
42.750000,0.809269568,1.190730432,0.450862889,0.001562500,0.002656250,0.452425389,-0.452425389,1384,1716
43.250000,0.818733364,1.181266636,0.470719267,0.003906250,0.002656250,0.474625517,-0.474625517,1402,1701
43.750000,0.828197176,1.171802824,0.491092321,0.000937500,0.002656250,0.492029821,-0.492029821,1418,1720
44.250000,0.837661003,1.162338997,0.511994028,0.002343750,0.002656250,0.514337778,-0.514337778,1436,1711
44.750000,0.847124844,1.152875156,0.533436363,-0.001875000,0.002578125,0.531561363,-0.531561363,1453,1738
45.250000,0.856588699,1.143411301,0.555431303,-0.004531250,0.002656250,0.550900053,-0.550900053,1470,1755
45.750000,0.866052567,1.133947433,0.577990825,0.001562500,0.002656250,0.579553325,-0.579553325,1487,1716
46.250000,0.875516448,1.124483552,0.601126904,-0.002187500,0.002734375,0.598939404,-0.598939404,1504,1740
46.750000,0.884980342,1.115019658,0.624851518,0.001875000,0.002734375,0.626726518,-0.626726518,1521,1714
47.250000,0.894444248,1.105555752,0.649176642,-0.001093750,0.002734375,0.648082892,-0.648082892,1538,1733
47.750000,0.903908165,1.096091835,0.674114252,-0.001562500,0.002890625,0.672551752,-0.672551752,1556,1736
48.250000,0.913372094,1.086627906,0.699676326,-0.001406250,0.002812500,0.698270076,-0.698270076,1573,1735
48.750000,0.922836034,1.077163966,0.725874839,-0.001250000,0.002890625,0.724624839,-0.724624839,1590,1734
49.250000,0.932299984,1.067700016,0.752721767,-0.003125000,0.002734375,0.749596767,-0.749596767,1607,1746
49.750000,0.941763945,1.058236055,0.780229088,0.003281250,0.002812500,0.783510338,-0.783510338,1625,1705
