model,mean_nll,delta_vs_parent
joint_information3,-0.0765520135630199,0.01550638469224671
parent_only,-0.06104562887077319,0.0
relation_only,0.17397569574784957,-0.23502132461862277
unconditional,0.19955061532423754,-0.2605962441950107
additive_factorized,-0.08193088404780693,0.020885255177033747
relation_shuffled_calibration,-0.04019217519884266,-0.020853453671930526
wrong_event_relation,0.0017521672070686485,-0.06279779607784183
mirrored_orientation,0.08739771786452731,-0.1484433467353005
phase_space,0.025771659198687465,-0.08681728806946065
analytic_va_oracle,-0.11601449483990683,0.05496886596913365
