delta_x_bin_low,delta_x_bin_high,count,fraction
0.021533503294034584,0.031160132086822393,1,0.0001
0.031160132086822393,0.0407867608796102,0,0.0
0.0407867608796102,0.050413389672398015,0,0.0
0.050413389672398015,0.06004001846518582,1,0.0001
0.06004001846518582,0.06966664725797363,0,0.0
0.06966664725797363,0.07929327605076145,1,0.0001
0.07929327605076145,0.08891990484354925,0,0.0
0.08891990484354925,0.09854653363633706,2,0.0002
0.09854653363633706,0.10817316242912486,1,0.0001
0.10817316242912486,0.11779979122191267,6,0.0006
0.11779979122191267,0.1274264200147005,9,0.0009
0.1274264200147005,0.1370530488074883,23,0.0023
0.1370530488074883,0.14667967760027611,39,0.0039
0.14667967760027611,0.15630630639306392,57,0.0057
0.15630630639306392,0.16593293518585173,84,0.0084
0.16593293518585173,0.17555956397863953,154,0.0154
0.17555956397863953,0.18518619277142734,220,0.022
0.18518619277142734,0.19481282156421514,295,0.0295
0.19481282156421514,0.20443945035700295,388,0.0388
0.20443945035700295,0.21406607914979076,502,0.0502
0.21406607914979076,0.2236927079425786,599,0.0599
0.2236927079425786,0.2333193367353664,796,0.0796
0.2333193367353664,0.2429459655281542,837,0.0837
0.2429459655281542,0.25257259432094203,933,0.0933
0.25257259432094203,0.2621992231137298,923,0.0923
0.2621992231137298,0.27182585190651765,910,0.091
0.27182585190651765,0.28145248069930545,815,0.0815
0.28145248069930545,0.29107910949209326,673,0.0673
0.29107910949209326,0.30070573828488106,541,0.0541
0.30070573828488106,0.31033236707766887,410,0.041
0.31033236707766887,0.3199589958704567,312,0.0312
0.3199589958704567,0.3295856246632445,196,0.0196
0.3295856246632445,0.3392122534560323,133,0.0133
0.3392122534560323,0.3488388822488201,66,0.0066
0.3488388822488201,0.3584655110416079,32,0.0032
0.3584655110416079,0.3680921398343957,25,0.0025
0.3680921398343957,0.3777187686271835,8,0.0008
0.3777187686271835,0.3873453974199713,6,0.0006
0.3873453974199713,0.3969720262127591,1,0.0001
0.3969720262127591,0.4065986550055469,1,0.0001
