shift_native_ns,valid,ridge_error,as_good_as_real
1,True,0.2853874592182266,True
2,True,0.27717585259233535,True
3,True,0.268943075842484,True
4,True,0.26087558205381733,True
5,True,0.2527680575802791,True
6,True,0.2449420225527691,True
7,True,0.23709444215353626,True
8,True,0.2295326982845054,True
9,True,0.2220754620625136,True
10,True,0.21483875141988096,True
11,True,0.20790729922433027,True
12,True,0.20110874624815467,True
13,True,0.19478464191185751,True
14,True,0.1887556493566358,True
15,True,0.18299842436861302,True
16,True,0.1778245688752017,True
17,True,0.1731748960332914,True
18,True,0.16903208458641306,True
19,True,0.16546877520642678,True
20,True,0.16255132716159593,True
21,True,0.16050793335917657,True
22,False,nan,False
23,False,nan,False
24,False,nan,False
25,False,nan,False
26,False,nan,False
27,False,nan,False
28,False,nan,False
29,False,nan,False
30,False,nan,False
31,False,nan,False
32,False,nan,False
33,False,nan,False
34,False,nan,False
35,False,nan,False
36,False,nan,False
37,False,nan,False
38,False,nan,False
39,False,nan,False
40,False,nan,False
41,False,nan,False
42,False,nan,False
43,False,nan,False
44,False,nan,False
45,False,nan,False
46,False,nan,False
47,False,nan,False
48,False,nan,False
49,False,nan,False
50,False,nan,False
51,False,nan,False
52,False,nan,False
53,False,nan,False
54,False,nan,False
55,False,nan,False
56,False,nan,False
57,False,nan,False
58,False,nan,False
59,False,nan,False
60,False,nan,False
61,False,nan,False
62,False,nan,False
63,False,nan,False
64,False,nan,False
65,False,nan,False
66,False,nan,False
67,False,nan,False
68,False,nan,False
69,False,nan,False
70,False,nan,False
71,False,nan,False
72,False,nan,False
73,False,nan,False
74,False,nan,False
75,False,nan,False
76,False,nan,False
77,False,nan,False
78,False,nan,False
79,False,nan,False
80,False,nan,False
81,False,nan,False
82,False,nan,False
83,False,nan,False
84,False,nan,False
85,False,nan,False
86,False,nan,False
87,False,nan,False
88,False,nan,False
89,False,nan,False
90,False,nan,False
91,False,nan,False
92,False,nan,False
93,False,nan,False
94,False,nan,False
95,False,nan,False
96,False,nan,False
97,False,nan,False
98,False,nan,False
99,False,nan,False
100,False,nan,False
101,False,nan,False
102,False,nan,False
103,False,nan,False
104,False,nan,False
105,False,nan,False
106,False,nan,False
107,False,nan,False
108,False,nan,False
109,False,nan,False
110,False,nan,False
111,False,nan,False
112,False,nan,False
113,False,nan,False
114,False,nan,False
115,False,nan,False
116,False,nan,False
117,False,nan,False
118,False,nan,False
119,False,nan,False
120,False,nan,False
121,False,nan,False
122,False,nan,False
123,False,nan,False
124,False,nan,False
125,False,nan,False
126,False,nan,False
127,False,nan,False
128,False,nan,False
129,False,nan,False
130,False,nan,False
131,False,nan,False
132,False,nan,False
133,False,nan,False
134,False,nan,False
135,False,nan,False
136,False,nan,False
137,False,nan,False
138,False,nan,False
139,False,nan,False
140,False,nan,False
141,False,nan,False
142,False,nan,False
143,False,nan,False
144,False,nan,False
145,False,nan,False
146,False,nan,False
147,False,nan,False
148,False,nan,False
149,False,nan,False
150,False,nan,False
151,False,nan,False
152,False,nan,False
153,False,nan,False
154,False,nan,False
155,False,nan,False
156,False,nan,False
157,False,nan,False
158,False,nan,False
159,False,nan,False
160,False,nan,False
161,False,nan,False
162,False,nan,False
163,False,nan,False
164,False,nan,False
165,False,nan,False
166,False,nan,False
167,False,nan,False
168,False,nan,False
169,False,nan,False
170,False,nan,False
171,False,nan,False
172,False,nan,False
173,False,nan,False
174,False,nan,False
175,False,nan,False
176,False,nan,False
177,False,nan,False
178,False,nan,False
179,False,nan,False
180,False,nan,False
181,False,nan,False
182,False,nan,False
183,False,nan,False
184,False,nan,False
185,False,nan,False
186,False,nan,False
187,False,nan,False
188,False,nan,False
189,False,nan,False
190,False,nan,False
191,False,nan,False
192,False,nan,False
193,False,nan,False
194,False,nan,False
195,False,nan,False
196,False,nan,False
197,False,nan,False
198,False,nan,False
199,False,nan,False
200,False,nan,False
201,False,nan,False
202,False,nan,False
203,False,nan,False
204,False,nan,False
205,False,nan,False
206,False,nan,False
207,False,nan,False
208,False,nan,False
209,False,nan,False
210,False,nan,False
211,False,nan,False
212,False,nan,False
213,False,nan,False
214,False,nan,False
215,False,nan,False
216,False,nan,False
217,False,nan,False
218,False,nan,False
219,False,nan,False
220,False,nan,False
221,False,nan,False
222,False,nan,False
223,False,nan,False
224,False,nan,False
225,False,nan,False
226,False,nan,False
227,False,nan,False
228,False,nan,False
229,False,nan,False
230,False,nan,False
231,False,nan,False
232,False,nan,False
233,False,nan,False
234,False,nan,False
235,False,nan,False
236,False,nan,False
237,False,nan,False
238,False,nan,False
239,False,nan,False
240,False,nan,False
241,False,nan,False
242,False,nan,False
243,False,nan,False
244,False,nan,False
245,False,nan,False
246,False,nan,False
247,False,nan,False
248,False,nan,False
249,False,nan,False
250,False,nan,False
251,False,nan,False
252,False,nan,False
253,False,nan,False
254,False,nan,False
255,False,nan,False
256,False,nan,False
257,False,nan,False
258,False,nan,False
259,False,nan,False
260,False,nan,False
261,False,nan,False
262,False,nan,False
263,False,nan,False
264,False,nan,False
265,False,nan,False
266,False,nan,False
267,False,nan,False
268,False,nan,False
269,False,nan,False
270,False,nan,False
271,False,nan,False
272,False,nan,False
273,False,nan,False
274,False,nan,False
275,False,nan,False
276,False,nan,False
277,False,nan,False
278,False,nan,False
279,False,nan,False
280,False,nan,False
281,False,nan,False
282,False,nan,False
283,False,nan,False
284,False,nan,False
285,False,nan,False
286,False,nan,False
287,False,nan,False
288,False,nan,False
289,False,nan,False
290,False,nan,False
291,False,nan,False
292,False,nan,False
293,False,nan,False
294,False,nan,False
295,False,nan,False
296,False,nan,False
297,False,nan,False
298,False,nan,False
299,False,nan,False
300,False,nan,False
301,False,nan,False
302,False,nan,False
303,False,nan,False
304,False,nan,False
305,False,nan,False
306,False,nan,False
307,False,nan,False
308,False,nan,False
309,False,nan,False
310,False,nan,False
311,False,nan,False
312,False,nan,False
313,False,nan,False
314,False,nan,False
315,False,nan,False
316,False,nan,False
317,False,nan,False
318,False,nan,False
319,False,nan,False
320,False,nan,False
321,False,nan,False
322,False,nan,False
323,False,nan,False
324,False,nan,False
325,False,nan,False
326,False,nan,False
327,False,nan,False
328,False,nan,False
329,False,nan,False
330,False,nan,False
331,False,nan,False
332,False,nan,False
333,False,nan,False
334,False,nan,False
335,False,nan,False
336,False,nan,False
337,False,nan,False
338,False,nan,False
339,False,nan,False
340,False,nan,False
341,False,nan,False
342,False,nan,False
343,False,nan,False
344,False,nan,False
345,False,nan,False
346,False,nan,False
347,False,nan,False
348,False,nan,False
349,False,nan,False
350,False,nan,False
351,False,nan,False
352,False,nan,False
353,False,nan,False
354,False,nan,False
355,False,nan,False
356,False,nan,False
357,False,nan,False
358,False,nan,False
359,False,nan,False
360,False,nan,False
361,False,nan,False
362,False,nan,False
363,False,nan,False
364,False,nan,False
365,False,nan,False
366,False,nan,False
367,False,nan,False
368,False,nan,False
369,False,nan,False
370,False,nan,False
371,False,nan,False
372,False,nan,False
373,False,nan,False
374,False,nan,False
375,False,nan,False
376,False,nan,False
377,False,nan,False
378,False,nan,False
379,False,nan,False
380,False,nan,False
381,False,nan,False
382,False,nan,False
383,False,nan,False
384,False,nan,False
385,False,nan,False
386,False,nan,False
387,False,nan,False
388,False,nan,False
389,False,nan,False
390,False,nan,False
391,False,nan,False
392,False,nan,False
393,False,nan,False
394,False,nan,False
395,False,nan,False
396,False,nan,False
397,False,nan,False
398,False,nan,False
399,False,nan,False
400,False,nan,False
401,False,nan,False
402,False,nan,False
403,False,nan,False
404,False,nan,False
405,False,nan,False
406,False,nan,False
407,False,nan,False
408,False,nan,False
409,False,nan,False
410,False,nan,False
411,False,nan,False
412,False,nan,False
413,False,nan,False
414,False,nan,False
415,False,nan,False
416,False,nan,False
417,False,nan,False
418,False,nan,False
419,False,nan,False
420,False,nan,False
421,False,nan,False
422,False,nan,False
423,False,nan,False
424,False,nan,False
425,False,nan,False
426,False,nan,False
427,False,nan,False
428,False,nan,False
429,False,nan,False
430,False,nan,False
431,False,nan,False
432,False,nan,False
433,False,nan,False
434,False,nan,False
435,False,nan,False
436,False,nan,False
437,False,nan,False
438,False,nan,False
439,False,nan,False
440,False,nan,False
441,False,nan,False
442,False,nan,False
443,False,nan,False
444,False,nan,False
445,False,nan,False
446,False,nan,False
447,False,nan,False
448,False,nan,False
449,False,nan,False
450,False,nan,False
451,False,nan,False
452,False,nan,False
453,False,nan,False
454,False,nan,False
455,False,nan,False
456,False,nan,False
457,False,nan,False
458,False,nan,False
459,False,nan,False
460,False,nan,False
461,False,nan,False
462,False,nan,False
463,False,nan,False
464,False,nan,False
465,False,nan,False
466,False,nan,False
467,False,nan,False
468,False,nan,False
469,False,nan,False
470,False,nan,False
471,False,nan,False
472,False,nan,False
473,False,nan,False
474,False,nan,False
475,False,nan,False
476,False,nan,False
477,False,nan,False
478,False,nan,False
479,False,nan,False
