salt,valid,reason
423,False,calibration-only window did not satisfy L < delayed crest < R
428,False,calibration-only window did not satisfy L < delayed crest < R
429,False,calibration-only window did not satisfy L < delayed crest < R
441,False,calibration-only window did not satisfy L < delayed crest < R
445,False,calibration-only window did not satisfy L < delayed crest < R
449,False,calibration-only window did not satisfy L < delayed crest < R
451,False,calibration-only window did not satisfy L < delayed crest < R
461,False,calibration-only window did not satisfy L < delayed crest < R
469,False,calibration-only window did not satisfy L < delayed crest < R
472,False,calibration-only window did not satisfy L < delayed crest < R
473,False,calibration-only window did not satisfy L < delayed crest < R
477,False,calibration-only window did not satisfy L < delayed crest < R
478,False,calibration-only window did not satisfy L < delayed crest < R
484,False,calibration-only window did not satisfy L < delayed crest < R
492,False,calibration-only window did not satisfy L < delayed crest < R
493,False,calibration-only window did not satisfy L < delayed crest < R
496,False,calibration-only window did not satisfy L < delayed crest < R
501,False,calibration-only window did not satisfy L < delayed crest < R
505,False,calibration-only window did not satisfy L < delayed crest < R
511,False,calibration-only window did not satisfy L < delayed crest < R
512,False,calibration-only window did not satisfy L < delayed crest < R
515,False,calibration-only window did not satisfy L < delayed crest < R
516,False,calibration-only window did not satisfy L < delayed crest < R
517,False,calibration-only window did not satisfy L < delayed crest < R
518,False,calibration-only window did not satisfy L < delayed crest < R
522,False,calibration-only window did not satisfy L < delayed crest < R
531,False,calibration-only window did not satisfy L < delayed crest < R
533,False,calibration-only window did not satisfy L < delayed crest < R
538,False,calibration-only window did not satisfy L < delayed crest < R
557,False,calibration-only window did not satisfy L < delayed crest < R
564,False,calibration-only window did not satisfy L < delayed crest < R
565,False,calibration-only window did not satisfy L < delayed crest < R
574,False,calibration-only window did not satisfy L < delayed crest < R
576,False,calibration-only window did not satisfy L < delayed crest < R
590,False,calibration-only window did not satisfy L < delayed crest < R
591,False,calibration-only window did not satisfy L < delayed crest < R
