rank,assignment,is_exact_reflection,cosine_similarity
1,0.125->1.125 | 0.375->1.875 | 0.625->1.625 | 0.875->1.375,False,0.8721825224232687
2,0.125->1.375 | 0.375->1.875 | 0.625->1.625 | 0.875->1.125,False,0.8568870451044713
3,0.125->1.125 | 0.375->1.625 | 0.625->1.875 | 0.875->1.375,False,0.8388169816513529
4,0.125->1.375 | 0.375->1.625 | 0.625->1.875 | 0.875->1.125,False,0.8235215043325557
5,0.125->1.125 | 0.375->1.875 | 0.625->1.375 | 0.875->1.625,False,0.8112534606127138
6,0.125->1.375 | 0.375->1.875 | 0.625->1.125 | 0.875->1.625,False,0.7755332627183752
7,0.125->1.125 | 0.375->1.375 | 0.625->1.875 | 0.875->1.625,False,0.7709573766647125
8,0.125->1.625 | 0.375->1.875 | 0.625->1.375 | 0.875->1.125,False,0.7503299865958891
9,0.125->1.375 | 0.375->1.125 | 0.625->1.875 | 0.875->1.625,False,0.732913912932991
10,0.125->1.625 | 0.375->1.875 | 0.625->1.125 | 0.875->1.375,False,0.7299052660203478
11,0.125->1.625 | 0.375->1.375 | 0.625->1.875 | 0.875->1.125,False,0.710033902647888
12,0.125->1.625 | 0.375->1.125 | 0.625->1.875 | 0.875->1.375,False,0.6872859162349635
13,0.125->1.125 | 0.375->1.625 | 0.625->1.375 | 0.875->1.875,False,0.4845586605917542
14,0.125->1.125 | 0.375->1.375 | 0.625->1.625 | 0.875->1.875,False,0.47762811741566885
15,0.125->1.375 | 0.375->1.625 | 0.625->1.125 | 0.875->1.875,False,0.4488384626974158
16,0.125->1.375 | 0.375->1.125 | 0.625->1.625 | 0.875->1.875,False,0.4395846536839472
17,0.125->1.625 | 0.375->1.375 | 0.625->1.125 | 0.875->1.875,False,0.33535086101274797
18,0.125->1.625 | 0.375->1.125 | 0.625->1.375 | 0.875->1.875,False,0.3330275951753648
19,0.125->1.875 | 0.375->1.625 | 0.625->1.375 | 0.875->1.125,True,0.20396946262098514
20,0.125->1.875 | 0.375->1.375 | 0.625->1.625 | 0.875->1.125,False,0.19703891944489976
21,0.125->1.875 | 0.375->1.625 | 0.625->1.125 | 0.875->1.375,False,0.1835447420454438
22,0.125->1.875 | 0.375->1.125 | 0.625->1.625 | 0.875->1.375,False,0.17429093303197526
23,0.125->1.875 | 0.375->1.375 | 0.625->1.125 | 0.875->1.625,False,0.11568513705880346
24,0.125->1.875 | 0.375->1.125 | 0.625->1.375 | 0.875->1.625,False,0.11336187122142032
