run,field_g,series,orientation,cosine,absolute_cosine,registered_shift_rank_of_8,best_shift,best_shift_absolute_cosine,sign_transitions,same_archive
EMU00066579,160.0,fitted W phase,direct,-0.7234927855817135,0.7234927855817135,3,3,0.8199765492037964,2,False
EMU00066580,400.0,fitted W phase,direct,-0.7057034313783833,0.7057034313783833,3,3,0.8281107207063649,2,False
EMU00066578,63.0,observed W residual,direct,-0.5655870659433735,0.5655870659433735,4,2,0.755878541214976,2,False
EMU00066580,400.0,observed W residual,reversed,-0.5503353340405853,0.5503353340405853,1,0,0.5503353340405853,6,False
EMU00066578,63.0,fitted W phase,reversed,-0.5385641428779473,0.5385641428779473,6,3,0.8410298873103961,2,False
EMU00066578,63.0,observed W residual,reversed,-0.48797696614132907,0.48797696614132907,4,2,0.7788452074329256,2,False
EMU00066580,400.0,observed W residual,direct,0.22665786036108332,0.22665786036108332,7,1,0.5111523652958853,6,False
EMU00066579,160.0,observed W residual,direct,-0.21501357352355577,0.21501357352355577,7,3,0.7994787189067772,2,False
EMU00066578,63.0,fitted W phase,direct,-0.20003364602520532,0.20003364602520532,8,6,0.821270934073666,2,False
EMU00066579,160.0,observed W residual,reversed,-0.17183175202955805,0.17183175202955805,8,6,0.8024817026760882,2,False
EMU00066579,160.0,fitted W phase,reversed,0.08078100365677068,0.08078100365677068,7,6,0.8408139188365003,2,False
EMU00066580,400.0,fitted W phase,reversed,0.04384862306301601,0.04384862306301601,8,2,0.8428275948105448,2,False
