run,field_g,series,ara_x,raw_value,centered_unit,centered_maxabs,evidence_class
EMU00066578,63.0,observed W residual,0.125,0.0005884920787384002,0.500060416063434,0.7615983164138027,separate RAL Silver experiment
EMU00066578,63.0,observed W residual,0.375,-0.0008183025860718666,-0.06312767859501793,-0.09614425015992167,separate RAL Silver experiment
EMU00066578,63.0,observed W residual,0.625,-0.0010308555882178499,-0.14821992644532875,-0.2257408161365454,separate RAL Silver experiment
EMU00066578,63.0,observed W residual,0.875,-0.00166631523681645,-0.40261619171325425,-0.6131895345438704,separate RAL Silver experiment
EMU00066578,63.0,observed W residual,1.125,-0.00144687027387675,-0.3147648558702423,-0.4793908427788855,separate RAL Silver experiment
EMU00066578,63.0,observed W residual,1.375,-0.0008117118348816166,-0.06048917512464444,-0.09212577611890994,separate RAL Silver experiment
EMU00066578,63.0,observed W residual,1.625,-0.00107885559302785,-0.16743597263085108,-0.25500709667566973,separate RAL Silver experiment
EMU00066578,63.0,observed W residual,1.875,0.0009794977599540833,0.6565933843159047,1.0,separate RAL Silver experiment
EMU00066578,63.0,fitted W phase,0.125,0.00014890941471833334,0.49141529802987516,0.9952942922179577,separate RAL Silver experiment
EMU00066578,63.0,fitted W phase,0.375,8.862954315267253e-05,0.2917964916525849,0.590993776130646,separate RAL Silver experiment
EMU00066578,63.0,fitted W phase,0.625,-2.4355789800158562e-05,-0.08235820901922328,-0.16680525755456463,separate RAL Silver experiment
EMU00066578,63.0,fitted W phase,0.875,-0.00012257485425943895,-0.40761391878793324,-0.8255660912973047,separate RAL Silver experiment
EMU00066578,63.0,fitted W phase,1.125,-0.00014858237390115,-0.4937386880163691,-1.0,separate RAL Silver experiment
EMU00066578,63.0,fitted W phase,1.375,-8.705676992385467e-05,-0.289994597184796,-0.5873442860025214,separate RAL Silver experiment
EMU00066578,63.0,fitted W phase,1.625,2.5755833669300507e-05,0.08358810444804174,0.16929624207465488,separate RAL Silver experiment
EMU00066578,63.0,fitted W phase,1.875,0.00012338958156343574,0.4069055188778197,0.824131324431132,separate RAL Silver experiment
EMU00066579,160.0,observed W residual,0.125,0.0015105003470194,0.5421981563595081,0.8228894228383824,separate RAL Silver experiment
EMU00066579,160.0,observed W residual,0.375,0.0003019456563926639,-0.009946823833152506,-0.015096207958535963,separate RAL Silver experiment
EMU00066579,160.0,observed W residual,0.625,-3.449792799962137e-05,-0.16365574381913273,-0.24837889800240867,separate RAL Silver experiment
EMU00066579,160.0,observed W residual,0.875,-3.680477123038328e-05,-0.1647096571586243,-0.24997841310492935,separate RAL Silver experiment
EMU00066579,160.0,observed W residual,1.125,-0.0011184964776279332,-0.6588955226685387,-1.0,separate RAL Silver experiment
EMU00066579,160.0,observed W residual,1.375,0.00026708890553386725,-0.02587161413166198,-0.039265123591797194,separate RAL Silver experiment
EMU00066579,160.0,observed W residual,1.625,0.001343277360905717,0.46580001478461946,0.7069406283079919,separate RAL Silver experiment
EMU00066579,160.0,observed W residual,1.875,0.0003567278696964,0.015081190466982749,0.022888591511297053,separate RAL Silver experiment
EMU00066579,160.0,fitted W phase,0.125,0.0004292781129857667,0.2871819870209607,0.5818089632302589,separate RAL Silver experiment
EMU00066579,160.0,fitted W phase,0.375,-0.0001255288698080879,-0.08333832472718945,-0.16883713637420372,separate RAL Silver experiment
EMU00066579,160.0,fitted W phase,0.625,-0.0006123944411271666,-0.40848488715178993,-0.8275594550840195,separate RAL Silver experiment
EMU00066579,160.0,fitted W phase,0.875,-0.0007380058422768168,-0.4923727561881885,-0.997509926622823,separate RAL Silver experiment
EMU00066579,160.0,fitted W phase,1.125,-0.0004328588832193667,-0.28858450206490466,-0.584650352525237,separate RAL Silver experiment
EMU00066579,160.0,fitted W phase,1.375,0.00012308419585708094,0.08269453616264653,0.16753286948350604,separate RAL Silver experiment
EMU00066579,160.0,fitted W phase,1.625,0.0006121374096377666,0.4093020859071728,0.8292150378925182,separate RAL Silver experiment
EMU00066579,160.0,fitted W phase,1.875,0.0007383655877144166,0.49360186104129244,1.0,separate RAL Silver experiment
EMU00066580,400.0,observed W residual,0.125,0.0017067444579609,0.6329034469245712,1.0,separate RAL Silver experiment
EMU00066580,400.0,observed W residual,0.375,0.0012363002682236595,0.3442678949551142,0.5439501027020692,separate RAL Silver experiment
EMU00066580,400.0,observed W residual,0.625,0.00029284646267031914,-0.2345771962674394,-0.3706366230225257,separate RAL Silver experiment
