population,global_block,run,run_order,block,n_events,event_index_min,event_index_max,ridge,centre,count,share,peak_density,peak_to_median,resolved
full_2109,1,6845.2020.0317.0,1,1,180,551,192054,R1,0.75,54,0.42857142857142855,0.25392113780739084,1.4967849710875285,True
full_2109,1,6845.2020.0317.0,1,1,180,551,192054,R2,1.034,49,0.3888888888888889,0.26892758724742616,1.5087676443254256,True
full_2109,1,6845.2020.0317.0,1,1,180,551,192054,R3,1.401,11,0.0873015873015873,0.05663101441921501,1.7289020991611161,True
full_2109,2,6845.2020.0317.0,1,2,180,193988,378549,R1,0.796,52,0.416,0.24961399934557638,1.5783023160306238,True
full_2109,2,6845.2020.0317.0,1,2,180,193988,378549,R2,1.032,51,0.408,0.29598993486356173,1.6484730617530208,True
full_2109,2,6845.2020.0317.0,1,2,180,193988,378549,R3,1.18,10,0.08,0.06077990440989667,2.4676928214571845,True
full_2109,3,6845.2020.0317.0,1,3,180,382717,564305,R1,0.747,49,0.4188034188034188,0.20787529500296706,1.2891265467318787,True
full_2109,3,6845.2020.0317.0,1,3,180,382717,564305,R2,0.916,43,0.36752136752136755,0.19985556746994212,1.2342333986605651,True
full_2109,3,6845.2020.0317.0,1,3,180,382717,564305,R3,1.202,16,0.13675213675213677,0.06527587602746941,1.5503938236153099,True
full_2109,4,6845.2020.0317.0,1,4,180,565272,776207,R1,0.72,51,0.45132743362831856,0.24141796338576263,1.4327237700564355,True
full_2109,4,6845.2020.0317.0,1,4,180,565272,776207,R2,1.0190000000000001,37,0.3274336283185841,0.1738173159442738,1.1952515131956738,True
full_2109,4,6845.2020.0317.0,1,4,180,565272,776207,R3,1.18,12,0.10619469026548672,0.07279455670334901,2.8629386452410315,True
full_2109,5,6845.2020.0317.0,1,5,180,777108,974822,R1,0.743,49,0.4117647058823529,0.21608123508765792,1.328180323581359,True
full_2109,5,6845.2020.0317.0,1,5,180,777108,974822,R2,1.054,41,0.3445378151260504,0.18111753767166242,1.1972982287867944,True
full_2109,5,6845.2020.0317.0,1,5,180,777108,974822,R3,1.237,16,0.13445378151260504,0.05936458948516313,1.3005429549594463,True
