ridge,rank,x_mu_rounded_0p001,count,share_of_zone,zone_events,unique_rounded_values
R1,1,0.768,8,0.0136986301369863,584,233
R1,2,0.832,8,0.0136986301369863,584,233
R1,3,0.681,7,0.011986301369863013,584,233
R1,4,0.663,7,0.011986301369863013,584,233
R1,5,0.799,6,0.010273972602739725,584,233
R1,6,0.752,6,0.010273972602739725,584,233
R1,7,0.774,6,0.010273972602739725,584,233
R1,8,0.805,6,0.010273972602739725,584,233
R2,1,1.031,8,0.014285714285714285,560,232
R2,2,1.015,7,0.0125,560,232
R2,3,0.997,6,0.010714285714285714,560,232
R2,4,1.107,6,0.010714285714285714,560,232
R2,5,0.901,6,0.010714285714285714,560,232
R2,6,1.056,6,0.010714285714285714,560,232
R2,7,1.091,6,0.010714285714285714,560,232
R2,8,1.001,5,0.008928571428571428,560,232
R3,1,1.231,4,0.030534351145038167,131,104
R3,2,1.198,4,0.030534351145038167,131,104
R3,3,1.436,3,0.022900763358778626,131,104
R3,4,1.342,3,0.022900763358778626,131,104
R3,5,1.412,2,0.015267175572519083,131,104
R3,6,1.462,2,0.015267175572519083,131,104
R3,7,1.277,2,0.015267175572519083,131,104
R3,8,1.364,2,0.015267175572519083,131,104
