horizon_bins,horizon_us,run,field_G,model,rmse_log_rate,parent_rmse_log_rate,improvement_fraction
1,0.016,EMU00069986,68.0,M0 parent,0.0841738718447761,0.0841738718447761,0.0
1,0.016,EMU00069992,104.0,M0 parent,0.08456660015416087,0.08456660015416087,0.0
1,0.016,EMU00069998,140.0,M0 parent,0.08379254293584089,0.08379254293584089,0.0
1,0.016,EMU00070004,176.0,M0 parent,0.08420157725029605,0.08420157725029605,0.0
1,0.016,EMU00070010,212.0,M0 parent,0.08352108647657892,0.08352108647657892,0.0
1,0.016,EMU00070016,248.0,M0 parent,0.0837194065227551,0.0837194065227551,0.0
1,0.016,EMU00070022,284.0,M0 parent,0.08406275623813764,0.08406275623813764,0.0
1,0.016,EMU00070028,320.0,M0 parent,0.08382451253536473,0.08382451253536473,0.0
1,0.016,EMU00070034,356.0,M0 parent,0.08540664878048133,0.08540664878048133,0.0
1,0.016,EMU00070040,392.0,M0 parent,0.08348479124292396,0.08348479124292396,0.0
1,0.016,EMU00070046,428.0,M0 parent,0.0843618022158207,0.0843618022158207,0.0
1,0.016,EMU00070052,464.0,M0 parent,0.08413408332200749,0.08413408332200749,0.0
1,0.016,EMU00070058,500.0,M0 parent,0.08368958397682016,0.08368958397682016,0.0
1,0.016,EMU00069986,68.0,M1 + spin,0.08401695183201026,0.0841738718447761,0.0018642366012960876
1,0.016,EMU00069992,104.0,M1 + spin,0.08493107075105412,0.08456660015416087,-0.004309864606462099
1,0.016,EMU00069998,140.0,M1 + spin,0.08414345369593011,0.08379254293584089,-0.004187851899397632
1,0.016,EMU00070004,176.0,M1 + spin,0.08416410773607574,0.08420157725029605,0.00044499777134721086
1,0.016,EMU00070010,212.0,M1 + spin,0.08340803365991724,0.08352108647657892,0.0013535841238534463
1,0.016,EMU00070016,248.0,M1 + spin,0.083799750399235,0.0837194065227551,-0.0009596804351217347
1,0.016,EMU00070022,284.0,M1 + spin,0.08413665072657218,0.08406275623813764,-0.0008790395621245395
1,0.016,EMU00070028,320.0,M1 + spin,0.08373094958118378,0.08382451253536473,0.0011161765377576405
