draw,crossing_count,eligible_count,ordered_count
0,6,6,6
1,5,5,5
2,6,6,6
3,6,6,6
4,4,4,4
5,7,7,7
6,4,4,4
7,6,6,6
8,7,7,7
9,2,2,2
10,5,5,5
11,6,6,6
12,5,5,5
13,5,5,5
14,3,3,3
15,3,3,3
16,5,5,5
17,7,7,7
18,6,6,6
19,6,6,6
20,6,6,6
21,6,6,6
22,6,6,6
23,5,5,5
24,5,5,5
25,5,5,5
26,7,7,7
27,4,4,4
28,6,6,6
29,5,5,5
30,6,6,6
31,6,6,6
32,7,7,7
33,7,7,7
34,7,7,7
35,3,3,3
36,5,5,5
37,3,3,3
38,4,4,4
39,6,6,6
40,8,8,8
41,7,7,7
42,5,5,5
43,6,6,6
44,4,4,4
45,6,6,6
46,6,6,6
47,5,5,5
48,6,6,6
49,7,7,7
50,5,5,5
51,4,4,4
52,6,6,6
53,6,6,6
54,5,5,5
55,6,6,6
56,6,6,6
57,6,6,6
58,9,9,9
59,5,5,5
60,5,5,5
61,4,4,4
62,4,4,4
63,7,7,7
64,3,3,3
65,5,5,5
66,5,5,5
67,7,7,7
68,6,6,6
69,6,6,6
70,5,5,5
71,2,2,2
72,7,7,7
73,5,5,5
74,5,5,5
75,6,6,6
76,5,5,5
77,5,5,5
78,7,7,7
79,6,6,6
80,5,5,5
81,6,6,6
82,5,5,5
83,3,3,3
84,5,5,5
85,5,5,5
86,5,5,5
87,3,3,3
88,6,6,6
89,5,5,5
90,5,5,5
91,7,7,7
92,6,6,6
93,5,5,5
94,6,6,6
95,4,4,4
96,5,5,5
97,5,5,5
98,4,4,4
99,6,6,6
100,3,3,3
101,4,4,4
102,5,5,5
103,5,5,5
104,5,5,5
105,2,2,2
106,5,5,5
107,5,5,5
108,4,4,4
109,4,4,4
110,6,6,6
111,6,6,6
112,4,4,4
113,5,5,5
114,6,6,6
115,6,6,6
116,6,6,6
117,5,5,5
118,4,4,4
119,5,5,5
120,6,6,6
121,4,4,4
122,5,5,5
123,6,6,6
124,6,6,6
125,2,2,2
126,6,6,6
127,7,7,7
128,6,6,6
129,1,1,1
130,4,4,4
131,4,4,4
132,6,6,6
133,6,6,6
134,6,6,6
135,2,2,2
136,5,5,5
137,4,4,4
138,7,7,7
139,5,5,5
140,6,6,6
141,4,4,4
142,4,4,4
143,5,5,5
144,3,3,3
145,5,5,5
146,6,6,6
147,6,6,6
148,5,5,5
149,6,6,6
150,3,3,3
151,4,4,4
152,6,6,6
153,3,3,3
154,4,4,4
155,3,3,3
156,3,3,3
157,4,4,4
158,5,5,5
159,5,5,5
160,5,5,5
161,7,7,7
162,4,4,4
163,6,6,6
164,5,5,5
165,4,4,4
166,3,3,3
167,4,4,4
168,8,8,8
169,7,7,7
170,3,3,3
171,5,5,5
172,2,2,2
173,6,6,6
174,5,5,5
175,3,3,3
176,5,5,5
177,4,4,4
178,6,6,6
179,5,5,5
180,7,7,7
181,5,5,5
182,4,4,4
183,6,6,6
184,4,4,4
185,5,5,5
186,5,5,5
187,2,2,2
188,5,5,5
189,8,8,8
190,8,8,8
191,4,4,4
192,6,6,6
193,5,5,5
194,4,4,4
195,7,7,7
196,8,8,8
197,4,4,4
198,6,6,6
199,4,4,4
200,6,6,6
201,6,6,6
202,4,4,4
203,4,4,4
204,5,5,5
205,4,4,4
206,6,6,6
207,5,5,5
208,6,6,6
209,7,7,7
210,4,4,4
211,4,4,4
212,5,5,5
213,4,4,4
214,3,3,3
215,5,5,5
216,2,2,2
217,4,4,4
218,4,4,4
219,9,9,9
220,5,5,5
221,4,4,4
222,2,2,2
223,4,4,4
224,6,6,6
225,8,8,8
226,4,4,4
227,4,4,4
228,6,6,6
229,4,4,4
230,6,6,6
231,3,3,3
232,5,5,5
233,7,7,7
234,4,4,4
235,3,3,3
236,5,5,5
237,5,5,5
238,4,4,4
239,6,6,6
240,4,4,4
241,5,5,5
242,4,4,4
243,5,5,5
244,5,5,5
245,5,5,5
246,6,6,6
247,4,4,4
248,6,6,6
249,6,6,6
250,5,5,5
251,5,5,5
252,5,5,5
253,4,4,4
254,8,8,8
255,4,4,4
256,5,5,5
257,4,4,4
258,4,4,4
259,3,3,3
260,4,4,4
261,6,6,6
262,7,7,7
263,5,5,5
264,7,7,7
265,6,6,6
266,5,5,5
267,3,3,3
268,5,5,5
269,6,6,6
270,6,6,6
271,3,3,3
272,5,5,5
273,4,4,4
274,8,8,8
275,5,5,5
276,7,7,7
277,7,7,7
278,4,4,4
279,6,6,6
280,6,6,6
281,5,5,5
282,6,6,6
283,6,6,6
284,5,5,5
285,4,4,4
286,3,3,3
287,4,4,4
288,6,6,6
289,7,7,7
290,6,6,6
291,6,6,6
292,8,8,8
293,6,6,6
294,6,6,6
295,8,8,8
296,5,5,5
297,5,5,5
298,7,7,7
299,5,5,5
300,4,4,4
301,8,8,8
302,7,7,7
303,6,6,6
304,6,6,6
305,7,7,7
306,5,5,5
307,6,6,6
308,5,5,5
309,5,5,5
310,5,5,5
311,6,6,6
312,7,7,7
313,5,5,5
314,5,5,5
315,7,7,7
316,6,6,6
317,6,6,6
318,4,4,4
319,6,6,6
320,5,5,5
321,2,2,2
322,4,4,4
323,6,6,6
324,4,4,4
325,7,7,7
326,4,4,4
327,7,7,7
328,6,6,6
329,4,4,4
330,4,4,4
331,5,5,5
332,6,6,6
333,7,7,7
334,5,5,5
335,5,5,5
336,2,2,2
337,7,7,7
338,7,7,7
339,5,5,5
340,5,5,5
341,5,5,5
342,7,7,7
343,4,4,4
344,4,4,4
345,4,4,4
346,9,9,9
347,6,6,6
348,4,4,4
349,5,5,5
350,5,5,5
351,4,4,4
352,6,6,6
353,5,5,5
354,7,7,7
355,4,4,4
356,3,3,3
357,4,4,4
358,6,6,6
359,4,4,4
360,7,7,7
361,5,5,5
362,3,3,3
363,4,4,4
364,7,7,7
365,7,7,7
366,4,4,4
367,3,3,3
368,6,6,6
369,3,3,3
370,5,5,5
371,6,6,6
372,8,8,8
373,4,4,4
374,5,5,5
375,7,7,7
376,4,4,4
377,2,2,2
378,5,5,5
379,6,6,6
380,6,6,6
381,6,6,6
382,7,7,7
383,4,4,4
384,5,5,5
385,3,3,3
386,6,6,6
387,4,4,4
388,4,4,4
389,4,4,4
390,5,5,5
391,4,4,4
392,8,8,8
393,7,7,7
394,6,6,6
395,6,6,6
396,4,4,4
397,5,5,5
398,7,7,7
399,6,6,6
400,5,5,5
401,5,5,5
402,4,4,4
403,6,6,6
404,4,4,4
405,5,5,5
406,7,7,7
407,6,6,6
408,4,4,4
409,4,4,4
410,7,7,7
411,5,5,5
412,5,5,5
413,1,1,1
414,4,4,4
415,4,4,4
416,5,5,5
417,6,6,6
418,4,4,4
419,7,7,7
420,4,4,4
421,6,6,6
422,4,4,4
423,4,4,4
424,6,6,6
425,3,3,3
426,5,5,5
427,6,6,6
428,5,5,5
429,7,7,7
430,5,5,5
431,5,5,5
432,6,6,6
433,7,7,7
434,9,9,9
435,2,2,2
436,3,3,3
437,7,7,7
438,3,3,3
439,7,7,7
440,5,5,5
441,5,5,5
442,4,4,4
443,6,6,6
444,6,6,6
445,5,5,5
446,8,8,8
447,5,5,5
448,6,6,6
449,4,4,4
450,4,4,4
451,4,4,4
452,6,6,6
453,5,5,5
454,6,6,6
455,4,4,4
456,4,4,4
457,7,7,7
458,6,6,6
459,5,5,5
460,2,2,2
461,5,5,5
462,5,5,5
463,4,4,4
464,6,6,6
465,5,5,5
466,8,8,8
467,5,5,5
468,4,4,4
469,7,7,7
470,7,7,7
471,6,6,6
472,5,5,5
473,4,4,4
474,4,4,4
475,5,5,5
476,5,5,5
477,5,5,5
478,3,3,3
479,7,7,7
480,5,5,5
481,5,5,5
482,4,4,4
483,6,6,6
484,5,5,5
485,4,4,4
486,5,5,5
487,7,7,7
488,6,6,6
489,6,6,6
490,6,6,6
491,6,6,6
492,5,5,5
493,6,6,6
494,5,5,5
495,4,4,4
496,6,6,6
497,7,7,7
498,6,6,6
499,4,4,4
500,6,6,6
501,7,7,7
502,5,5,5
503,7,7,7
504,5,5,5
505,7,7,7
506,4,4,4
507,6,6,6
508,5,5,5
509,5,5,5
510,5,5,5
511,4,4,4
512,7,7,7
513,5,5,5
514,4,4,4
515,5,5,5
516,6,6,6
517,6,6,6
518,5,5,5
519,4,4,4
520,5,5,5
521,7,7,7
522,6,6,6
523,5,5,5
524,4,4,4
525,3,3,3
526,6,6,6
527,5,5,5
528,3,3,3
529,5,5,5
530,3,3,3
531,5,5,5
532,5,5,5
533,5,5,5
534,6,6,6
535,6,6,6
536,7,7,7
537,4,4,4
538,3,3,3
539,6,6,6
540,5,5,5
541,7,7,7
542,4,4,4
543,3,3,3
544,4,4,4
545,6,6,6
546,6,6,6
547,3,3,3
548,6,6,6
549,3,3,3
550,4,4,4
551,5,5,5
552,8,8,8
553,4,4,4
554,4,4,4
555,6,6,6
556,6,6,6
557,3,3,3
558,5,5,5
559,5,5,5
560,6,6,6
561,5,5,5
562,4,4,4
563,5,5,5
564,6,6,6
565,4,4,4
566,5,5,5
567,5,5,5
568,6,6,6
569,5,5,5
570,6,6,6
571,4,4,4
572,5,5,5
573,7,7,7
574,5,5,5
575,7,7,7
576,4,4,4
577,8,8,8
578,6,6,6
579,5,5,5
580,5,5,5
581,7,7,7
582,6,6,6
583,7,7,7
584,3,3,3
585,8,8,8
586,6,6,6
587,5,5,5
588,4,4,4
589,5,5,5
590,3,3,3
591,7,7,7
592,6,6,6
593,8,8,8
594,6,6,6
595,5,5,5
596,7,7,7
597,3,3,3
598,5,5,5
599,7,7,7
600,4,4,4
601,4,4,4
602,5,5,5
603,5,5,5
604,5,5,5
605,7,7,7
606,5,5,5
607,2,2,2
608,5,5,5
609,7,7,7
610,3,3,3
611,4,4,4
612,5,5,5
613,3,3,3
614,4,4,4
615,6,6,6
616,2,2,2
617,5,5,5
618,7,7,7
619,2,2,2
620,5,5,5
621,3,3,3
622,6,6,6
623,8,8,8
624,4,4,4
625,5,5,5
626,6,6,6
627,7,7,7
628,6,6,6
629,6,6,6
630,3,3,3
631,7,7,7
632,4,4,4
633,4,4,4
634,7,7,7
635,5,5,5
636,4,4,4
637,5,5,5
638,6,6,6
639,3,3,3
640,7,7,7
641,5,5,5
642,3,3,3
643,5,5,5
644,3,3,3
645,5,5,5
646,4,4,4
647,5,5,5
648,6,6,6
649,4,4,4
650,6,6,6
651,6,6,6
652,7,7,7
653,4,4,4
654,6,6,6
655,4,4,4
656,4,4,4
657,5,5,5
658,5,5,5
659,5,5,5
660,6,6,6
661,4,4,4
662,7,7,7
663,7,7,7
664,5,5,5
665,4,4,4
666,5,5,5
667,6,6,6
668,5,5,5
669,5,5,5
670,5,5,5
671,8,8,8
672,7,7,7
673,2,2,2
674,5,5,5
675,4,4,4
676,5,5,5
677,7,7,7
678,5,5,5
679,4,4,4
680,6,6,6
681,5,5,5
682,7,7,7
683,5,5,5
684,6,6,6
685,5,5,5
686,6,6,6
687,5,5,5
688,4,4,4
689,6,6,6
690,6,6,6
691,3,3,3
692,6,6,6
693,3,3,3
694,6,6,6
695,5,5,5
696,6,6,6
697,5,5,5
698,5,5,5
699,5,5,5
700,6,6,6
701,4,4,4
702,5,5,5
703,6,6,6
704,5,5,5
705,4,4,4
706,2,2,2
707,7,7,7
708,6,6,6
709,4,4,4
710,5,5,5
711,6,6,6
712,6,6,6
713,5,5,5
714,4,4,4
715,6,6,6
716,4,4,4
717,6,6,6
718,6,6,6
719,3,3,3
720,7,7,7
721,4,4,4
722,5,5,5
723,6,6,6
724,5,5,5
725,3,3,3
726,5,5,5
727,5,5,5
728,6,6,6
729,2,2,2
730,6,6,6
731,3,3,3
732,4,4,4
733,6,6,6
734,6,6,6
735,3,3,3
736,4,4,4
737,5,5,5
738,5,5,5
739,3,3,3
740,6,6,6
741,8,8,8
742,3,3,3
743,5,5,5
744,6,6,6
745,5,5,5
746,6,6,6
747,7,7,7
748,6,6,6
749,4,4,4
750,5,5,5
751,4,4,4
752,6,6,6
753,5,5,5
754,6,6,6
755,4,4,4
756,5,5,5
757,5,5,5
758,5,5,5
759,4,4,4
760,8,8,8
761,3,3,3
762,4,4,4
763,5,5,5
764,4,4,4
765,4,4,4
766,3,3,3
767,6,6,6
768,7,7,7
769,5,5,5
770,4,4,4
771,3,3,3
772,6,6,6
773,2,2,2
774,5,5,5
775,7,7,7
776,4,4,4
777,3,3,3
778,5,5,5
779,8,8,8
780,5,5,5
781,5,5,5
782,4,4,4
783,5,5,5
784,4,4,4
785,7,7,7
786,7,7,7
787,5,5,5
788,7,7,7
789,5,5,5
790,5,5,5
791,7,7,7
792,4,4,4
793,5,5,5
794,5,5,5
795,7,7,7
796,4,4,4
797,3,3,3
798,3,3,3
799,3,3,3
800,6,6,6
801,7,7,7
802,6,6,6
803,5,5,5
804,5,5,5
805,3,3,3
806,6,6,6
807,5,5,5
808,7,7,7
809,4,4,4
810,6,6,6
811,3,3,3
812,4,4,4
813,6,6,6
814,4,4,4
815,5,5,5
816,6,6,6
817,8,8,8
818,6,6,6
819,4,4,4
820,8,8,8
821,4,4,4
822,6,6,6
823,5,5,5
824,5,5,5
825,4,4,4
826,7,7,7
827,6,6,6
828,6,6,6
829,7,7,7
830,4,4,4
831,4,4,4
832,4,4,4
833,5,5,5
834,6,6,6
835,5,5,5
836,4,4,4
837,4,4,4
838,6,6,6
839,4,4,4
840,5,5,5
841,7,7,7
842,5,5,5
843,5,5,5
844,3,3,3
845,4,4,4
846,4,4,4
847,4,4,4
848,7,7,7
849,4,4,4
850,6,6,6
851,6,6,6
852,7,7,7
853,8,8,8
854,6,6,6
855,5,5,5
856,4,4,4
857,5,5,5
858,5,5,5
859,5,5,5
860,2,2,2
861,6,6,6
862,5,5,5
863,4,4,4
864,3,3,3
865,3,3,3
866,4,4,4
867,5,5,5
868,3,3,3
869,5,5,5
870,4,4,4
871,6,6,6
872,6,6,6
873,5,5,5
874,5,5,5
875,6,6,6
876,6,6,6
877,6,6,6
878,4,4,4
879,6,6,6
880,3,3,3
881,3,3,3
882,5,5,5
883,8,8,8
884,3,3,3
885,6,6,6
886,7,7,7
887,5,5,5
888,6,6,6
889,3,3,3
890,3,3,3
891,5,5,5
892,6,6,6
893,5,5,5
894,4,4,4
895,5,5,5
896,5,5,5
897,6,6,6
898,5,5,5
899,6,6,6
900,5,5,5
901,4,4,4
902,3,3,3
903,4,4,4
904,5,5,5
905,4,4,4
906,4,4,4
907,6,6,6
908,5,5,5
909,3,3,3
910,5,5,5
911,6,6,6
912,4,4,4
913,5,5,5
914,5,5,5
915,5,5,5
916,4,4,4
917,7,7,7
918,6,6,6
919,5,5,5
920,3,3,3
921,5,5,5
922,3,3,3
923,3,3,3
924,4,4,4
925,5,5,5
926,8,8,8
927,5,5,5
928,3,3,3
929,7,7,7
930,7,7,7
931,3,3,3
932,6,6,6
933,9,9,9
934,5,5,5
935,5,5,5
936,5,5,5
937,6,6,6
938,8,8,8
939,4,4,4
940,4,4,4
941,6,6,6
942,4,4,4
943,5,5,5
944,6,6,6
945,4,4,4
946,3,3,3
947,5,5,5
948,6,6,6
949,5,5,5
950,6,6,6
951,7,7,7
952,7,7,7
953,5,5,5
954,3,3,3
955,6,6,6
956,6,6,6
957,8,8,8
958,8,8,8
959,5,5,5
960,5,5,5
961,4,4,4
962,7,7,7
963,5,5,5
964,6,6,6
965,3,3,3
966,5,5,5
967,5,5,5
968,6,6,6
969,7,7,7
970,5,5,5
971,5,5,5
972,6,6,6
973,4,4,4
974,4,4,4
975,6,6,6
976,4,4,4
977,4,4,4
978,4,4,4
979,7,7,7
980,5,5,5
981,7,7,7
982,3,3,3
983,3,3,3
984,7,7,7
985,3,3,3
986,4,4,4
987,4,4,4
988,7,7,7
989,6,6,6
990,5,5,5
991,5,5,5
992,5,5,5
993,4,4,4
994,3,3,3
995,5,5,5
996,5,5,5
997,3,3,3
998,5,5,5
999,5,5,5
