split,run,period,field_G,timeline_rows,post_boundary_prediction_rows,eligible,first_q,last_q,median_post_boundary_child_x
development,EMU00069983,RF off,50.0,59,28,1,0.4913232060178654,1.2725727143780783,1.0458392433575643
development,EMU00069983,RF on,50.0,59,3,0,0.45824980906077367,1.055050512331668,1.0586147524266722
development,EMU00069989,RF off,86.0,59,10,1,0.22659647935935406,1.0429395301566269,1.0318091775945861
development,EMU00069989,RF on,86.0,59,3,0,0.48825639297648826,0.9586795362305265,1.0191323023439265
development,EMU00069995,RF off,122.0,59,25,1,0.2691490310185189,1.2129571556351029,1.1105010825759307
development,EMU00069995,RF on,122.0,59,13,1,0.3597275589187545,0.8554320493346073,1.0267415613597228
development,EMU00070001,RF off,158.0,59,26,1,0.39763404263707514,1.1527055047854866,1.0659152900950988
development,EMU00070001,RF on,158.0,59,2,0,0.4616944922407942,1.0210451894505124,1.0151101491035153
development,EMU00070007,RF off,194.0,59,8,1,0.2713130115014293,1.0700796379883768,1.0161802988876845
development,EMU00070007,RF on,194.0,59,31,1,0.3184010706857793,1.3187707636732726,1.1088242220003608
development,EMU00070013,RF off,230.0,59,20,1,0.41838962578907135,0.9544690206699444,1.061041101137666
development,EMU00070013,RF on,230.0,59,19,1,0.35253165765579947,1.091478940112421,1.0704926762317548
development,EMU00070019,RF off,266.0,59,36,1,0.455940959305116,1.0944267522505429,1.1247604114152372
development,EMU00070019,RF on,266.0,59,30,1,0.47424965183919354,1.0486016828195206,1.095581030048217
development,EMU00070025,RF off,302.0,59,21,1,0.5524896986086189,1.4797750359701543,1.0546275392496385
development,EMU00070025,RF on,302.0,59,14,1,0.4502082989718969,1.2671291873859303,1.015317257027598
development,EMU00070031,RF off,338.0,59,37,1,0.5977758021056632,1.1317716827435087,1.0539895997381805
development,EMU00070031,RF on,338.0,59,37,1,0.5994029355546502,1.2184178874787095,1.0973796528958912
development,EMU00070037,RF off,374.0,59,34,1,0.7224250801881235,1.4031760527746295,1.0974675605950888
development,EMU00070037,RF on,374.0,59,40,1,0.4812938700798629,1.2379261019541117,1.0866370915525656
development,EMU00070043,RF off,410.0,59,17,1,0.5808223531574049,1.1677830807887333,1.0480140780806266
development,EMU00070043,RF on,410.0,59,32,1,0.4525461017441419,1.178669303701953,1.0486508511564485
development,EMU00070049,RF off,446.0,59,14,1,0.6026649949845683,1.0671439605012243,1.0195448592896028
development,EMU00070049,RF on,446.0,59,40,1,0.6008846609268583,1.3375769087137193,1.09912064437248
development,EMU00070055,RF off,482.0,59,38,1,0.5844574665488194,1.3339704485620796,1.0835711193614603
development,EMU00070055,RF on,482.0,59,12,1,0.7382088224873834,0.9859184207435906,1.0280337355973597
