split,run,period,field_G,arm,scored_rows,baseline_mse,transfer_mse,wrong_mse,reverse_mse,baseline_minus_transfer,wrong_minus_transfer,reverse_minus_transfer
development,EMU00069983,RF off,50.0,U_to_R,26,0.0018857068710495483,0.0017407523758501003,0.0021550867007154207,0.0042033425874571356,0.00014495449519944794,0.00041433432486532033,0.0024625902116070355
development,EMU00069983,RF on,50.0,U_to_R,26,0.0010380809585200683,0.0012424686457674688,0.002906909780301682,0.0024855411584899434,-0.00020438768724740058,0.001664441134534213,0.0012430725127224745
development,EMU00069989,RF off,86.0,U_to_R,26,0.01625422336904159,0.014138151679663973,0.02069495023024903,0.02498280013241831,0.002116071689377618,0.006556798550585056,0.010844648452754336
development,EMU00069989,RF on,86.0,U_to_R,26,0.010585219390766513,0.010390725905424657,0.008235064052863828,0.01459506599255415,0.0001944934853418557,-0.002155661852560829,0.004204340087129494
development,EMU00069995,RF off,122.0,U_to_R,26,0.005133679379587178,0.006440593980754953,0.0031402690413815403,0.007128367320616532,-0.0013069146011677746,-0.0033003249393734123,0.000687773339861579
development,EMU00069995,RF on,122.0,U_to_R,26,0.0009335333444565903,0.0009208748726023023,0.0021124058934207527,0.002789911526918099,1.2658471854287983e-05,0.0011915310208184503,0.0018690366543157966
development,EMU00070001,RF off,158.0,U_to_R,26,0.003163038134545146,0.002656829933976596,0.0023766234697430817,0.003914272325624091,0.0005062082005685498,-0.00028020646423351434,0.001257442391647495
development,EMU00070001,RF on,158.0,U_to_R,26,0.006060731314535806,0.006136902027203502,0.01010386587425682,0.009522659541625159,-7.61707126676961e-05,0.003966963847053318,0.003385757514421657
development,EMU00070007,RF off,194.0,U_to_R,26,0.0023010670510110695,0.002291894811635974,0.001469297237561406,0.005614139058503748,9.172239375095266e-06,-0.0008225975740745683,0.0033222442468677734
development,EMU00070007,RF on,194.0,U_to_R,26,0.0008424736995795935,0.0009425580566928574,0.0008146608780578139,0.0026199721708118654,-0.00010008435711326383,-0.00012789717863504347,0.001677414114119008
development,EMU00070013,RF off,230.0,U_to_R,26,0.00509384096197223,0.005464575037270139,0.0036293814900995643,0.008107534048087624,-0.00037073407529790957,-0.001835193547170575,0.0026429590108174843
development,EMU00070013,RF on,230.0,U_to_R,26,0.0009822833029287698,0.0009027154664452484,0.0010069619451294897,0.0029005321091947777,7.956783648352134e-05,0.00010424647868424123,0.0019978166427495293
development,EMU00070019,RF off,266.0,U_to_R,26,0.1507160603767164,0.1492087289235108,0.1610865409583475,0.1439200476913267,0.0015073314532055848,0.011877812034836704,-0.005288681232184095
development,EMU00070019,RF on,266.0,U_to_R,26,0.0016022603512085714,0.0014223831426927297,0.0016005413049785026,0.0037639025927419362,0.0001798772085158417,0.0001781581622857728,0.0023415194500492065
