split,event_id,run,period,field_G,direction,offset_reads,offset_us,U,R,H,parent_ARA
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,-8,-0.49511079989618434,0.759632243414191,1.215117174254195,0.7592342352622277,1.4376198986099702
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,-7,-0.4311109086150564,0.8110109262039775,1.1926760909923801,0.7564056908726919,1.4537227045580847
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,-6,-0.3671110173339285,0.8433950285363611,1.1644832936436926,0.7367249640423136,1.4693644338095633
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,-5,-0.30311088763422145,0.8277493136509217,1.1286368714232153,0.7318319414180625,1.4845583443015913
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,-4,-0.23911099635309352,0.8458717079867982,1.1014732647204495,0.7419509020113016,1.4993171470024178
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,-3,-0.1751108666533865,0.9044486422647248,1.0772684569406865,0.7527513412647133,1.5136534089080294
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,-2,-0.11111097537225856,0.9558589725283848,1.0565072072386057,0.7902164112292971,1.5275791234923892
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,-1,-0.04711084567255153,1.0023922715191418,1.0432689261449015,0.7652800190035072,1.5411061483839812
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,0,0.016889045608576403,1.0159947104481626,1.0013405968476778,0.766167783931621,1.5542458000627855
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,1,0.08088917530828343,1.0296156687514495,0.9518329953400164,0.7224433458549325,1.5670092668313529
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,2,0.14488906658941136,1.0023297607277015,0.8841649961529321,0.6942967416352273,1.5794072263898669
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,3,0.2088891962891184,1.0095557279470015,0.8522539744560362,0.6951268208105417,1.5914502354962952
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,4,0.2728890875702463,0.970886784738491,0.8412392343079824,0.7209422489117505,1.60314836912814
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,5,0.33688897885137425,0.8778364997841944,0.8111121204362569,0.7079038651889941,1.614511546428203
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,6,0.4008891085510813,0.8784636886642062,0.7988587878330429,0.7672510936693333,1.6255493988309917
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,7,0.4648889998322092,0.8488199736827496,0.7518536491357786,0.7585237415924744,1.6362711604169293
development,EMU00069983|RF off|16,EMU00069983,RF off,50.0,R_to_U,8,0.5288891295319162,0.8466980330504386,0.6969922516502303,0.7331397526741239,1.6466859606755517
development,EMU00069983|RF on|22,EMU00069983,RF on,50.0,R_to_U,-8,-0.5080430609446607,0.7583179381829249,1.2011633744169279,0.7579436125946375,1.5275791234923892
development,EMU00069983|RF on|22,EMU00069983,RF on,50.0,R_to_U,-7,-0.44404293124495364,0.8058075957389316,1.1762964992893266,0.7718201607846848,1.5411061483839812
development,EMU00069983|RF on|22,EMU00069983,RF on,50.0,R_to_U,-6,-0.3800430399638257,0.8230393289200919,1.1470196889252553,0.7829470536385377,1.5542458000627855
development,EMU00069983|RF on|22,EMU00069983,RF on,50.0,R_to_U,-5,-0.3160429102641187,0.7947770341349384,1.110862634087061,0.7978013007426452,1.5670092668313529
development,EMU00069983|RF on|22,EMU00069983,RF on,50.0,R_to_U,-4,-0.25204301898299075,0.8071666888836908,1.0856544820297196,0.8054699927242907,1.5794072263898669
development,EMU00069983|RF on|22,EMU00069983,RF on,50.0,R_to_U,-3,-0.18804288928328372,0.8375182692632585,1.0320158947286753,0.7992734806651858,1.5914502354962952
development,EMU00069983|RF on|22,EMU00069983,RF on,50.0,R_to_U,-2,-0.12404299800215579,0.8699299921275501,0.9801344799116598,0.780818603520886,1.60314836912814
development,EMU00069983|RF on|22,EMU00069983,RF on,50.0,R_to_U,-1,-0.06004310672102786,0.8622182087489493,0.9500598507821563,0.7899010560122383,1.614511546428203
development,EMU00069983|RF on|22,EMU00069983,RF on,50.0,R_to_U,0,0.00395702297867917,0.9103108445740999,0.904521813742879,0.7809757247065804,1.6255493988309917
