split,target,horizon_reads,horizon_native_bins,horizon_us_median,shared_native_bins,overlapping_histories,prediction_rows,baseline_mse,transfer_mse,baseline_minus_transfer,relative_improvement_pct
development,future_U,1,4,0.06400012969970703,124,1,1482,0.0019356996468556324,0.0019245894464833958,1.1110200372236537e-05,0.5739630314178156
development,future_R,1,4,0.06400012969970703,124,1,1482,0.00035863879887429456,0.0003452085039015272,1.3430294972767334e-05,3.7447969976819904
development,future_U,2,8,0.12800002098083496,120,1,1456,0.003209145127550981,0.0031430076259591705,6.613750159181059e-05,2.060907156364181
development,future_R,2,8,0.12800002098083496,120,1,1456,0.0007212576825953545,0.000649374132466148,7.188355012920653e-05,9.96641725472409
development,future_U,4,16,0.2560000419616699,112,1,1404,0.004338042626103101,0.0044566484566374975,-0.00011860583053439639,-2.7340863324098077
development,future_R,4,16,0.2560000419616699,112,1,1404,0.0015856795520690194,0.0013630413318645417,0.00022263822020447775,14.040555666747164
development,future_U,8,32,0.5120000839233398,96,1,1300,0.005393328071587792,0.0052904803291108395,0.00010284774247695284,1.906943933538138
development,future_R,8,32,0.5120000839233398,96,1,1300,0.003405119408914148,0.0031156186746114354,0.00028950073430271265,8.501926057125583
development,future_U,16,64,1.0240001678466797,64,1,1092,0.005818562372327819,0.005738214486420383,8.034788590743566e-05,1.3808889682021415
development,future_R,16,64,1.0240001678466797,64,1,1092,0.005562016856907588,0.004626057421159028,0.0009359594357485597,16.82769865370278
development,future_U,24,96,1.5360002517700195,32,1,884,0.005215783377109373,0.0050932667624467255,0.00012251661466264763,2.3489590307822037
development,future_R,24,96,1.5360002517700195,32,1,884,0.0038339996282068132,0.0035868952456047675,0.0002471043826020457,6.445081026719296
development,future_U,32,128,2.04800021648407,0,0,676,0.004879531497602776,0.0051073574327202605,-0.0002278259351174844,-4.6690124908387425
development,future_R,32,128,2.04800021648407,0,0,676,0.003183645251857696,0.003020199342000133,0.0001634459098575629,5.1339234408164724
