split,run,period,field_G,timeline_rows,horizon_reads,prediction_rows,eligible
development,EMU00069983,RF off,50.0,59,32,26,1
development,EMU00069983,RF on,50.0,59,32,26,1
development,EMU00069989,RF off,86.0,59,32,26,1
development,EMU00069989,RF on,86.0,59,32,26,1
development,EMU00069995,RF off,122.0,59,32,26,1
development,EMU00069995,RF on,122.0,59,32,26,1
development,EMU00070001,RF off,158.0,59,32,26,1
development,EMU00070001,RF on,158.0,59,32,26,1
development,EMU00070007,RF off,194.0,59,32,26,1
development,EMU00070007,RF on,194.0,59,32,26,1
development,EMU00070013,RF off,230.0,59,32,26,1
development,EMU00070013,RF on,230.0,59,32,26,1
development,EMU00070019,RF off,266.0,59,32,26,1
development,EMU00070019,RF on,266.0,59,32,26,1
development,EMU00070025,RF off,302.0,59,32,26,1
development,EMU00070025,RF on,302.0,59,32,26,1
development,EMU00070031,RF off,338.0,59,32,26,1
development,EMU00070031,RF on,338.0,59,32,26,1
development,EMU00070037,RF off,374.0,59,32,26,1
development,EMU00070037,RF on,374.0,59,32,26,1
development,EMU00070043,RF off,410.0,59,32,26,1
development,EMU00070043,RF on,410.0,59,32,26,1
development,EMU00070049,RF off,446.0,59,32,26,1
development,EMU00070049,RF on,446.0,59,32,26,1
development,EMU00070055,RF off,482.0,59,32,26,1
development,EMU00070055,RF on,482.0,59,32,26,1
