split,run,period,field_G,partition,detector_count,detector_first_one_based,detector_last_one_based,basis_condition,calibration_improvement,wrong_frequency_improvement_median,basic_eligible,ring_frequency_specific_eligible
development,EMU00069983,RF on,50.0,F,48,1,48,1.305706178764813,0.05432334957343171,0.01669168758177399,1,1
development,EMU00069983,RF on,50.0,B,48,49,96,1.4505044683216275,0.060319450338934405,0.01616702401634723,1,1
development,EMU00069983,RF on,50.0,F_inner,16,1,46,1.2889572628064943,0.07528213809121424,0.01802587195346726,1,1
development,EMU00069983,RF on,50.0,F_middle,16,2,47,1.682189129248073,0.0638339158150525,0.01674630412416011,1,1
development,EMU00069983,RF on,50.0,F_outer,16,3,48,1.3515902626615772,0.03066047872075659,0.014930475476008082,1,1
development,EMU00069983,RF on,50.0,B_inner,16,49,94,1.8688589243143705,0.08805183859112801,0.012519217963853529,1,1
development,EMU00069983,RF on,50.0,B_middle,16,50,95,2.0734913151611765,0.06934904179937769,0.0167742073768635,1,1
development,EMU00069983,RF on,50.0,B_outer,16,51,96,1.212959451602662,0.037741701152014,0.017946789739411266,1,1
development,EMU00069983,RF off,50.0,F,48,1,48,1.2808418657821372,0.04428480379745092,0.01856281571712333,1,1
development,EMU00069983,RF off,50.0,B,48,49,96,1.4392594962637966,0.04383120295844558,0.017906801065438585,1,1
development,EMU00069983,RF off,50.0,F_inner,16,1,46,1.4524262703485626,0.06595987580876585,0.017414769530081087,1,1
development,EMU00069983,RF off,50.0,F_middle,16,2,47,1.4104434558828451,0.047334425414950226,0.022410447311880723,1,1
development,EMU00069983,RF off,50.0,F_outer,16,3,48,2.029799382463308,0.026442509533243886,0.01554067309363577,1,1
development,EMU00069983,RF off,50.0,B_inner,16,49,94,1.7484940912892724,0.060069703395539506,0.01800177839542811,1,1
development,EMU00069983,RF off,50.0,B_middle,16,50,95,1.455422581650097,0.04813033105582773,0.018247944535685325,1,1
development,EMU00069983,RF off,50.0,B_outer,16,51,96,3.129471566983618,0.032387419285497376,0.01774188072056527,1,1
development,EMU00069989,RF on,86.0,F,48,1,48,1.3155444387025452,0.046538193139942445,0.017680683140923456,1,1
