split,event_id,run,period,rf_flag,temperature_K,field_G,direction,child_partition,parent_partition,wrong_ring_partition,crossing_position,crossing_time_us,crossing_U,crossing_R,crossing_direction,parent_H,parent_ridge_distance,history_parent_distance,ridge_exposure,same_bank_H,same_bank_ridge_distance,same_bank_history_distance,same_bank_exposure,wrong_parent_H,wrong_frequency_minus_correct_distance,mismatch_parent_H,mismatch_lineage_minus_correct_distance,wrong_ring_H,wrong_ring_exposure,ring_correspondence_advantage
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,0,300.0,50.0,F_to_B,F,B,,7.561212341073841,2.76691760921204,0.854574668597257,0.854574668597257,R_to_U,0.7111418718807246,0.28885812811927536,0.656995304513548,0.3681371763942727,0.7111629234891801,0.2888370765108199,0.2846709848190401,-0.0041660916917798385,0.9942207204079485,-0.28307884852722387,1.2862803352158245,-0.0025777929034508373,nan,nan,nan
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,1,300.0,50.0,F_to_B,F,B,,12.466928542510344,3.080883367118193,0.8708346793783486,0.8708346793783487,R_to_U,0.7630951332952614,0.23690486670473865,0.2747149652465102,0.03781009854177153,0.7015830542830273,0.29841694571697275,0.483435787857729,0.18501884214075626,0.9667710638219238,-0.20367593052666244,1.1751419051278273,-0.0617629615769113,nan,nan,nan
development,EMU00069983|RF on|F_to_B|1,EMU00069983,RF on,1,300.0,50.0,F_to_B,F,B,,13.592673260619184,3.1529310337816026,0.8255003116908651,0.8255003116908651,U_to_R,0.7857936483488779,0.21420635165112212,0.2747149652465102,0.06050861359538806,0.7169690892727301,0.28303091072726994,0.483435787857729,0.20040487713045907,0.9652531981534752,-0.17945954980459733,1.200942408735043,-0.013263942916079019,nan,nan,nan
development,EMU00069983|RF on|F_to_B|2,EMU00069983,RF on,1,300.0,50.0,F_to_B,F,B,,15.414842722243145,3.2695499196399065,0.7860230658568155,0.7860230658568155,R_to_U,0.7904612970565134,0.20953870294348664,0.2747149652465102,0.06517626230302354,0.7652838472376879,0.23471615276231206,0.483435787857729,0.24871963509541695,1.1195572405743044,-0.08998146236918225,1.2142308926651035,0.004692189721616891,nan,nan,nan
development,EMU00069989|RF off|F_to_B|0,EMU00069989,RF off,0,300.0,86.0,F_to_B,F,B,,9.51732864435243,2.892108944570242,0.833587252201871,0.833587252201871,R_to_U,1.2655225071988705,0.2655225071988705,0.18208049547124472,-0.08344201172762578,1.3026450106813334,0.3026450106813334,0.2663614503121927,-0.03628356036914071,0.9044206927609952,-0.16994319995986573,1.181417291247163,-0.0841052159517075,nan,nan,nan
development,EMU00069995|RF off|F_to_B|0,EMU00069995,RF off,0,300.0,122.0,F_to_B,F,B,,4.229735933489022,2.553703109098941,0.769134113710965,0.769134113710965,R_to_U,1.1956584204875789,0.19565842048757887,0.1642960467005401,-0.031362373787038766,1.2535460930674729,0.2535460930674729,0.167419578671677,-0.08612651439579588,0.9392864437948981,-0.13494486428247698,0.8971113138096698,-0.09276973429724866,nan,nan,nan
development,EMU00069995|RF on|F_to_B|0,EMU00069995,RF on,1,300.0,122.0,F_to_B,F,B,,10.969103206660174,2.985022589774854,0.8324230571977842,0.8324230571977843,R_to_U,1.205068501262311,0.20506850126231102,0.20536141397716356,0.00029291271485254455,1.2292141188298438,0.22921411882984377,0.2193979863497737,-0.009816132480070072,0.9629457130026884,-0.1680142142649994,0.8347796515456204,-0.039848152807931414,nan,nan,nan
development,EMU00070001|RF off|F_to_B|0,EMU00070001,RF off,0,300.0,158.0,F_to_B,F,B,,0.6039688209916683,2.321653931251263,0.8413428359967214,0.8413428359967214,R_to_U,0.8889738844179418,0.11102611558205822,0.169203878989727,0.05817776340766878,0.9183263928829991,0.08167360711700089,0.21589968096787637,0.13422607385087548,1.0247215993756582,-0.0863045162064,0.9208189809490368,-0.03184509653109502,nan,nan,nan
development,EMU00070001|RF on|F_to_B|0,EMU00070001,RF on,1,300.0,158.0,F_to_B,F,B,,13.83359595951234,3.1683500603179207,0.874419170865017,0.8744191708650169,R_to_U,0.8016048729028907,0.19839512709710927,0.38007586464639354,0.18168073754928427,0.89222327318203,0.10777672681797001,0.10528141398923563,-0.002495312828734386,0.9737146523976233,-0.1721097794947326,0.9095480046785044,-0.10794313177561365,nan,nan,nan
development,EMU00070001|RF on|F_to_B|1,EMU00070001,RF on,1,300.0,158.0,F_to_B,F,B,,14.16493723051797,3.1895559049633317,0.8671769421878806,0.8671769421878806,U_to_R,0.7898490996437666,0.2101509003562334,0.38007586464639354,0.16992496429016013,0.8958641794154645,0.10413582058453552,0.10528141398923563,0.001145593404700107,0.9592018232267309,-0.16935272358296427,0.9086241284808029,-0.11877502883703628,nan,nan,nan
