stage,run,period,field_G,interval_index,interval_id,direction,start_time_us,end_time_us,duration_us,native_capacity,causal_rows,has_return_C1
Development,EMU00070037,RF on,374.0,0,EMU00070037|RF on|0,R to U → U to R,2.590766748709681,2.632195805169748,0.041429056460067226,1,0,yes
Development,EMU00070037,RF on,374.0,1,EMU00070037|RF on|1,U to R → R to U,2.632195805169748,2.732722862140415,0.10052705697066688,2,2,no
Development,EMU00070055,RF on,482.0,0,EMU00070055|RF on|0,R to U → U to R,2.2963060261491877,2.455280125063552,0.15897409891436443,2,2,yes
Development,EMU00070055,RF on,482.0,1,EMU00070055|RF on|1,U to R → R to U,2.455280125063552,2.5250427075884354,0.06976258252488332,1,0,no
Validation,EMU00069998,RF on,140.0,0,EMU00069998|RF on|0,R to U → U to R,3.7548328613548816,3.7599448281109025,0.00511196675602088,1,0,yes
Validation,EMU00069998,RF on,140.0,1,EMU00069998|RF on|1,U to R → R to U,3.7599448281109025,3.821062157655875,0.06111732954497251,1,0,no
Validation,EMU00070034,RF on,356.0,0,EMU00070034|RF on|0,R to U → U to R,2.817465285449688,2.9128925987642815,0.09542731331459331,1,0,yes
Validation,EMU00070034,RF on,356.0,1,EMU00070034|RF on|1,U to R → R to U,2.9128925987642815,2.9303253776330784,0.017432778868796905,1,0,no
Validation,EMU00070052,RF off,464.0,0,EMU00070052|RF off|0,R to U → U to R,2.718655562231315,2.762863189027268,0.044207626795953026,1,0,yes
Validation,EMU00070052,RF off,464.0,1,EMU00070052|RF off|1,U to R → R to U,2.762863189027268,2.812689997956302,0.049826808929033906,1,0,no
Validation,EMU00070058,RF on,500.0,0,EMU00070058|RF on|0,U to R → R to U,2.467851441297428,2.476464099050819,0.00861265775339115,1,0,no
Holdout,EMU00070254,RF on,1908.0,0,EMU00070254|RF on|0,U to R → R to U,2.466270170626602,2.4818146168010253,0.01554444617442341,1,0,no
Holdout,EMU00070266,RF on,2052.0,0,EMU00070266|RF on|0,U to R → R to U,2.465027359349108,2.4907957859192504,0.025768426570142555,1,0,no
Holdout,EMU00070290,RF on,2340.0,0,EMU00070290|RF on|0,U to R → R to U,2.313528158443543,2.404826445642931,0.09129828719938793,1,0,no
Holdout,EMU00070299,RF on,2448.0,0,EMU00070299|RF on|0,R to U → U to R,2.3118644201114162,2.4098664027013523,0.09800198258993609,1,0,yes
Holdout,EMU00070299,RF on,2448.0,1,EMU00070299|RF on|1,U to R → R to U,2.4098664027013523,2.411633960172562,0.001767557471209713,1,0,no
