stage,run,period,field_G,time_us,series,coordinate
Development,EMU00070055,RF on,482.0,2.2829999923706055,Child openness U,0.8493902607524495
Development,EMU00070055,RF on,482.0,2.2829999923706055,Child closure R,0.8652712234722448
Development,EMU00070055,RF on,482.0,2.2829999923706055,Candidate parent H,1.0035364659236725
Development,EMU00070055,RF on,482.0,2.2829999923706055,Candidate parent Q,1.0842704689555742
Development,EMU00070055,RF on,482.0,2.2829999923706055,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,2.3469998836517334,Child openness U,0.8815637318402217
Development,EMU00070055,RF on,482.0,2.3469998836517334,Child closure R,0.8210598074915234
Development,EMU00070055,RF on,482.0,2.3469998836517334,Candidate parent H,0.994960327860215
Development,EMU00070055,RF on,482.0,2.3469998836517334,Candidate parent Q,1.0849183218076959
Development,EMU00070055,RF on,482.0,2.3469998836517334,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,2.4110000133514404,Child openness U,0.835378662513034
Development,EMU00070055,RF on,482.0,2.4110000133514404,Child closure R,0.7823025476237717
Development,EMU00070055,RF on,482.0,2.4110000133514404,Candidate parent H,1.0152681031258282
Development,EMU00070055,RF on,482.0,2.4110000133514404,Candidate parent Q,1.0824613432897114
Development,EMU00070055,RF on,482.0,2.4110000133514404,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,2.4749999046325684,Child openness U,0.7517884540984276
Development,EMU00070055,RF on,482.0,2.4749999046325684,Child closure R,0.7754254605450432
Development,EMU00070055,RF on,482.0,2.4749999046325684,Candidate parent H,1.0256991461691713
Development,EMU00070055,RF on,482.0,2.4749999046325684,Candidate parent Q,1.0833732193192336
Development,EMU00070055,RF on,482.0,2.4749999046325684,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,2.5390000343322754,Child openness U,0.7760002223820834
Development,EMU00070055,RF on,482.0,2.5390000343322754,Child closure R,0.7694076775457638
Development,EMU00070055,RF on,482.0,2.5390000343322754,Candidate parent H,1.0368077683955308
Development,EMU00070055,RF on,482.0,2.5390000343322754,Candidate parent Q,1.0913851999801425
Development,EMU00070055,RF on,482.0,2.5390000343322754,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,2.6029999256134033,Child openness U,0.7978626970200521
Development,EMU00070055,RF on,482.0,2.6029999256134033,Child closure R,0.7529258733462479
Development,EMU00070055,RF on,482.0,2.6029999256134033,Candidate parent H,1.0275838376223336
Development,EMU00070055,RF on,482.0,2.6029999256134033,Candidate parent Q,1.0927855772849495
Development,EMU00070055,RF on,482.0,2.6029999256134033,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,2.6670000553131104,Child openness U,0.8652597900436482
Development,EMU00070055,RF on,482.0,2.6670000553131104,Child closure R,0.7201856419043742
Development,EMU00070055,RF on,482.0,2.6670000553131104,Candidate parent H,1.02760109177659
Development,EMU00070055,RF on,482.0,2.6670000553131104,Candidate parent Q,1.0911413929216822
Development,EMU00070055,RF on,482.0,2.6670000553131104,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,2.7309999465942383,Child openness U,0.879156410344901
Development,EMU00070055,RF on,482.0,2.7309999465942383,Child closure R,0.6993159372966773
Development,EMU00070055,RF on,482.0,2.7309999465942383,Candidate parent H,1.0595798679499193
Development,EMU00070055,RF on,482.0,2.7309999465942383,Candidate parent Q,1.0968459084318987
Development,EMU00070055,RF on,482.0,2.7309999465942383,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,2.7950000762939453,Child openness U,0.8920666610800296
Development,EMU00070055,RF on,482.0,2.7950000762939453,Child closure R,0.6574266809785189
Development,EMU00070055,RF on,482.0,2.7950000762939453,Candidate parent H,1.0696626897452202
Development,EMU00070055,RF on,482.0,2.7950000762939453,Candidate parent Q,1.0944535829745752
Development,EMU00070055,RF on,482.0,2.7950000762939453,ARA ridge,1.0
