run,regime,arm,event_local,left_index,right_index,target_index,pred_index,left_time_s,right_time_s,target_time_s,pred_time_s,duration_s,direction,left_angle_rad,right_angle_rad,target_speed_rad_s,pred_speed_rad_s,flow_fraction,target_phase,pred_phase,error_plain,error_left,error_right,wrong_pred_index,error_wrong,event_id
run1,free,1,0,102,614,464,358.0,0.10200000000000031,0.613999999999999,0.4640000000000004,0.35799999999999876,0.5119999999999987,decreasing,0.6269932432462113,-0.5595862981464101,4.221057846994527,2.0888249026527874,0.49485815602836863,0.70703125,0.5,0.20703125,0.70703125,0.29296875,851.5,0.7568359375,0
run1,free,1,1,614,1601,1102,1107.5,0.613999999999999,1.600999999999999,1.1020000000000003,1.1075,0.9870000000000001,increasing,-0.5595862981464101,0.5438981172452113,3.3195188647398486,3.29307721231229,0.9920344924957578,0.49442755825734547,0.5,0.005572441742654508,0.49442755825734547,0.5055724417426545,1361.5,0.2629179331306991,1
run1,free,1,2,1601,2109,1752,1855.0,1.600999999999999,2.108999999999998,1.751999999999999,1.8550000000000004,0.5079999999999991,decreasing,0.5438981172452113,-0.5663407231860091,4.407397100995781,2.1772264740273006,0.493993716503419,0.297244094488189,0.5,0.20275590551181102,0.297244094488189,0.702755905511811,2231.5,0.9438976377952756,2
run1,free,1,3,2109,2862,2300,2485.5,2.108999999999998,2.8619999999999983,2.3000000000000007,2.4855,0.7530000000000001,increasing,-0.5663407231860091,0.35241804578914326,3.531466562038885,0.15463629402919293,0.04378812352109997,0.2536520584329349,0.5,0.24634794156706508,0.2536520584329349,0.7463479415670651,2776.0,0.6321381142098274,3
run1,free,1,4,2862,3443,3305,3152.5,2.8619999999999983,3.442999999999998,3.3049999999999997,3.1525,0.5809999999999995,decreasing,0.35241804578914326,-0.6612168201656647,4.16878006049601,0.7624053625287209,0.18288452532034238,0.7624784853700516,0.5,0.26247848537005164,0.7624784853700516,0.23752151462994836,3419.5,0.19707401032702238,4
run1,free,1,5,3443,3977,3861,3710.0,3.442999999999998,3.9770000000000003,3.8610000000000007,3.710000000000001,0.5340000000000025,increasing,-0.6612168201656647,0.5003870592717394,3.512514147573561,1.1545445365505416,0.32869462955703654,0.7827715355805244,0.5,0.28277153558052437,0.7827715355805244,0.21722846441947566,3839.0,0.04119850187265917,5
run1,free,1,6,3977,4235,4073,4106.0,3.9770000000000003,4.234999999999999,4.073,4.105999999999998,0.2579999999999991,decreasing,0.5003870592717394,0.0951216105910131,2.534632627143228,2.3374945339209767,0.9222222222222222,0.37209302325581395,0.5,0.12790697674418605,0.37209302325581395,0.627906976744186,4725.5,2.5290697674418605,6
run1,free,1,7,4934,5474,5074,5204.0,4.934000000000001,5.474,5.073999999999998,5.204000000000001,0.5399999999999991,increasing,-0.5382234680390159,0.4128937045217498,4.954151577359851,1.6335236343540935,0.32972823072656676,0.25925925925925924,0.5,0.24074074074074073,0.25925925925925924,0.7407407407407407,5563.0,0.9055555555555556,7
run1,free,1,8,5474,6192,5656,5833.0,5.474,6.192,5.655999999999999,5.832999999999998,0.718,decreasing,0.4128937045217498,-0.4698938279710916,2.7648374679562835,0.864975950878247,0.31284875183553595,0.25348189415041783,0.5,0.24651810584958217,0.25348189415041783,0.7465181058495822,6106.0,0.6267409470752089,8
run1,free,1,9,6192,6738,6604,6465.0,6.192,6.7379999999999995,6.603999999999999,6.465,0.5459999999999994,increasing,-0.4698938279710916,0.6379888173409114,4.195503009601754,0.9999127865355393,0.23832965540655235,0.7545787545787546,0.5,0.25457875457875456,0.7545787545787546,0.2454212454212454,6747.0,0.2619047619047619,9
run1,free,1,10,6738,7302,6855,7020.0,6.7379999999999995,7.302,6.855,7.02,0.5640000000000001,decreasing,0.6379888173409114,-0.34187392733864996,3.285268391233052,0.3939729274976331,0.11992107815269368,0.2074468085106383,0.5,0.2925531914893617,0.2074468085106383,0.7925531914893617,7122.0,0.4734042553191489,10
run1,free,1,11,7302,7506,7384,7404.0,7.302,7.506,7.384,7.404,0.20400000000000063,increasing,-0.34187392733864996,-0.16751553835592148,1.3619621330591587,1.2861323636421094,0.9443231441048034,0.4019607843137255,0.5,0.09803921568627451,0.4019607843137255,0.5980392156862745,7931.0,2.6813725490196076,11
run1,free,1,12,8188,8560,8391,8374.0,8.187999999999999,8.559999999999999,8.390999999999998,8.373999999999999,0.3719999999999999,decreasing,0.47211272601504284,-0.3293075568008561,3.9480470680166637,3.818791718302018,0.9672609400324149,0.5456989247311828,0.5,0.0456989247311828,0.5456989247311828,0.4543010752688172,8845.5,1.221774193548387,12
run1,free,1,13,8560,9503,9374,9031.5,8.559999999999999,9.503,9.373999999999999,9.0315,0.9430000000000014,increasing,-0.3293075568008561,0.5434268785347243,3.032425341302889,1.7629865648404204,0.581378390698631,0.8632025450689289,0.5,0.36320254506892896,0.8632025450689289,0.13679745493107104,9296.0,0.08271474019088017,13
run1,free,1,14,9503,10032,9889,9767.5,9.503,10.032,9.889,9.7675,0.5289999999999999,decreasing,0.5434268785347243,-0.4989535598207411,2.781154969537706,1.4976221754090733,0.5384892937692047,0.7296786389413988,0.5,0.22967863894139887,0.7296786389413988,0.27032136105860116,10234.5,0.6531190926275993,14
run1,free,1,15,10032,10966,10153,10499.0,10.032,10.966000000000001,10.152999999999999,10.498999999999999,0.934000000000001,increasing,-0.4989535598207411,0.39372998871008136,2.536269634222115,1.8983197632874194,0.7484692233322591,0.12955032119914348,0.5,0.37044967880085655,0.12955032119914348,0.8704496788008566,10693.5,0.578693790149893,15
run1,free,1,16,10966,11355,11125,11160.5,10.966000000000001,11.355,11.125,11.160499999999999,0.38899999999999935,decreasing,0.39372998871008136,-0.4136593203187644,3.9440818382864826,3.6781232343028476,0.932567676106036,0.4087403598971722,0.5,0.09125964010282776,0.4087403598971722,0.5912596401028277,11592.0,1.2005141388174807,16
run1,free,1,17,11970,12218,12109,12094.0,11.969999999999999,12.218,12.108999999999998,12.094000000000001,0.2480000000000011,increasing,0.11774107709927506,0.36435609775505284,1.5707963267948966,1.5125141161845836,0.9628963923481831,0.5604838709677419,0.5,0.06048387096774194,0.5604838709677419,0.43951612903225806,12366.5,1.0383064516129032,17
run1,free,1,18,12218,12763,12633,12490.5,12.218,12.762999999999998,12.633,12.490499999999999,0.5449999999999982,decreasing,0.36435609775505284,-0.5537743518028133,3.139918030640118,1.1634420233656448,0.370532610091245,0.7614678899082569,0.5,0.26146788990825687,0.7614678899082569,0.23853211009174313,12766.5,0.24495412844036699,18
run1,free,1,19,12763,13315,12891,13039.0,12.762999999999998,13.315000000000001,12.890999999999998,13.038999999999998,0.5520000000000032,increasing,-0.5537743518028133,0.3158184913764739,2.8601535447831328,0.9601444540311103,0.3356968215158924,0.2318840579710145,0.5,0.26811594202898553,0.2318840579710145,0.7681159420289855,13148.0,0.46557971014492755,19
run1,free,1,20,13315,13533,13411,13424.0,13.315000000000001,13.533000000000001,13.410999999999998,13.424,0.21799999999999997,decreasing,0.3158184913764739,0.15999549846860717,1.127797477595417,1.0932602497180517,0.9693763919821826,0.44036697247706424,0.5,0.05963302752293578,0.44036697247706424,0.5596330275229358,13944.5,2.447247706422018,20
run1,free,1,21,14172,14574,14397,14373.0,14.172,14.573999999999998,14.396999999999998,14.373000000000001,0.40199999999999747,increasing,-0.42355533744507845,0.3051370762361909,3.3232644431485823,3.179749649382382,0.9568151147098516,0.5597014925373134,0.5,0.05970149253731343,0.5597014925373134,0.44029850746268656,14830.5,1.078358208955224,21
run1,free,1,22,14574,15489,15351,15031.5,14.573999999999998,15.489,15.350999999999999,15.0315,0.9150000000000027,decreasing,0.3051370762361909,-0.46738055400544276,2.397430291201002,1.2579850658741096,0.5247222705457338,0.8491803278688524,0.5,0.34918032786885245,0.8491803278688524,0.15081967213114755,15292.5,0.06393442622950819,22
run1,free,1,23,15489,16011,15864,15750.0,15.489,16.011,15.864,15.75,0.5219999999999985,increasing,-0.46738055400544276,0.419333968918691,2.2734412294407034,1.7148431515228126,0.7542940320232895,0.7183908045977011,0.5,0.21839080459770116,0.7183908045977011,0.28160919540229884,16203.0,0.6494252873563219,23
run1,free,1,24,16011,16917,16133,16464.0,16.011,16.916999999999998,16.133,16.464,0.9059999999999988,decreasing,0.419333968918691,-0.3599380858619998,1.9275151261390253,1.3352569931952538,0.6927348974271791,0.1346578366445916,0.5,0.36534216335540837,0.1346578366445916,0.8653421633554084,16675.5,0.5987858719646799,24
run1,free,1,25,16917,17340,17103,17128.5,16.916999999999998,17.339999999999996,17.103,17.1285,0.42299999999999827,increasing,-0.3599380858619998,0.3725242392862622,3.20309202038111,3.052564543429581,0.9530055721179004,0.4397163120567376,0.5,0.06028368794326241,0.4397163120567376,0.5602836879432624,17551.0,1.0591016548463357,25
run1,free,1,26,17340,18185,17642,17762.5,17.339999999999996,18.185000000000002,17.642000000000003,17.7625,0.845000000000006,decreasing,0.3725242392862622,-0.33197791104061913,1.937659942592389,0.8658410662028986,0.4468488237644489,0.357396449704142,0.5,0.142603550295858,0.357396449704142,0.642603550295858,18028.5,0.457396449704142,26
run1,free,1,27,18185,18717,18567,18451.0,18.185000000000002,18.717,18.567,18.451,0.5319999999999965,increasing,-0.33197791104061913,0.4606459126236526,2.543387834836296,1.5766826085334213,0.619914346895075,0.7180451127819549,0.5,0.21804511278195488,0.7180451127819549,0.2819548872180451,18899.5,0.625,27
run1,free,1,28,18717,19614,18854,19165.5,18.717,19.613999999999997,18.854,19.165499999999998,0.8969999999999985,decreasing,0.4606459126236526,-0.24542703367852248,2.107508488544137,1.2749756947971091,0.6049682370095032,0.1527313266443701,0.5,0.3472686733556299,0.1527313266443701,0.8472686733556298,19407.0,0.6164994425863991,28
run1,free,1,29,19614,20097,19795,19855.5,19.613999999999997,20.097,19.795,19.8555,0.4830000000000041,increasing,-0.24542703367852248,0.39545786530286975,2.2721258343224155,1.9967807279157417,0.8788160839301463,0.3747412008281574,0.5,0.12525879917184266,0.3747412008281574,0.6252587991718427,20084.5,0.5993788819875776,29
run1,free,1,30,20097,20555,20325,20326.0,20.097,20.555,20.325000000000003,20.326,0.4579999999999984,decreasing,0.39545786530286975,-0.23537393727168165,2.4682531847814215,2.44064065692184,0.9888129272840271,0.4978165938864629,0.5,0.002183406113537118,0.4978165938864629,0.5021834061135371,20763.0,0.9563318777292577,30
run1,free,1,31,20555,21429,21267,20992.0,20.555,21.429000000000002,21.267000000000003,20.991999999999997,0.8740000000000023,increasing,-0.23537393727168165,0.41760609326433773,2.0599707030882537,0.8417385289341042,0.4086167476421835,0.8146453089244852,0.5,0.3146453089244851,0.8146453089244852,0.1853546910755149,21251.0,0.018306636155606407,31
run1,free,1,32,21429,21947,21598,21688.0,21.429000000000002,21.947000000000003,21.598,21.688000000000002,0.5180000000000007,decreasing,0.41760609326433773,-0.3194115406271276,1.9418118429144096,1.8093952466536203,0.9318077100291813,0.32625482625482627,0.5,0.17374517374517376,0.32625482625482627,0.6737451737451737,22123.5,1.0144787644787645,32
run1,free,1,33,21947,22818,22467,22382.5,21.947000000000003,22.817999999999998,22.467,22.3825,0.8709999999999951,increasing,-0.3194115406271276,0.35948662927265396,1.2983218482435226,0.9882580541763952,0.7611811012141502,0.5970149253731343,0.5,0.09701492537313433,0.5970149253731343,0.40298507462686567,22615.5,0.17049368541905854,33
run1,free,1,34,22818,23284,23028,23051.0,22.817999999999998,23.284,23.028,23.051000000000002,0.4660000000000011,decreasing,0.35948662927265396,-0.3156416295703508,2.570020168185367,2.460006776145693,0.9571935685946963,0.45064377682403434,0.5,0.04935622317596566,0.45064377682403434,0.5493562231759657,23472.5,0.953862660944206,34
run1,free,1,35,23284,24127,23974,23705.5,23.284,24.127000000000002,23.973999999999997,23.7055,0.8430000000000035,increasing,-0.3156416295703508,0.3310552158055309,1.3417964067154584,0.5575692958182046,0.4155394164328261,0.8185053380782918,0.5,0.3185053380782918,0.8185053380782918,0.18149466192170818,23960.0,0.0166073546856465,35
run1,free,1,36,24127,24636,24456,24381.5,24.127000000000002,24.636000000000003,24.456000000000003,24.3815,0.5090000000000003,decreasing,0.3310552158055309,-0.37171905805736927,2.1800467155739685,1.9648422232931093,0.9012844583818015,0.6463654223968566,0.5,0.14636542239685657,0.6463654223968566,0.35363457760314343,24820.0,0.7151277013752456,36
run1,free,1,37,24636,25513,24783,25074.5,24.636000000000003,25.512999999999998,24.783,25.0745,0.8769999999999953,increasing,-0.37171905805736927,0.2801614150642493,1.4083649074670321,0.8767235579361237,0.6225116468663833,0.1676168757126568,0.5,0.33238312428734323,0.1676168757126568,0.8323831242873432,25316.5,0.6083238312428735,37
run1,free,1,38,25513,25997,25713,25755.0,25.512999999999998,25.997,25.713,25.755000000000003,0.48400000000000176,decreasing,0.2801614150642493,-0.35852436920771424,2.1844933155871913,2.12193307834325,0.9713616714697407,0.4132231404958678,0.5,0.08677685950413223,0.4132231404958678,0.5867768595041323,26159.5,0.9225206611570248,38
run1,free,1,39,25997,26806,26225,26401.5,25.997,26.805999999999997,26.225,26.4015,0.8089999999999975,increasing,-0.35852436920771424,0.23382292364389556,1.6829960644231032,0.6519833293243824,0.3873944467884831,0.28182941903584674,0.5,0.2181705809641533,0.28182941903584674,0.7181705809641533,26667.0,0.546353522867738,39
run1,free,1,40,26806,27337,27155,27071.5,26.805999999999997,27.336999999999996,27.155,27.0715,0.5309999999999988,decreasing,0.23382292364389556,-0.37658852693799894,1.9819940193408012,1.6687050675777664,0.8419324434353073,0.6572504708097928,0.5,0.15725047080979285,0.6572504708097928,0.3427495291902072,27338.0,0.3446327683615819,40
run1,free,1,41,27337,27870,27537,27603.5,27.336999999999996,27.869999999999997,27.537,27.6035,0.5330000000000013,increasing,-0.37658852693799894,0.2063339877340873,1.6107427469184747,1.5301152983832504,0.9499439319596669,0.37523452157598497,0.5,0.124765478424015,0.37523452157598497,0.624765478424015,28019.0,0.9043151969981238,41
