split,cycle,start_sample,stop_sample,start_time_s,stop_time_s,period_s,p_AA,p_AB,p_BB,p_BA,all_four_seen,completion_u,transition_count,inequality,phi_template_distance,equal_template_distance,paired_template_distance,linear_template_distance,parent_amplitude,parent_retention,period_retention,child_allocation_retention,one_wave_phi_distance,one_wave_equal_distance
development,0,176,791,0.35199999999999987,1.5820000000000003,1.2300000000000004,0.4666666666666667,0.0,0.47317073170731705,0.06016260162601626,False,nan,4,0.36605251067572664,0.4119733533735631,0.4398373983739837,0.06016260162601627,0.3398373983739837,2.334101246353318,0.7959443392869439,0.9219512195121944,0.9858906525573192,0.10096081801818756,0.033333333333333326
development,1,791,1358,1.5820000000000003,2.7159999999999997,1.1339999999999995,0.4603174603174603,0.014109347442680775,0.4691358024691358,0.0564373897707231,True,0.9435626102292769,4,0.32585837787108685,0.40158921778617546,0.4294532627865961,0.0705467372134039,0.32945326278659604,1.857814674357524,0.5420664333924834,0.9576719576719585,0.9643563584631725,0.11865223079994909,0.06790123456790123
development,2,1358,1901,2.7159999999999997,3.802,1.0860000000000003,0.4567219152854512,0.007366482504604052,0.4438305709023941,0.09208103130755065,True,0.9079189686924494,4,0.2972273203667898,0.3726884411874246,0.4005524861878453,0.09944751381215472,0.30055248618784525,1.007058974433201,0.3374666364168507,0.6224677716390419,0.8472544596641494,0.11192885391082633,0.07642725598526705
development,3,1901,2239,3.802,4.478,0.6759999999999997,0.6094674556213018,0.0,0.3727810650887574,0.01775147928994083,False,nan,3,0.4653386161267472,0.4543844757096386,0.4822485207100592,0.1272189349112426,0.3822485207100591,0.3398488047753756,0.9956021330745893,0.7085953878406701,0.7711039162417972,0.11273524201933598,0.10946745562130178
development,4,2239,2716,4.478,5.432,0.9540000000000006,0.39832285115303984,0.1320754716981132,0.469601677148847,0.0,False,nan,4,0.286600021792085,0.34006048330146615,0.3679245283018868,0.13207547169811318,0.2679245283018868,0.3413500167239141,0.31367667900810636,0.881700554528652,0.9233773933665819,0.11362219573647836,0.03825995807127884
development,5,2716,3257,5.432,6.513999999999999,1.081999999999999,0.4658040665434381,0.05545286506469501,0.4787430683918669,0.0,False,nan,4,0.37322859246834095,0.4166830899348844,0.44454713493530496,0.055452865064695,0.3445471349353049,1.0882224901236364,0.5894437004135061,0.9524647887323926,0.9744767124000937,0.12503440311701836,0.02264325323475047
development,6,3257,3825,6.513999999999999,7.65,1.136000000000001,0.4859154929577465,0.02992957746478873,0.4841549295774648,0.0,False,nan,4,0.4179466565199622,0.4422063775347907,0.47007042253521125,0.029929577464788713,0.3700704225352112,1.8461856312320029,0.8523584910176549,0.941956882255391,0.9652529605493658,0.11627342536961319,0.017605633802816892
development,7,3825,4428,7.65,8.856,1.2059999999999995,0.4759535655058043,0.03980099502487562,0.4593698175787728,0.024875621890547265,True,0.9751243781094527,5,0.32849151673899835,0.4074593380841565,0.43532338308457713,0.06467661691542288,0.3353233830845771,2.16597317993253,0.8640113299130455,0.9452736318407954,0.9862791306624771,0.12989304275922625,0.026119402985074633
development,8,4428,4998,8.856,9.995999999999999,1.1399999999999988,0.47368421052631576,0.031578947368421054,0.45614035087719296,0.03859649122807018,True,0.9614035087719298,4,0.31708391760298715,0.40196051640308805,0.4298245614035087,0.07017543859649125,0.3298245614035087,1.8714253677494934,0.6217577098098754,0.9403508771929843,0.990089028541503,0.13129494870582487,0.06140350877192981
development,9,4998,5534,9.995999999999999,11.068,1.072000000000001,0.4701492537313433,0.027985074626865673,0.4533582089552239,0.048507462686567165,True,0.9514925373134329,4,0.30727142221885617,0.3956434176861465,0.4235074626865672,0.07649253731343282,0.3235074626865671,1.163573150732029,0.4179270407315295,0.8731343283582081,0.9716481694093635,0.1320870408765502,0.06529850746268656
development,10,5534,6002,11.068,12.004,0.9359999999999999,0.4829059829059829,0.02564102564102564,0.42735042735042733,0.0641025641025641,True,0.9358974358974359,4,0.2895590412100998,0.38239236525598963,0.41025641025641024,0.08974358974358974,0.3102564102564102,0.4862886835600988,0.818804172721358,0.8632478632478631,0.91002369467716,0.12119598334370162,0.06837606837606836
development,11,6002,6406,12.004,12.812,0.8079999999999998,0.4504950495049505,0.0,0.5173267326732673,0.03217821782178218,False,nan,3,0.41515465399155493,0.43995773717779724,0.4678217821782178,0.04950495049504951,0.3678217821782178,0.39817520324618494,0.42273108162361217,0.766603415559772,0.9438536832810416,0.10813299865088498,0.04950495049504949
development,12,6406,6933,12.812,13.866,1.0540000000000003,0.4686907020872865,0.03795066413662239,0.48007590132827327,0.013282732447817837,True,0.5199240986717267,4,0.35870944405921645,0.4209025584151391,0.4487666034155598,0.05123339658444022,0.34876660341555976,0.9419113487394544,0.5767113478754925,0.9495495495495503,0.9775954322443886,0.11139262252598595,0.03273244781783681
development,13,6933,7488,13.866,14.975999999999999,1.1099999999999994,0.4846846846846847,0.01981981981981982,0.4864864864864865,0.009009009009009009,True,0.5135135135135135,4,0.40725772659829584,0.4433071261707505,0.4711711711711712,0.02882882882882882,0.37117117117117115,1.6332457341255675,0.8005634619498972,0.9552495697074014,0.9915957265354856,0.11529934458343853,0.018918918918918892
development,14,7488,8069,14.975999999999999,16.137999999999998,1.161999999999999,0.48881239242685026,0.024096385542168676,0.4819277108433735,0.0051635111876075735,True,0.9948364888123924,5,0.40947862630538634,0.44287605826980314,0.47074010327022375,0.029259896729776247,0.37074010327022366,2.0401202549858355,0.91558990846868,0.9845094664371797,0.9691212402055775,0.12034811107798814,0.015920826161790025
development,15,8069,8641,16.137999999999998,17.282,1.144000000000002,0.48951048951048953,0.038461538461538464,0.45104895104895104,0.02097902097902098,True,0.9790209790209791,4,0.3398396133087638,0.41269539555901996,0.4405594405594405,0.05944055944055943,0.34055944055944054,1.8679135175275814,0.685947859219626,0.9370629370629348,0.9932418327940715,0.1267752474911536,0.047202797202797214
development,16,8641,9177,17.282,18.354,1.0719999999999992,0.4832089552238806,0.04477611940298507,0.45149253731343286,0.020522388059701493,True,0.9794776119402985,4,0.32965232431737057,0.40683744753689277,0.43470149253731344,0.06529850746268656,0.3347014925373134,1.2812912785554458,0.5217817758616898,0.9011194029850763,0.9793308303204474,0.11902733938401289,0.061567164179104475
