candidate,candidate_type,increment_ara,n_plants,one_step_median_ara,one_step_mean_ara,carrier_median_ara,carrier_mean_ara,one_step_median_deg,carrier_median_deg,one_step_rank,carrier_rank
development_carrier_fit,development_fit,0.766279999999,10,0.038217222223,0.0432452629631,0.0258111111139,0.0325484870375,6.87910000014,4.64600000051,3,2
development_step_fit,development_fit,0.767655555556,10,0.0368416666667,0.0430756111111,0.0255166666667,0.0317035833333,6.6315,4.593,1,1
persistence,fixed,0,10,0.774983333333,0.769524777778,0.504988888889,0.564425231481,139.497,90.898,11,10
one_third_phase,fixed,0.666666666667,10,0.108316666667,0.102858111111,0.283794444444,0.290573138889,19.497,51.083,9,9
one_over_e,fixed,0.735758882343,10,0.0505036176571,0.0498409136859,0.102082235314,0.100689234406,9.09065117828,18.3748023566,7,7
nearest_eighth_3_8,fixed,0.75,10,0.0374625,0.0456973518519,0.0568833333333,0.0631809166667,6.74325,10.239,2,5
fibonacci_8_21,fixed,0.761904761905,10,0.0388111111111,0.0437848756614,0.0362454365079,0.037543234127,6.986,6.52417857143,4,4
phi,fixed,0.7639320225,10,0.0388111111111,0.0435348468546,0.0301636547216,0.034766904772,6.986,5.42945784989,4,3
two_fifths_phase,fixed,0.8,10,0.0399638888889,0.0467805185185,0.0784527777778,0.0844856759259,7.1935,14.1215,6,6
silver_conjugate,fixed,0.828427124746,10,0.0538302290398,0.0635664644822,0.157103759719,0.156389624047,9.68944122716,28.2786767494,8,8
half_turn_ridge,fixed,1,10,0.225016666667,0.230475222222,0.668341666667,0.582837527778,40.503,120.3015,10,11
