domain,split,radial_candidate,angular_candidate,alpha,tau,linear_budget_loss,euclidean_budget_loss
recorded_bubbles,calibration,plastic,quarter,1.324717957244746,0.25,0.5674759496856936,0.6051572302542914
recorded_bubbles,calibration,plastic,third,1.324717957244746,0.3333333333333333,0.5762753019486688,0.5974035701490306
recorded_bubbles,calibration,plastic,one_over_e,1.324717957244746,0.36787944117144233,0.5856033508600536,0.6098559046343615
recorded_bubbles,calibration,plastic,three_eighths,1.324717957244746,0.375,0.5894595460877478,0.6105674693512988
recorded_bubbles,calibration,plastic,phi_inverse_squared,1.324717957244746,0.38196601125010515,0.5919281993286014,0.6105920616157696
recorded_bubbles,calibration,plastic,two_fifths,1.324717957244746,0.4,0.5930158353921311,0.6142901684611795
recorded_bubbles,calibration,plastic,sqrt2_minus_1,1.324717957244746,0.41421356237309515,0.5965126967159164,0.6160200347801318
recorded_bubbles,calibration,sqrt2,quarter,1.4142135623730951,0.25,0.5678481554059034,0.5979201591112145
recorded_bubbles,calibration,sqrt2,third,1.4142135623730951,0.3333333333333333,0.579919360905337,0.5994435478008836
recorded_bubbles,calibration,sqrt2,one_over_e,1.4142135623730951,0.36787944117144233,0.5821706899582818,0.6013105549998551
recorded_bubbles,calibration,sqrt2,three_eighths,1.4142135623730951,0.375,0.5792362883761113,0.6006779357706273
recorded_bubbles,calibration,sqrt2,phi_inverse_squared,1.4142135623730951,0.38196601125010515,0.5776827014594155,0.6000924401688179
recorded_bubbles,calibration,sqrt2,two_fifths,1.4142135623730951,0.4,0.5767822445443189,0.6049914484775771
recorded_bubbles,calibration,sqrt2,sqrt2_minus_1,1.4142135623730951,0.41421356237309515,0.5783681676684641,0.6086659188674863
recorded_bubbles,calibration,three_halves,quarter,1.5,0.25,0.5669372130742696,0.6217496675307819
recorded_bubbles,calibration,three_halves,third,1.5,0.3333333333333333,0.580801503558764,0.6255863760592757
recorded_bubbles,calibration,three_halves,one_over_e,1.5,0.36787944117144233,0.5858499263869366,0.6303548654728288
recorded_bubbles,calibration,three_halves,three_eighths,1.5,0.375,0.5873780443262089,0.630429798451992
recorded_bubbles,calibration,three_halves,phi_inverse_squared,1.5,0.38196601125010515,0.588536331222876,0.6305451520369665
recorded_bubbles,calibration,three_halves,two_fifths,1.5,0.4,0.5913475525741725,0.6322029491717382
recorded_bubbles,calibration,three_halves,sqrt2_minus_1,1.5,0.41421356237309515,0.5943743065499565,0.6333157365532784
recorded_bubbles,calibration,phi,quarter,1.618033988749895,0.25,0.5998261238419079,0.6430630223211163
recorded_bubbles,calibration,phi,third,1.618033988749895,0.3333333333333333,0.6110308511465657,0.652328924453162
recorded_bubbles,calibration,phi,one_over_e,1.618033988749895,0.36787944117144233,0.6176005292328861,0.6569516065547315
recorded_bubbles,calibration,phi,three_eighths,1.618033988749895,0.375,0.616927009724124,0.6572843580975369
recorded_bubbles,calibration,phi,phi_inverse_squared,1.618033988749895,0.38196601125010515,0.6180086101838969,0.6565394790874233
recorded_bubbles,calibration,phi,two_fifths,1.618033988749895,0.4,0.6213376202148703,0.6575801589489894
recorded_bubbles,calibration,phi,sqrt2_minus_1,1.618033988749895,0.41421356237309515,0.6243491549302219,0.6599058658371889
recorded_bubbles,calibration,octave,quarter,2.0,0.25,0.6410616990451283,0.6922239706430723
recorded_bubbles,calibration,octave,third,2.0,0.3333333333333333,0.6703437655394027,0.7092730592127605
recorded_bubbles,calibration,octave,one_over_e,2.0,0.36787944117144233,0.6759690376419997,0.7149650337931932
recorded_bubbles,calibration,octave,three_eighths,2.0,0.375,0.6744075530308749,0.7162090642863729
recorded_bubbles,calibration,octave,phi_inverse_squared,2.0,0.38196601125010515,0.673302739771696,0.7177026772651848
recorded_bubbles,calibration,octave,two_fifths,2.0,0.4,0.6730763471199863,0.7184121926523808
recorded_bubbles,calibration,octave,sqrt2_minus_1,2.0,0.41421356237309515,0.676413338231034,0.7196748011336571
recorded_bubbles,calibration,e,quarter,2.718281828459045,0.25,0.692050715935123,0.7373795141523766
recorded_bubbles,calibration,e,third,2.718281828459045,0.3333333333333333,0.7250076637111815,0.7613863816919874
recorded_bubbles,calibration,e,one_over_e,2.718281828459045,0.36787944117144233,0.725738288717127,0.7669681665203405
recorded_bubbles,calibration,e,three_eighths,2.718281828459045,0.375,0.7288444777364959,0.767363036574229
recorded_bubbles,calibration,e,phi_inverse_squared,2.718281828459045,0.38196601125010515,0.7321386432161414,0.7680845848796549
recorded_bubbles,calibration,e,two_fifths,2.718281828459045,0.4,0.7380843592376565,0.7723532751083575
recorded_bubbles,calibration,e,sqrt2_minus_1,2.718281828459045,0.41421356237309515,0.7398281731975064,0.7739639953624872
recorded_bubbles,evaluation,plastic,quarter,1.324717957244746,0.25,0.5345668004085518,0.5652176989553187
recorded_bubbles,evaluation,plastic,third,1.324717957244746,0.3333333333333333,0.5449647701335631,0.5648918370562164
recorded_bubbles,evaluation,plastic,one_over_e,1.324717957244746,0.36787944117144233,0.5494260459727642,0.5706470375232524
recorded_bubbles,evaluation,plastic,three_eighths,1.324717957244746,0.375,0.5492307213180394,0.5711799777200852
recorded_bubbles,evaluation,plastic,phi_inverse_squared,1.324717957244746,0.38196601125010515,0.5488635448259818,0.5712550645333453
recorded_bubbles,evaluation,plastic,two_fifths,1.324717957244746,0.4,0.5475004778724684,0.5744723157838962
recorded_bubbles,evaluation,plastic,sqrt2_minus_1,1.324717957244746,0.41421356237309515,0.5505091042127006,0.5758932880474665
recorded_bubbles,evaluation,sqrt2,quarter,1.4142135623730951,0.25,0.550769148382525,0.5968686978253115
recorded_bubbles,evaluation,sqrt2,third,1.4142135623730951,0.3333333333333333,0.5726579765844401,0.6058216424883279
recorded_bubbles,evaluation,sqrt2,one_over_e,1.4142135623730951,0.36787944117144233,0.5760696257855226,0.6088660943466432
recorded_bubbles,evaluation,sqrt2,three_eighths,1.4142135623730951,0.375,0.5762119753412267,0.6090596552718832
recorded_bubbles,evaluation,sqrt2,phi_inverse_squared,1.4142135623730951,0.38196601125010515,0.5759451336416663,0.6092387622287667
recorded_bubbles,evaluation,sqrt2,two_fifths,1.4142135623730951,0.4,0.5737046033785637,0.6096602319033134
recorded_bubbles,evaluation,sqrt2,sqrt2_minus_1,1.4142135623730951,0.41421356237309515,0.5766420508795924,0.6099547530566714
recorded_bubbles,evaluation,three_halves,quarter,1.5,0.25,0.5752491249315452,0.632215187293008
recorded_bubbles,evaluation,three_halves,third,1.5,0.3333333333333333,0.5947987645347979,0.6446038815574693
recorded_bubbles,evaluation,three_halves,one_over_e,1.5,0.36787944117144233,0.5970539084155335,0.648315285117075
recorded_bubbles,evaluation,three_halves,three_eighths,1.5,0.375,0.5986976645814897,0.6489907421122392
recorded_bubbles,evaluation,three_halves,phi_inverse_squared,1.5,0.38196601125010515,0.6002059696391251,0.6489960189723918
recorded_bubbles,evaluation,three_halves,two_fifths,1.5,0.4,0.6021459861132705,0.6496836065193581
recorded_bubbles,evaluation,three_halves,sqrt2_minus_1,1.5,0.41421356237309515,0.6042019884927723,0.6498542749612404
recorded_bubbles,evaluation,phi,quarter,1.618033988749895,0.25,0.6082814083594256,0.6660362107729139
recorded_bubbles,evaluation,phi,third,1.618033988749895,0.3333333333333333,0.6311653694293518,0.6749277727608667
recorded_bubbles,evaluation,phi,one_over_e,1.618033988749895,0.36787944117144233,0.6346482113768646,0.680915409177893
recorded_bubbles,evaluation,phi,three_eighths,1.618033988749895,0.375,0.6368527793478107,0.6813385949981978
recorded_bubbles,evaluation,phi,phi_inverse_squared,1.618033988749895,0.38196601125010515,0.6359182339121969,0.6814051638971675
recorded_bubbles,evaluation,phi,two_fifths,1.618033988749895,0.4,0.6391045045290205,0.6829334701152991
recorded_bubbles,evaluation,phi,sqrt2_minus_1,1.618033988749895,0.41421356237309515,0.6412034271436269,0.6853309904184779
recorded_bubbles,evaluation,octave,quarter,2.0,0.25,0.6778833607219358,0.7277092163564016
recorded_bubbles,evaluation,octave,third,2.0,0.3333333333333333,0.7011034960188236,0.7426240648065864
recorded_bubbles,evaluation,octave,one_over_e,2.0,0.36787944117144233,0.7074150117551383,0.7474147730293298
recorded_bubbles,evaluation,octave,three_eighths,2.0,0.375,0.7085347438605977,0.7480555731219671
recorded_bubbles,evaluation,octave,phi_inverse_squared,2.0,0.38196601125010515,0.7095897743777337,0.7484492821243445
recorded_bubbles,evaluation,octave,two_fifths,2.0,0.4,0.7122369992813063,0.749198468151965
recorded_bubbles,evaluation,octave,sqrt2_minus_1,2.0,0.41421356237309515,0.7156992541864314,0.7491314707005804
recorded_bubbles,evaluation,e,quarter,2.718281828459045,0.25,0.7336019455539208,0.7834947096178715
recorded_bubbles,evaluation,e,third,2.718281828459045,0.3333333333333333,0.7601901390973037,0.8003049946615326
