Plante	Angle
1	142
1	118
1	138
1	132
1	148
1	40
1	212
1	208
1	80
1	164
1	53
1	130
1	95
1	48
1	130
1	132
1	271
1	237
1	50
1	132
1	88
1	37
1	160
1	150
1	267
1	240
1	40
1	213
1	185
1	90
1	140
1	93
1	225
1	262
1	281
1	219
1	47
1	132
1	106
1	55
1	151
1	268
1	238
1	263
1	148
1	171
1	105
2	116
2	42
2	40
2	90
2	141
2	269
2	140
2	151
2	59
2	76
2	136
2	283
2	115
2	148
2	137
2	125
2	162
2	113
2	155
2	120
2	131
2	129
2	53
2	207
2	68
2	239
2	43
2	149
2	78
2	183
2	249
2	259
2	271
2	229
2	297
2	268
2	224
2	291
2	127
3	70
3	115
3	145
3	276
3	133
3	268
3	220
3	47
3	256
3	43
3	207
3	60
3	240
3	263
3	152
3	120
3	300
3	258
3	233
3	27
3	234
3	275
3	135
3	125
3	150
3	155
3	280
3	230
3	253
3	150
3	126
3	167
3	127
3	134
3	273
3	126
3	173
3	118
3	136
3	139
3	140
3	131
3	148
3	276
3	173
3	100
3	147
3	184
4	240
4	220
4	210
4	300
4	287
4	318
4	105
4	175
4	300
4	95
4	93
4	130
4	178
4	285
4	203
4	116
4	205
4	232
4	226
4	221
4	86
4	153
4	77
4	240
4	212
4	238
4	225
4	112
4	135
4	349
4	126
4	84
4	252
4	115
4	127
4	313
4	112
4	355
4	153
4	56
4	108
4	123
4	92
4	218
5	135
5	132
5	136
5	264
5	127
5	155
5	169
5	134
5	276
5	230
5	300
5	163
5	156
5	132
5	159
5	162
5	144
5	52
5	89
5	40
5	139
5	307
5	198
5	123
5	153
5	148
5	139
5	126
5	299
5	258
5	330
5	243
5	80
5	212
5	295
5	140
6	136
6	336
6	251
6	252
6	85
6	148
6	91
6	86
6	117
6	324
6	179
6	83
6	82
6	148
6	98
6	86
6	130
6	296
6	169
6	92
6	63
6	136
6	98
6	84
6	135
6	88
6	224
6	89
6	123
6	104
6	312
6	284
6	203
6	186
6	131
6	154
6	334
6	308
6	267
6	245
6	80
7	237
7	339
7	119
7	342
7	138
7	323
7	238
7	274
7	311
7	246
7	227
7	212
7	249
7	89
7	131
7	87
7	113
7	128
7	317
7	145
7	94
7	66
7	212
7	253
7	330
7	247
7	74
7	146
7	80
7	221
7	228
7	99
7	132
7	103
