Plante	Angle brute
1	324
1	35
1	175
1	260
1	115
1	321
1	60
1	285
1	30
1	154
1	348
1	252
1	186
1	110
1	50
1	286
1	359
1	320
1	90
1	231
1	170
1	94
1	244
1	184
1	52
1	305
1	165
1	30
1	332
1	231
1	205
1	114
1	75
2	90
2	205
2	125
2	5
2	284
2	65
2	195
2	354
2	152
2	354
2	300
2	68
2	220
2	286
2	45
2	160
2	218
2	353
2	141
2	295
2	50
2	105
2	198
2	5
2	58
2	192
2	112
2	298
2	359
2	250
2	165
2	62
2	138
2	351
2	251
2	183
2	52
2	132
2	345
2	231
2	55
2	331
2	20
2	128
3	122
3	263
3	212
3	68
3	292
3	164
3	36
3	266
3	122
3	212
3	347
3	80
3	154
3	281
3	5
3	249
3	120
3	330
3	70
3	212
3	158
3	303
3	32
3	263
3	355
3	125
3	225
3	70
3	168
3	294
3	246
3	23
3	325
3	108
3	198
3	70
3	165
3	300
3	242
3	341
3	40
4	228
4	175
4	60
4	148
4	332
4	275
4	220
4	345
4	80
4	316
4	258
4	38
4	172
4	218
4	123
4	330
4	82
4	313
4	178
4	265
4	135
4	30
4	336
4	216
4	321
4	182
4	98
4	25
4	148
4	278
4	231
4	82
4	355
4	305
4	170
4	39
4	135
4	285
4	22
5	24
5	172
5	314
5	95
5	255
5	185
5	51
5	317
5	240
5	106
5	175
5	22
5	311
5	107
5	246
5	30
5	178
5	310
5	102
5	239
5	14
5	290
5	184
5	90
5	23
5	248
5	172
5	95
5	237
5	322
5	23
5	276
5	158
5	84
5	255
5	9
5	159
5	310
5	79
6	213
6	84
6	323
6	179
6	54
6	272
6	23
6	149
6	258
6	348
6	115
6	205
6	296
6	79
6	155
6	28
6	239
6	340
6	290
6	110
6	212
6	72
6	195
6	35
6	18
6	142
6	270
6	72
6	238
6	338
6	70
6	198
7	275
7	209
7	146
7	100
7	3
7	305
7	180
7	268
7	39
7	219
7	125
7	59
7	352
7	316
7	355
7	172
7	32
7	108
7	255
7	326
7	196
7	305
7	92
7	169
7	23
7	248
7	121
7	192
7	67
7	352
7	290
7	154
7	45
7	262
7	112
7	19
7	221
7	58
7	300
8	62
8	284
8	149
8	0
8	82
8	242
8	311
8	171
8	53
8	271
8	230
8	125
8	55
8	7
8	314
8	195
8	69
8	278
8	138
8	82
8	351
8	228
8	65
8	210
8	321
8	284
8	354
8	235
8	152
8	80
8	215
8	44
8	346
8	155
8	279
8	4
8	119
8	245
8	195
8	324
8	56
8	286
8	143
8	0
8	116
8	225
8	197
8	335
9	201
9	145
9	265
9	211
9	325
9	84
9	174
9	40
9	123
9	51
9	254
9	354
9	300
9	200
9	166
9	24
9	268
9	115
9	64
9	355
9	287
9	202
9	152
9	29
9	265
9	335
9	292
9	90
9	40
9	190
9	126
9	7
9	85
9	245
9	320
9	270
9	40
9	188
9	350
10	330
10	90
10	18
10	227
10	150
10	272
10	60
10	192
10	322
10	115
10	30
10	265
10	189
10	85
10	326
10	231
10	31
10	174
10	91
10	263
10	154
10	27
10	115
10	334
10	256
10	189
10	31
10	239
10	332
10	103
10	179
10	43
10	100
10	335
10	29
10	276
10	301
10	197
10	139
11	266
11	207
11	25
11	251
11	335
11	101
11	41
11	163
11	304
11	2
12	58
12	212
12	345
12	121
12	191
12	321
12	101
12	28
12	80
12	270
12	221
12	191
12	341
12	49
12	298
12	188
12	121
12	39
12	191
12	292
12	105
12	356
12	36
12	279
12	350
12	104
12	176
12	275
12	62
12	108
12	264
12	352
12	202
12	49
12	117
12	3
12	281
12	315
12	65
13	11
13	226
13	135
13	351
13	231
13	319
13	85
13	205
13	304
13	86
13	190
13	59
13	290
13	24
13	154
13	272
13	349
13	131
13	236
13	328
13	84
13	54
13	202
13	304
13	166
13	30
13	272
13	108
13	6
13	249
13	113
13	190
14	162
14	78
14	220
14	12
14	164
14	289
14	63
14	327
14	205
14	35
14	290
14	129
14	344
14	204
14	94
14	275
14	32
14	2
14	201
14	284
14	128
14	43
14	205
14	49
14	191
14	338
14	127
14	269
14	57
