Plante	Angle
1	289
1	220
1	275
1	145
1	154
1	261
1	135
1	255
1	236
1	166
1	96
1	66
1	76
1	60
1	124
1	287
1	39
1	230
1	219
1	61
1	76
1	210
1	60
1	132
1	107
1	140
1	135
1	58
1	101
1	26
1	91
1	39
2	115
2	280
2	240
2	279
2	141
2	130
2	159
2	158
2	202
2	306
2	128
2	152
2	66
2	119
2	115
2	58
2	135
2	148
2	154
2	115
2	55
2	93
2	167
2	53
2	134
2	280
2	186
2	61
2	251
2	275
2	257
2	76
2	213
2	260
2	292
2	229
2	80
2	213
2	246
2	184
2	276
2	49
2	108
3	141
3	309
3	216
3	224
3	232
3	232
3	230
3	216
3	90
3	135
3	93
3	74
3	127
3	84
3	244
3	231
3	210
3	100
3	142
3	306
3	145
3	89
3	231
3	92
3	130
3	100
3	205
3	98
3	126
3	312
3	137
3	302
3	143
3	90
3	232
3	95
3	135
3	302
3	99
3	59
4	53
4	115
4	272
4	176
4	57
4	55
4	235
4	265
4	124
4	58
4	220
4	226
4	314
4	95
4	153
4	248
4	129
4	135
4	273
4	130
4	105
4	54
4	120
4	255
4	139
4	84
4	73
4	237
4	230
4	47
4	149
4	87
4	50
4	135
4	131
4	264
4	210
4	263
5	148
5	142
5	141
5	160
5	290
5	226
5	266
5	283
5	226
5	69
5	207
5	289
5	156
5	139
5	144
5	148
5	132
5	152
5	137
5	135
5	276
5	254
5	266
5	293
5	225
5	284
5	283
5	142
5	85
5	61
5	253
5	242
5	286
5	171
5	114
5	150
5	151
5	129
6	231
6	239
6	216
6	235
6	218
6	111
6	126
6	109
6	90
6	127
6	90
6	91
6	143
6	76
6	233
6	211
6	101
6	310
6	180
6	102
6	220
6	123
6	200
6	343
6	124
6	128
6	162
6	166
6	100
6	92
6	128
7	66
7	63
7	46
7	97
7	58
7	125
7	272
7	229
7	180
7	94
7	66
7	67
7	36
7	321
7	183
7	140
7	284
7	213
7	289
7	130
7	251
7	213
7	283
7	146
7	135
7	127
7	289
