Plante	Silique	Angle
1	1	158
1	2	102
1	3	115
1	4	135
1	5	110
1	6	130
1	7	90
1	8	85
1	9	128
1	10	247
1	11	223
1	12	227
1	13	255
1	14	228
1	15	237
1	16	127
1	17	255
1	18	208
1	19	250
1	20	112
1	21	103
1	22	120
1	23	109
1	24	92
1	25	107
1	26	131
1	27	88
1	28	115
1	29	125
1	30	90
1	31	120
1	32	93
1	33	95
1	34	116
1	35	99
1	36	85
1	37	110
1	38	102
1	39	115
2	1	140
2	2	160
2	3	143
2	4	140
2	5	155
2	6	137
2	7	127
2	8	191
2	9	112
2	10	143
2	11	137
2	12	155
2	13	125
2	14	148
2	15	138
2	16	142
2	17	142
2	18	200
2	19	290
2	20	298
2	21	227
2	22	72
2	23	125
2	24	145
2	25	133
2	26	145
2	27	135
2	28	150
2	29	118
2	30	152
2	31	132
2	32	135
2	33	143
2	34	133
2	35	162
2	36	123
2	37	132
2	38	145
2	39	134
3	1	122
3	2	95
3	3	138
3	4	120
3	5	111
3	6	117
3	7	127
3	8	120
3	9	120
3	10	115
3	11	125
3	12	100
3	13	102
3	14	143
3	15	105
3	16	110
3	17	143
3	18	114
3	19	115
3	20	108
3	21	105
3	22	150
3	23	100
3	24	130
3	25	110
3	26	100
3	27	115
3	28	117
3	29	125
3	30	90
3	31	128
3	32	125
3	33	78
3	34	132
3	35	110
3	36	90
3	37	140
3	38	100
3	39	81
4	1	130
4	2	170
4	3	210
4	4	145
4	5	155
4	6	138
4	7	152
4	8	140
4	9	153
4	10	144
4	11	138
4	12	130
4	13	160
4	14	125
4	15	140
4	16	273
4	17	237
4	18	275
4	19	135
4	20	140
4	21	130
4	22	145
4	23	130
4	24	123
4	25	157
4	26	123
4	27	137
4	28	145
4	29	150
4	30	155
4	31	115
4	32	125
4	33	140
4	34	125
4	35	270
4	36	140
4	37	89
4	38	106
4	39	95
5	1	185
5	2	120
5	3	150
5	4	150
5	5	175
5	6	147
5	7	283
5	8	212
5	9	295
5	10	148
5	11	127
5	12	121
5	13	152
5	14	120
5	15	130
5	16	150
5	17	120
5	18	145
5	19	145
5	20	260
5	21	220
5	22	285
5	23	145
5	24	125
5	25	148
5	26	129
5	27	121
5	28	142
5	29	140
5	30	130
5	31	130
5	32	155
5	33	140
5	34	120
5	35	125
5	36	150
5	37	120
5	38	280
5	39	225
6	1	150
6	2	165
6	3	180
6	4	175
6	5	185
6	6	138
6	7	142
6	8	160
6	9	168
6	10	184
6	11	138
6	12	148
6	13	133
6	14	129
6	15	193
6	16	136
6	17	128
6	18	150
6	19	125
6	20	126
6	21	147
6	22	117
6	23	136
6	24	144
6	25	128
6	26	150
6	27	155
6	28	130
6	29	135
6	30	130
6	31	270
6	32	235
6	33	280
6	34	165
6	35	128
7	1	138
7	2	165
7	3	145
7	4	180
7	5	160
7	6	140
7	7	145
7	8	170
7	9	107
7	10	193
7	11	143
7	12	132
7	13	140
7	14	135
7	15	155
7	16	130
7	17	285
7	18	200
7	19	277
7	20	163
7	21	133
7	22	132
7	23	150
7	24	135
7	25	139
7	26	141
7	27	128
7	28	142
7	29	130
7	30	132
7	31	155
7	32	128
7	33	149
7	34	109
7	35	142
7	36	140
7	37	142
7	38	138
7	39	117
8	1	135
8	2	190
8	3	124
8	4	154
8	5	168
8	6	134
8	7	135
8	8	323
8	9	222
8	10	270
8	11	135
8	12	138
8	13	142
8	14	135
8	15	140
8	16	133
8	17	149
8	18	138
8	19	138
8	20	145
8	21	135
8	22	130
8	23	140
8	24	150
8	25	117
8	26	133
8	27	135
8	28	142
8	29	130
8	30	140
8	31	275
8	32	235
8	33	272
8	34	128
8	35	145
8	36	130
8	37	135
8	38	130
8	39	125
9	1	120
9	2	95
9	3	130
9	4	100
9	5	100
9	6	120
9	7	120
9	8	88
9	9	125
9	10	55
9	11	107
9	12	105
9	13	115
9	14	85
9	15	108
9	16	117
9	17	105
9	18	101
9	19	109
9	20	95
9	21	115
9	22	100
9	23	117
9	24	90
9	25	119
9	26	129
9	27	70
9	28	120
9	29	75
9	30	105
9	31	114
9	32	96
9	33	150
9	34	50
9	35	150
9	36	95
9	37	105
9	38	115
9	39	120
10	1	115
10	2	98
10	3	97
10	4	128
10	5	105
10	6	115
10	7	85
10	8	105
10	9	120
10	10	100
10	11	125
10	12	125
10	13	85
10	14	107
10	15	123
10	16	225
10	17	212
10	18	238
10	19	85
10	20	145
10	21	107
10	22	118
10	23	120
10	24	95
10	25	105
10	26	110
10	27	126
10	28	101
10	29	103
10	30	130
10	31	80
10	32	137
10	33	93
10	34	90
10	35	115
10	36	126
10	37	99
10	38	120
10	39	107
11	1	206
11	2	149
11	3	160
11	4	150
11	5	150
11	6	133
11	7	167
11	8	138
11	9	127
11	10	160
11	11	155
11	12	135
11	13	143
11	14	142
11	15	135
11	16	150
11	17	140
11	18	148
11	19	127
11	20	157
11	21	148
11	22	130
11	23	140
11	24	145
11	25	140
11	26	145
11	27	140
11	28	137
11	29	126
11	30	132
11	31	150
11	32	147
11	33	120
11	34	153
11	35	130
11	36	135
11	37	138
11	38	155
11	39	142
12	1	175
12	2	170
12	3	135
12	4	143
12	5	172
12	6	147
12	7	158
12	8	145
12	9	140
12	10	153
12	11	141
12	12	121
12	13	152
12	14	141
12	15	127
12	16	148
12	17	277
12	18	226
12	19	273
12	20	141
12	21	290
12	22	215
12	23	280
12	24	145
12	25	130
12	26	138
12	27	127
12	28	140
12	29	170
12	30	118
12	31	147
12	32	122
12	33	148
12	34	285
12	35	215
12	36	298
12	37	292
12	38	225
12	39	265
13	1	135
13	2	182
13	3	160
13	4	133
13	5	120
13	6	125
13	7	142
13	8	150
13	9	129
13	10	131
13	11	140
13	12	142
13	13	105
13	14	137
13	15	131
13	16	143
13	17	137
13	18	136
13	19	139
13	20	265
13	21	243
13	22	255
13	23	144
13	24	130
13	25	143
13	26	150
13	27	155
13	28	133
13	29	129
13	30	143
13	31	133
13	32	150
13	33	132
13	34	135
13	35	147
13	36	278
13	37	225
13	38	50
13	39	220
14	1	138
14	2	126
14	3	94
14	4	127
14	5	96
14	6	137
14	7	107
14	8	103
14	9	128
14	10	107
14	11	132
14	12	91
14	13	129
14	14	118
14	15	107
14	16	143
14	17	102
14	18	100
14	19	110
14	20	108
14	21	142
14	22	96
14	23	115
14	24	124
14	25	96
14	26	115
14	27	90
14	28	109
14	29	111
14	30	105
14	31	127
14	32	102
14	33	106
14	34	105
14	35	113
14	36	126
14	37	88
14	38	105
14	39	145
15	1	133
15	2	175
15	3	170
15	4	175
15	5	142
15	6	151
15	7	142
15	8	155
15	9	157
15	10	133
15	11	168
15	12	142
15	13	138
15	14	130
15	15	132
15	16	137
15	17	131
15	18	132
15	19	285
15	20	225
15	21	275
15	22	150
15	23	140
15	24	140
15	25	159
15	26	134
15	27	139
15	28	138
15	29	130
15	30	138
15	31	137
15	32	160
15	33	125
15	34	145
15	35	280
15	36	210
15	37	35
15	38	227
15	39	268
16	1	115
16	2	92
16	3	143
16	4	135
16	5	100
16	6	130
16	7	107
16	8	106
16	9	112
16	10	90
16	11	100
16	12	125
16	13	120
16	14	100
16	15	103
16	16	109
16	17	126
16	18	88
16	19	104
16	20	130
16	21	90
16	22	127
16	23	101
16	24	119
16	25	128
16	26	77
16	27	115
16	28	103
16	29	122
16	30	103
16	31	105
16	32	125
16	33	113
16	34	120
16	35	107
16	36	100
16	37	137
16	38	96
16	39	107
17	1	120
17	2	85
17	3	100
17	4	118
17	5	95
17	6	93
17	7	104
17	8	121
17	9	104
17	10	95
17	11	127
17	12	102
17	13	121
17	14	80
17	15	135
17	16	100
17	17	120
17	18	115
17	19	113
17	20	97
17	21	110
17	22	120
17	23	95
17	24	100
17	25	132
17	26	88
17	27	120
17	28	85
17	29	150
17	30	112
17	31	128
17	32	90
17	33	110
17	34	110
17	35	110
17	36	115
17	37	90
17	38	97
17	39	128
18	1	87
18	2	140
18	3	125
18	4	100
18	5	125
18	6	87
18	7	133
18	8	75
18	9	132
18	10	93
18	11	112
18	12	98
18	13	125
18	14	100
18	15	117
18	16	106
18	17	93
18	18	97
18	19	132
18	20	85
18	21	100
18	22	140
18	23	90
18	24	100
18	25	120
18	26	77
18	27	116
18	28	117
18	29	250
18	30	193
18	31	252
18	32	115
18	33	75
18	34	140
18	35	105
18	36	240
18	37	230
18	38	263
18	39	217
19	1	130
19	2	120
19	3	105
19	4	125
19	5	82
19	6	101
19	7	117
19	8	120
19	9	90
19	10	103
19	11	99
19	12	118
19	13	109
19	14	102
19	15	109
19	16	130
19	17	102
19	18	96
19	19	102
19	20	99
19	21	101
19	22	115
19	23	135
19	24	110
19	25	98
19	26	112
19	27	140
19	28	90
19	29	80
19	30	120
19	31	100
19	32	135
19	33	105
19	34	135
19	35	95
19	36	110
19	37	110
19	38	95
19	39	142
20	1	103
20	2	125
20	3	106
20	4	121
20	5	113
20	6	107
20	7	123
20	8	90
20	9	106
20	10	114
20	11	92
20	12	120
20	13	110
20	14	111
20	15	127
20	16	93
20	17	110
20	18	137
20	19	107
20	20	108
20	21	90
20	22	125
20	23	112
20	24	98
20	25	100
20	26	120
20	27	130
20	28	80
20	29	115
20	30	130
20	31	115
20	32	135
20	33	240
20	34	205
20	35	250
20	36	107
20	37	98
20	38	105
20	39	145
