dataset,source_index,ear,lower_bin,lower_frequency_hz,parallel_phase_rad,octave_increment_rad,theta_deg,ara_x,quadrant
NH2,0,0,2,375.0,0.42258102063199676,-1.6993588991157251,76.03545395555705,0.48264288344123407,+-
NH2,0,0,34,6375.0,-31.749861007346485,-35.27838464254344,48.01340231074972,1.3379135114825755,--
NH2,0,1,13,2437.5,-8.890304939892854,-14.774103064161743,58.96260716584679,1.0311947532606753,--
NH2,0,1,45,8437.5,-45.489053170975076,-45.17167889292103,44.799426587850895,1.4191555768616313,--
NH2,1,0,24,4500.0,-22.49850118302865,-24.91467097436849,47.917262780669326,1.3404060737595245,--
NH2,1,1,5,937.5,-2.433815318178678,-4.5101971461982915,61.647589629849506,0.9497868254823082,--
NH2,1,1,37,6937.5,-37.5785298654322,-44.41574100134983,49.766664027356285,1.2918039443013287,--
NH2,2,0,17,3187.5,-13.876272648755254,-18.222644978529708,52.71126822995396,1.2116638891935367,--
NH2,2,0,49,9187.5,-47.12080004674226,-40.799164348313965,40.887387015693726,1.5119951685072317,--
NH2,2,1,27,5062.5,-24.197481144530677,-27.77632511128695,48.939089749234014,1.3137219562335951,--
NH2,3,0,6,1125.0,-3.2198909012428953,-5.723227845703201,60.6378720359585,0.9806555625990425,--
NH2,3,0,38,7125.0,-37.34473696052995,-51.02148752693409,53.79805998341276,1.181265981393751,--
NH2,3,1,19,3562.5,-16.45810286887164,-20.970727790626384,51.87471093987354,1.2347663006629044,--
NH2,3,1,51,9562.5,-50.33755879223057,-39.43235384770625,38.073674981245546,1.5744368822296162,--
NH2,4,0,29,5437.5,-26.59794641634585,-27.44057895789257,45.89335109635875,1.3919922541188863,--
NH2,4,1,7,1312.5,-3.764523145472366,-6.3511159723735515,59.34333093189317,1.0197849874126965,--
NH2,4,1,39,7312.5,-36.185011685084994,-39.67997721730017,47.637650087821655,1.3476339794834318,--
NH2,5,0,17,3187.5,-14.469932843717672,-19.209825650899482,53.010862365173956,1.2033272075874943,--
NH2,5,0,49,9187.5,-52.928597875811796,-49.5634450572555,43.11946558205658,1.459860200162684,--
NH2,5,1,28,5250.0,-26.913044226998533,-36.30388923547592,53.449470630319745,1.1910629596452744,--
NH2,6,0,6,1125.0,-3.1539699411620616,-5.3514655571777805,59.48636351133436,1.015486835449885,--
NH2,6,0,38,7125.0,-36.589537791186885,-44.766701245336506,50.73955658111839,1.2656929363642337,--
NH2,6,1,15,2812.5,-11.530855574247637,-16.451357875506112,54.97315541163344,1.1479203355683236,--
NH2,6,1,47,8812.5,-45.54600021272612,-41.06176384000771,42.03607869620997,1.4854466639132624,--
NH2,7,0,25,4687.5,-23.512565368029584,-30.67765293375617,52.53201830253728,1.2166359769127246,--
NH2,7,1,4,750.0,-1.9442371429170036,-3.294798182158388,59.45544529552028,1.0164164698520874,--
NH2,7,1,36,6750.0,-35.57837007329324,-46.56173960156417,52.616131474736406,1.214304300648244,--
NH2,8,0,15,2812.5,-11.302350122706443,-16.63298766024258,55.80333824444311,1.1240703768151064,--
NH2,8,0,47,8812.5,-49.836276753304894,-42.068339205868845,40.16874420932053,1.52829604552044,--
NH2,8,1,24,4500.0,-20.644577861759334,-25.016060240758545,50.46874576358372,1.27299807719826,--
NH2,8,1,56,10500.0,-54.04708030249759,-39.37503320442272,36.07453973188444,1.6165032453087624,--
NH2,9,0,33,6187.5,-38.1911714329107,-43.06359923044412,48.43162199372785,1.3270267917555498,--
