analysis,direction_index,azimuth_deg,elevation_deg,ear,rho_bins,median_rho,rho_log_loss_phi,rho_log_loss_two,eta_bins,median_eta,eta_log_loss_one,eta_log_loss_phi,eta_log_loss_two
complete_timing,0,0.0,0.0,0,340,0.1171321284057176,2.6256700688544687,2.837605424354811,341,12.008679808838071,2.4856297057232153,2.004417880663612,1.79248252516327
complete_timing,0,0.0,0.0,1,330,0.12420651344991537,2.5670215282084143,2.778956883708756,334,13.473516926340569,2.600725042636654,2.1195132175770506,1.9075778620767085
complete_timing,1,1.0,0.0,0,341,0.11747503947499414,2.622741223024025,2.834676578524367,342,13.145234189751417,2.576059238392763,2.09484741333316,1.8829120578328178
complete_timing,1,1.0,0.0,1,348,1.478702555004917,0.2907934323888085,0.32907299525888273,348,0.5543526211453542,0.589954325003823,1.0711661500634264,1.2831015055637682
complete_timing,2,2.0,0.0,0,348,1.4721988082384438,0.31819503419028156,0.3369318890263209,348,0.5419872105046009,0.6125201155064777,1.0937319405660813,1.305667296066423
complete_timing,2,2.0,0.0,1,348,1.4782263230429464,0.2879592048318003,0.33104048948288634,348,0.5549455071826456,0.5888854204301089,1.0700972454897124,1.2820326009900542
complete_timing,3,3.0,0.0,0,340,0.11264960522095309,2.6646850479350395,2.876620403435382,341,12.52746612574264,2.52792352385628,2.0467116987966767,1.8347763432963347
complete_timing,3,3.0,0.0,1,337,0.12418780403434364,2.567172135544731,2.779107491045073,341,10.926371375201231,2.3911792594380916,1.9099674343784883,1.6980320788781462
complete_timing,4,4.0,0.0,0,339,0.11105801172115344,2.678914411133417,2.890849766633759,340,12.608777286835622,2.5343917635878377,2.0531799385282348,1.8412445830278925
complete_timing,4,4.0,0.0,1,338,0.12106522746822428,2.592638550354231,2.804573905854573,342,11.057459111929607,2.4031039867215434,1.9218921616619402,1.7099568061615982
complete_timing,5,5.0,0.0,0,346,2.9892934197924657,0.6138086467197104,0.40187329121936854,348,0.4632506210958647,0.7694936820712355,1.2507055071308388,1.4626408626311809
complete_timing,5,5.0,0.0,1,348,0.7711996566679309,0.7410222160438087,0.9529575715441505,348,0.4500510353289684,0.7983945982890281,1.2796064233486315,1.4915417788489735
complete_timing,6,6.0,0.0,0,333,0.11476145475979342,2.6461114364683738,2.858046791968716,335,12.1796921024364,2.4997699830161246,2.0185581579565213,1.8066228024561792
complete_timing,6,6.0,0.0,1,348,1.4759239161201705,0.27066932539437044,0.33388250977358097,348,0.4879863687078578,0.717472199170506,1.1986840242301096,1.4106193797304512
complete_timing,7,7.0,0.0,0,348,1.4517562813979934,0.3316062964269824,0.3203776709602558,348,0.510223496751741,0.6729127044201979,1.1541245294798013,1.3660598849801433
complete_timing,7,7.0,0.0,1,348,1.4747408872858219,0.266475914448404,0.3339280087427959,348,0.489521392438425,0.7143276675873077,1.1955394926469112,1.407474848147253
complete_timing,8,8.0,0.0,0,329,0.11750869978788678,2.6224547324504353,2.8343900879507773,332,13.095008535904785,2.5722293916999193,2.091017566640316,1.8790822111399739
complete_timing,8,8.0,0.0,1,341,0.12675131805088966,2.5467400628009282,2.7586754183012703,344,12.487905468577225,2.5247593598048903,2.0435475347452874,1.8316121792449451
complete_timing,9,9.0,0.0,0,321,0.1227167963232808,2.579087872343075,2.791023227843417,324,13.06157315210809,2.56967370774725,2.088461882687646,1.8765265271873044
complete_timing,9,9.0,0.0,1,341,0.12971745167747728,2.52360846758839,2.735543823088732,344,12.377855219634512,2.5159061242099527,2.03469429915035,1.8227589436500076
complete_timing,10,10.0,0.0,0,324,0.12463334065393583,2.563591380009183,2.7755267355095254,326,12.999999995489848,2.564948064156618,2.083736239097014,1.8718008835966724
complete_timing,10,10.0,0.0,1,340,0.12969756127453297,2.523762074723738,2.7356974302240795,344,12.366684633038883,2.5150059757769716,2.033794150717368,1.821858795217026
complete_timing,11,11.0,0.0,0,325,0.12330513655311913,2.5743050357519746,2.7862403912523166,326,11.290719071573447,2.4239769476209663,1.9427651225613631,1.730829767061021
complete_timing,11,11.0,0.0,1,339,0.1305114338916201,2.5175062650893123,2.7294416205896543,343,10.440799373161123,2.345721147833742,1.8645093227741385,1.6525739672737965
complete_timing,12,12.0,0.0,0,332,0.12221985882638187,2.5832223157289382,2.79515767122928,333,12.727719728087223,2.543782270686756,2.0625704456271525,1.8506350901268105
complete_timing,12,12.0,0.0,1,339,0.13245354516029745,2.5027351226547045,2.7146704781550466,343,12.122015928017978,2.495023297504305,2.0138114724447016,1.8018761169443596
complete_timing,13,13.0,0.0,0,331,0.12216005370294113,2.583635003519958,2.7955703590203,332,12.679397646608233,2.539978443071844,2.058766618012241,1.8468312625118988
complete_timing,13,13.0,0.0,1,339,0.1354751896817263,2.4801785824670786,2.6921139379674206,343,12.014684892940322,2.486129642705555,2.0049178176459517,1.7929824621456096
complete_timing,14,14.0,0.0,0,327,0.12720054786312346,2.543202146044967,2.7551375015453092,328,11.02011500785829,2.399669076970464,1.918457251910861,1.7065218964105189
complete_timing,14,14.0,0.0,1,339,0.1377663459935446,2.4634079988487954,2.675343354349137,343,9.991790865970703,2.3017638424571905,1.820552017397587,1.608616661897245
complete_timing,15,15.0,0.0,0,326,0.12820366486776275,2.5353470301603602,2.7472823856607023,327,12.477259145783934,2.523907719092486,2.0426958940328825,1.8307605385325405
complete_timing,15,15.0,0.0,1,339,0.13925507555330252,2.4526597766827867,2.6645951321831283,343,11.902580799642122,2.476755250523241,1.9955434254636377,1.7836080699632957
complete_timing,16,16.0,0.0,0,326,0.12874837314384463,2.5311101057885255,2.743045461288867,327,12.366129564172779,2.5149612485335977,2.0337494234739943,1.8218140679736523
complete_timing,16,16.0,0.0,1,344,2.9987033104527314,0.6169657327622032,0.4050303772618614,348,0.4534296176016584,0.7909168295180927,1.2721286545776962,1.484064010078038
complete_timing,17,17.0,0.0,0,330,0.12304748485224026,2.5766209381361262,2.7885562936364687,331,12.44792605076956,2.5215540267668444,2.040342201707241,1.828406846206899
complete_timing,17,17.0,0.0,1,340,0.14643519642804226,2.402423508140846,2.614358863641188,344,11.780688766365941,2.4664596856609697,1.9852478606013664,1.7733125051010243
complete_timing,18,18.0,0.0,0,331,0.1225463441209708,2.580477826246818,2.7924131817471602,332,12.382194072614533,2.5162590787193007,2.0350472536596973,1.8231118981593553
complete_timing,18,18.0,0.0,1,340,0.14926920851174366,2.3832224242066182,2.5951577797069603,344,11.776948316372275,2.46614382730644,1.9849320022468369,1.7729966467464948
complete_timing,19,19.0,0.0,0,347,2.990212679565887,0.6141326901029468,0.402197334602605,348,1.4226403633145872,0.35251454674999927,0.13407522130556843,0.340632633809946
complete_timing,19,19.0,0.0,1,344,3.0335473075354766,0.6285188994977382,0.4165835439973964,348,1.410618887170592,0.34402850210778824,0.13718332295181523,0.34911867845215705
