model,domain,snr_db,method,replicate,scored_samples,declared_stream,sign_accuracy,correlation,nrmse,integrated_error,declared_child_occupancy,switch_count
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,0,5761,oscillator 2,0.9114249037227214,0.3581196228259157,0.22894218541826916,0.05876184610442994,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,1,5761,oscillator 2,0.9152759948652118,0.35003855654911314,0.23192856533231496,0.0668348953709508,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,2,5761,oscillator 2,0.9370988446726572,0.32521498115055025,0.23098681348726832,5.0148397982069306e-05,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,3,5761,oscillator 2,0.9287548138639281,0.3497428054792038,0.23160448324301414,0.057319560867251956,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,4,5761,oscillator 2,0.9428754813863928,0.36106996812239694,0.22753467526332558,0.05117224574215898,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,5,5761,oscillator 2,0.9602053915275995,0.36338514571415603,0.22979390394845137,0.06975481790808495,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,6,5761,oscillator 2,0.9229781771501926,0.29369922792872977,0.23657398805514376,0.0240026382969308,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,7,5761,oscillator 2,0.938382541720154,0.3496242124684222,0.23162014344909215,0.05746393015839983,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,8,5761,oscillator 2,0.9290757381258024,0.3479990039052621,0.23018389691753424,0.0505352263515466,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,9,5761,oscillator 2,0.9576379974326059,0.3359505134473867,0.2300641427001439,0.018921319564011843,1.0,0
