model,time,native,fixed_time_lineage,repeated_parent_reselection,fixed_child_no_memory,selected_child
Damped coupled oscillators,1.2,-8.247688074831374e-08,-0.1882789453480221,0.3067756427400287,-0.1882789453480221,coupling spring
Damped coupled oscillators,1.36,-0.006920381190388141,-0.1728270529979545,0.2975781875280802,-0.06798153653247632,coupling spring
Damped coupled oscillators,1.52,-0.027859828644231373,-0.14347655735718748,0.27662693913909836,-0.1132856883715409,coupling spring
Damped coupled oscillators,1.68,-0.060930521781868065,-0.11157062309733169,0.23437798196794635,0.12962036076997818,coupling spring
Damped coupled oscillators,1.84,-0.1014046746659256,-0.06764288927975018,0.1808373576515894,0.16481319374690062,coupling spring
Damped coupled oscillators,2.0,-0.14254059112162598,-0.04898554096234597,0.10910604588669431,-0.08190019786960157,coupling spring
Damped coupled oscillators,2.16,-0.17691664940042895,-0.06769814558266239,0.042533254318525573,-0.15398319160979435,coupling spring
Damped coupled oscillators,2.32,-0.1979879870664652,-0.07604079073129938,-0.0044832214484655155,-0.13852971139821307,coupling spring
Damped coupled oscillators,2.48,-0.2015181099762586,-0.08871386715172161,-0.03539062396887515,-0.2331110358705507,coupling spring
Damped coupled oscillators,2.64,-0.18655660915450487,-0.11201351187161451,-0.03688137648531793,-0.2571141426853397,coupling spring
Damped coupled oscillators,2.8000000000000003,-0.1557313190786621,-0.14033246187935294,-0.14033246187935294,-0.3672066190014399,oscillator 2
Damped coupled oscillators,2.96,-0.1147762887478162,-0.16355447526584085,-0.16355447526584085,-0.2968845330090032,oscillator 2
Damped coupled oscillators,3.12,-0.0713899061077289,-0.18117076959118844,-0.18117076959118844,-0.2417263620580289,oscillator 2
Damped coupled oscillators,3.2800000000000002,-0.0336695793425857,-0.17499137030288878,-0.17499137030288878,-0.06795568939509306,oscillator 2
Damped coupled oscillators,3.44,-0.008464754204377888,-0.16717597391167996,0.09641242544148725,-0.21546007007467335,coupling spring
Damped coupled oscillators,3.6,-6.641617693843862e-06,-0.16366732064488718,-0.16366732064488718,-0.13056193005135014,oscillator 2
Damped coupled oscillators,3.7600000000000002,-0.009107646938072802,-0.1242925997994352,-0.1242925997994352,0.3221984804487303,oscillator 2
Damped coupled oscillators,3.92,-0.03309237585728124,-0.049291532594176034,-0.049291532594176034,0.3311882108398403,oscillator 2
Damped coupled oscillators,4.08,-0.06645674486791067,-0.006147840702735964,-0.006147840702735964,0.1924404995583352,oscillator 2
Damped coupled oscillators,4.24,-0.1020910990548867,0.005870935057142242,0.005870935057142242,0.06407682374320633,oscillator 2
Damped coupled oscillators,4.4,-0.13278428353730648,-0.01179475285508198,-0.01179475285508198,-0.3161797655934835,oscillator 2
Damped coupled oscillators,4.5600000000000005,-0.15267450946542271,-0.050413750499418146,-0.050413750499418146,-0.20005692903428357,oscillator 2
