center_group,center_mod5,black_child_m_mod5,offset_mod30,predicted_factor5_collision,center_count,offset_count_per_center,observation_count,parent_progress_mean,parent_progress_median,prime_rate,survivor_rate,divisible_by_5_rate
prime,1,0,0,0,11355,10,113550,0.475975477614343,0.3482751262934533,0.15908410391897843,0.19126376045794805,0.0
prime,1,1,6,0,11355,10,113550,0.4916239275627335,0.3688481245088739,0.16650814619110524,0.20027300748568913,0.0
prime,1,2,12,0,11355,10,113550,0.49019359699676274,0.36884731398587844,0.1678996036988111,0.20145310435931307,0.0
prime,1,3,18,0,11355,10,113550,0.4895295462496604,0.36884627714990637,0.1658476442095993,0.20022016732716866,0.0
prime,1,4,24,1,11355,10,113550,0.14558668512788417,0.14558668958173493,0.0,0.0,1.0
prime,2,0,0,0,11200,10,112000,0.47574744511681294,0.3482756771723236,0.15817857142857142,0.1903392857142857,0.0
prime,2,1,6,0,11200,10,112000,0.4923310634056529,0.36884824655855764,0.16858928571428572,0.20201785714285714,0.0
prime,2,2,12,0,11200,10,112000,0.4910003148869491,0.36884697345107964,0.1689375,0.20275,0.0
prime,2,3,18,1,11200,10,112000,0.14558668382961373,0.14558668447096407,0.0,0.0,1.0
prime,2,4,24,0,11200,10,112000,0.4927561007472771,0.36884827805540854,0.16880357142857144,0.202875,0.0
prime,3,0,0,0,11278,10,112780,0.4762999837444431,0.3482755035978766,0.1595761659868771,0.19212626352190104,0.0
prime,3,1,6,0,11278,10,112780,0.4924362285573975,0.36884783710539937,0.16844298634509663,0.20220783826919667,0.0
prime,3,2,12,1,11278,10,112780,0.1455866888215524,0.14558669205070796,0.0,0.0,1.0
prime,3,3,18,0,11278,10,112780,0.4908536319338391,0.3688468841357655,0.16904593012945557,0.20234084057456997,0.0
prime,3,4,24,0,11278,10,112780,0.49260914265116545,0.3718601985272514,0.1674233020039014,0.20169356268841993,0.0
prime,4,0,0,0,11323,10,113230,0.47646154773200056,0.3482755196969116,0.1597279872825223,0.19148635520621743,0.0
prime,4,1,6,1,11323,10,113230,0.14558668473092504,0.14558668136829206,0.0,0.0,1.0
prime,4,2,12,0,11323,10,113230,0.4891426203460151,0.36884633423064744,0.16631634725779387,0.1998410315287468,0.0
prime,4,3,18,0,11323,10,113230,0.4900209985914496,0.3688469139074788,0.1671023580323236,0.20019429479819836,0.0
prime,4,4,24,0,11323,10,113230,0.4916594729547716,0.3688477396650361,0.16776472666254527,0.20124525302481674,0.0
matched_coprime_composite,1,0,0,0,8690,10,86900,0.4979959343322298,0.3803466823816815,0.17301495972382047,0.20735327963176065,0.0
matched_coprime_composite,1,1,6,0,8690,10,86900,0.4923426240837954,0.3718610422053367,0.1682968929804373,0.2015765247410817,0.0
matched_coprime_composite,1,2,12,0,8690,10,86900,0.4931262104373237,0.37186148303907884,0.16928653624856158,0.20327963176064442,0.0
matched_coprime_composite,1,3,18,0,8690,10,86900,0.49396047474110966,0.37186075063112534,0.17055235903337168,0.20581127733026466,0.0
matched_coprime_composite,1,4,24,1,8690,10,86900,0.14558669231475846,0.1455866936308512,0.0,0.0,1.0
matched_coprime_composite,2,0,0,0,8675,10,86750,0.49704843699088197,0.38034675353710334,0.1705936599423631,0.20571757925072046,0.0
matched_coprime_composite,2,1,6,0,8675,10,86750,0.4936036405986793,0.37186116504255723,0.1693256484149856,0.2039077809798271,0.0
matched_coprime_composite,2,2,12,0,8675,10,86750,0.4937966037181111,0.371860239043259,0.17102017291066282,0.20552161383285303,0.0
matched_coprime_composite,2,3,18,1,8675,10,86750,0.14558668543205344,0.14558668247109835,0.0,0.0,1.0
matched_coprime_composite,2,4,24,0,8675,10,86750,0.4939611200456511,0.37186037572146363,0.17119308357348703,0.20547550432276657,0.0
matched_coprime_composite,3,0,0,0,8658,10,86580,0.49821594531334495,0.3803473389250653,0.17335412335412334,0.20765765765765765,0.0
matched_coprime_composite,3,1,6,0,8658,10,86580,0.4934619194921036,0.3718613199368179,0.16872256872256872,0.20326865326865326,0.0
matched_coprime_composite,3,2,12,1,8658,10,86580,0.14558668722972382,0.14558668541740277,0.0,0.0,1.0
matched_coprime_composite,3,3,18,0,8658,10,86580,0.4937306713419034,0.3718611117018475,0.1696119196119196,0.20375375375375376,0.0
matched_coprime_composite,3,4,24,0,8658,10,86580,0.49216433681373595,0.37186035751472857,0.16802956802956803,0.2014091014091014,0.0
matched_coprime_composite,4,0,0,0,8698,10,86980,0.49750774375113704,0.37186377434652534,0.17217751207174062,0.20769142331570475,0.0
matched_coprime_composite,4,1,6,1,8698,10,86980,0.14558668420866575,0.1455866857136793,0.0,0.0,1.0
matched_coprime_composite,4,2,12,0,8698,10,86980,0.4936840375949295,0.3718605321464114,0.1707174063002989,0.20475971487698322,0.0
matched_coprime_composite,4,3,18,0,8698,10,86980,0.49321893790635807,0.37186094219245247,0.16747528167394804,0.20277075189698782,0.0
matched_coprime_composite,4,4,24,0,8698,10,86980,0.49296413373000164,0.37186046496041963,0.16841802713267418,0.20333409979305586,0.0
