center_prime,center_mod6,offset,n,offset_mod6,offset_mod30,least_prime_factor,is_prime,parent_progress,divisible_by_3,divisible_by_5
4000000231,1,-18,4000000213,0,12,11,0,0.2169102637539443,0,0
4000000231,1,-17,4000000214,1,13,2,0,0.06270112771789216,0,0
4000000231,1,-16,4000000215,2,14,3,0,0.09937893618466326,1,1
4000000231,1,-15,4000000216,3,15,2,0,0.06270112771647421,0,0
4000000231,1,-14,4000000217,4,16,211,0,0.48412162633722045,0,0
4000000231,1,-13,4000000218,5,17,2,0,0.06270112771505623,1,0
4000000231,1,-12,4000000219,0,18,23,0,0.28363243593049325,0,0
4000000231,1,-11,4000000220,1,19,2,0,0.06270112771363827,0,1
4000000231,1,-10,4000000221,2,20,3,0,0.09937893617792101,1,0
4000000231,1,-9,4000000222,3,21,2,0,0.0627011277122203,0,0
4000000231,1,-8,4000000223,4,22,43,0,0.3402329193810489,0,0
4000000231,1,-7,4000000224,5,23,2,0,0.06270112771080234,1,0
4000000231,1,-6,4000000225,0,24,5,0,0.14558751001118628,0,1
4000000231,1,-5,4000000226,1,25,2,0,0.06270112770938438,0,0
4000000231,1,-4,4000000227,2,26,3,0,0.09937893617117874,1,0
4000000231,1,-3,4000000228,3,27,2,0,0.06270112770796642,0,0
4000000231,1,-2,4000000229,4,28,0,1,1.0,0,0
4000000231,1,-1,4000000230,5,29,2,0,0.06270112770654845,1,1
4000000231,1,0,4000000231,0,0,0,1,1.0,0,0
4000000231,1,1,4000000232,1,1,2,0,0.06270112770513049,0,0
4000000231,1,2,4000000233,2,2,3,0,0.0993789361644365,1,0
4000000231,1,3,4000000234,3,3,2,0,0.06270112770371251,0,0
4000000231,1,4,4000000235,4,4,5,0,0.14558750999472422,0,1
4000000231,1,5,4000000236,5,5,2,0,0.06270112770229457,1,0
4000000231,1,6,4000000237,0,6,467,0,0.5559883766240904,0,0
4000000231,1,7,4000000238,1,7,2,0,0.06270112770087659,0,0
4000000231,1,8,4000000239,2,8,3,0,0.09937893615769422,1,0
4000000231,1,9,4000000240,3,9,2,0,0.06270112769945864,0,1
4000000231,1,10,4000000241,4,10,0,1,1.0,0,0
4000000231,1,11,4000000242,5,11,2,0,0.06270112769804066,1,0
4000000231,1,12,4000000243,0,12,131,0,0.44100355376874956,0,0
4000000231,1,13,4000000244,1,13,2,0,0.0627011276966227,0,0
4000000231,1,14,4000000245,2,14,3,0,0.09937893615095196,1,1
4000000231,1,15,4000000246,3,15,2,0,0.06270112769520474,0,0
4000000231,1,16,4000000247,4,16,29,0,0.3046008867129275,0,0
4000000231,1,17,4000000248,5,17,2,0,0.06270112769378677,1,0
4000000231,1,18,4000000249,0,18,7,0,0.1760243194477243,0,0
4000000273,1,-18,4000000255,0,12,5,0,0.14558750996180012,0,1
4000000273,1,-17,4000000256,1,13,2,0,0.06270112768811492,0,0
4000000273,1,-16,4000000257,2,14,3,0,0.09937893613746744,1,0
4000000273,1,-15,4000000258,3,15,2,0,0.06270112768669694,0,0
4000000273,1,-14,4000000259,4,16,53,0,0.35914707179674943,0,0
4000000273,1,-13,4000000260,5,17,2,0,0.062701127685279,1,1
4000000273,1,-12,4000000261,0,18,17,0,0.25628852951517284,0,0
4000000273,1,-11,4000000262,1,19,2,0,0.06270112768386102,0,0
4000000273,1,-10,4000000263,2,20,3,0,0.0993789361307252,1,0
4000000273,1,-9,4000000264,3,21,2,0,0.06270112768244306,0,0
4000000273,1,-8,4000000265,4,22,5,0,0.14558750994533806,0,1
4000000273,1,-7,4000000266,5,23,2,0,0.0627011276810251,1,0
4000000273,1,-6,4000000267,0,24,3761,0,0.7446950604052401,0,0
4000000273,1,-5,4000000268,1,25,2,0,0.06270112767960713,0,0
4000000273,1,-4,4000000269,2,26,3,0,0.09937893612398292,1,0
4000000273,1,-3,4000000270,3,27,2,0,0.06270112767818917,0,1
4000000273,1,-2,4000000271,4,28,2137,0,0.6935604474389642,0,0
4000000273,1,-1,4000000272,5,29,2,0,0.0627011276767712,1,0
4000000273,1,0,4000000273,0,0,0,1,1.0,0,0
4000000273,1,1,4000000274,1,1,2,0,0.06270112767535324,0,0
4000000273,1,2,4000000275,2,2,3,0,0.09937893611724068,1,1
4000000273,1,3,4000000276,3,3,2,0,0.06270112767393528,0,0
4000000273,1,4,4000000277,4,4,7,0,0.1760243193919941,0,0
4000000273,1,5,4000000278,5,5,2,0,0.06270112767251732,1,0
4000000273,1,6,4000000279,0,6,11,0,0.21691026359206775,0,0
4000000273,1,7,4000000280,1,7,2,0,0.06270112767109935,0,1
4000000273,1,8,4000000281,2,8,3,0,0.0993789361104984,1,0
4000000273,1,9,4000000282,3,9,2,0,0.06270112766968139,0,0
4000000273,1,10,4000000283,4,10,47,0,0.34827898473769037,0,0
4000000273,1,11,4000000284,5,11,2,0,0.06270112766826341,1,0
4000000273,1,12,4000000285,0,12,5,0,0.14558750991241395,0,1
4000000273,1,13,4000000286,1,13,2,0,0.06270112766684546,0,0
4000000273,1,14,4000000287,2,14,3,0,0.09937893610375614,1,0
4000000273,1,15,4000000288,3,15,2,0,0.06270112766542749,0,0
4000000273,1,16,4000000289,4,16,19,0,0.2663498453308965,0,0
4000000273,1,17,4000000290,5,17,2,0,0.06270112766400954,1,1
4000000273,1,18,4000000291,0,18,7,0,0.176024319364129,0,0
4000000351,1,-18,4000000333,0,12,7,0,0.1760243192805337,0,0
4000000351,1,-17,4000000334,1,13,2,0,0.06270112763281431,0,0
4000000351,1,-16,4000000335,2,14,3,0,0.09937893604981808,1,1
4000000351,1,-15,4000000336,3,15,2,0,0.06270112763139636,0,0
4000000351,1,-14,4000000337,4,16,797,0,0.6043408004033175,0,0
4000000351,1,-13,4000000338,5,17,2,0,0.06270112762997838,1,0
4000000351,1,-12,4000000339,0,18,31,0,0.3106336951580231,0,0
4000000351,1,-11,4000000340,1,19,2,0,0.06270112762856044,0,1
4000000351,1,-10,4000000341,2,20,3,0,0.09937893604307581,1,0
4000000351,1,-9,4000000342,3,21,2,0,0.06270112762714246,0,0
4000000351,1,-8,4000000343,4,22,71,0,0.3855960790103548,0,0
4000000351,1,-7,4000000344,5,23,2,0,0.0627011276257245,1,0
4000000351,1,-6,4000000345,0,24,5,0,0.14558750981364163,0,1
4000000351,1,-5,4000000346,1,25,2,0,0.06270112762430653,0,0
4000000351,1,-4,4000000347,2,26,3,0,0.09937893603633356,1,0
4000000351,1,-3,4000000348,3,27,2,0,0.06270112762288857,0,0
4000000351,1,-2,4000000349,4,28,97,0,0.4138219774132371,0,0
4000000351,1,-1,4000000350,5,29,2,0,0.0627011276214706,1,1
4000000351,1,0,4000000351,0,0,0,1,1.0,0,0
4000000351,1,1,4000000352,1,1,2,0,0.06270112762005264,0,0
4000000351,1,2,4000000353,2,2,3,0,0.09937893602959129,1,0
4000000351,1,3,4000000354,3,3,2,0,0.06270112761863468,0,0
4000000351,1,4,4000000355,4,4,5,0,0.1455875097971796,0,1
4000000351,1,5,4000000356,5,5,2,0,0.06270112761721672,1,0
4000000351,1,6,4000000357,0,6,23,0,0.2836324354879101,0,0
4000000351,1,7,4000000358,1,7,2,0,0.06270112761579875,0,0
4000000351,1,8,4000000359,2,8,3,0,0.09937893602284904,1,0
4000000351,1,9,4000000360,3,9,2,0,0.06270112761438079,0,1
4000000351,1,10,4000000361,4,10,7,0,0.1760243192248035,0,0
4000000351,1,11,4000000362,5,11,2,0,0.06270112761296283,1,0
4000000351,1,12,4000000363,0,12,17,0,0.2562885292195832,0,0
4000000351,1,13,4000000364,1,13,2,0,0.06270112761154485,0,0
4000000351,1,14,4000000365,2,14,3,0,0.09937893601610677,1,1
4000000351,1,15,4000000366,3,15,2,0,0.0627011276101269,0,0
4000000351,1,16,4000000367,4,16,11,0,0.21691026337623237,0,0
4000000351,1,17,4000000368,5,17,2,0,0.06270112760870893,1,0
4000000351,1,18,4000000369,0,18,227,0,0.49073341543182664,0,0
4000000157,5,-18,4000000139,0,12,41,0,0.3359245527816883,0,0
4000000157,5,-17,4000000140,1,13,2,0,0.06270112777035683,1,1
4000000157,5,-16,4000000141,2,14,109,0,0.4243727901163658,0,0
4000000157,5,-15,4000000142,3,15,2,0,0.06270112776893887,0,0
4000000157,5,-14,4000000143,4,16,3,0,0.09937893626557039,1,0
4000000157,5,-13,4000000144,5,17,2,0,0.0627011277675209,0,0
4000000157,5,-12,4000000145,0,18,5,0,0.1455875101428827,0,1
4000000157,5,-11,4000000146,1,19,2,0,0.06270112776610294,1,0
4000000157,5,-10,4000000147,2,20,11,0,0.21691026391582083,0,0
4000000157,5,-9,4000000148,3,21,2,0,0.06270112776468498,0,0
4000000157,5,-8,4000000149,4,22,3,0,0.09937893625882811,1,0
4000000157,5,-7,4000000150,5,23,2,0,0.06270112776326701,0,1
4000000157,5,-6,4000000151,0,24,7,0,0.17602431964277998,0,0
4000000157,5,-5,4000000152,1,25,2,0,0.06270112776184905,1,0
4000000157,5,-4,4000000153,2,26,31,0,0.3106336958113362,0,0
4000000157,5,-3,4000000154,3,27,2,0,0.06270112776043107,0,0
4000000157,5,-2,4000000155,4,28,3,0,0.09937893625208587,1,1
4000000157,5,-1,4000000156,5,29,2,0,0.06270112775901313,0,0
4000000157,5,0,4000000157,0,0,0,1,1.0,0,0
4000000157,5,1,4000000158,1,1,2,0,0.06270112775759515,1,0
4000000157,5,2,4000000159,2,2,17,0,0.2562885298107625,0,0
4000000157,5,3,4000000160,3,3,2,0,0.0627011277561772,0,1
4000000157,5,4,4000000161,4,4,3,0,0.0993789362453436,1,0
4000000157,5,5,4000000162,5,5,2,0,0.06270112775475924,0,0
4000000157,5,6,4000000163,0,6,0,1,1.0,0,0
4000000157,5,7,4000000164,1,7,2,0,0.06270112775334126,1,0
4000000157,5,8,4000000165,2,8,5,0,0.1455875101099586,0,1
4000000157,5,9,4000000166,3,9,2,0,0.06270112775192331,0,0
4000000157,5,10,4000000167,4,10,3,0,0.09937893623860135,1,0
4000000157,5,11,4000000168,5,11,2,0,0.06270112775050533,0,0
