interval,cutoff,survivors,survivor_fraction,prime_count,prime_purity,remaining_composites
development,0.0,1000000,1.0,70435,0.070435,929565
development,0.05,1000000,1.0,70435,0.070435,929565
development,0.1,524288,0.524288,70435,0.13434410095214844,453853
development,0.15,500000,0.5,70435,0.14087,429565
development,0.2,333334,0.333334,70435,0.2113045773908452,262899
development,0.25,266668,0.266668,70435,0.26412992935035323,196233
development,0.3,228572,0.228572,70435,0.30815235461911344,158137
development,0.35,207793,0.207793,70435,0.33896714518775894,137358
development,0.4,185262,0.185262,70435,0.3801912966501495,114827
development,0.45,164539,0.164539,70435,0.42807480293425876,94104
development,0.5,152327,0.152327,70435,0.46239340366448495,81892
development,0.55,138891,0.138891,70435,0.507124291710766,68456
development,0.6,128432,0.128432,70435,0.5484225115236078,57997
development,0.65,119449,0.119449,70435,0.5896658825105275,49014
development,0.7,112266,0.112266,70435,0.6273938681346088,41831
development,0.75,104958,0.104958,70435,0.6710779549915205,34523
development,0.8,97777,0.097777,70435,0.7203636847111284,27342
development,0.85,90990,0.09099,70435,0.7740960545114848,20555
development,0.9,84117,0.084117,70435,0.837345601959176,13682
development,0.95,77311,0.077311,70435,0.91106052178862,6876
development,1.0,70435,0.070435,70435,1.0,0
evaluation,0.0,1000000,1.0,46903,0.046903,953097
evaluation,0.05,1000000,1.0,46903,0.046903,953097
evaluation,0.1,500000,0.5,46903,0.093806,453097
evaluation,0.15,333333,0.333333,46903,0.1407091407091407,286430
evaluation,0.2,228571,0.228571,46903,0.2052010097518933,181668
evaluation,0.25,191810,0.19181,46903,0.24452843960168918,144907
evaluation,0.3,163589,0.163589,46903,0.28671243176497196,116686
evaluation,0.35,145105,0.145105,46903,0.32323489886633816,98202
evaluation,0.4,127785,0.127785,46903,0.3670462104315843,80882
evaluation,0.45,114786,0.114786,46903,0.40861254856864077,67883
evaluation,0.5,103394,0.103394,46903,0.45363367313383757,56491
evaluation,0.55,94518,0.094518,46903,0.4962335216572505,47615
evaluation,0.6,86837,0.086837,46903,0.5401269044301392,39934
evaluation,0.65,80579,0.080579,46903,0.5820747341118654,33676
evaluation,0.7,75475,0.075475,46903,0.6214375621066578,28572
evaluation,0.75,70565,0.070565,46903,0.6646779564940126,23662
evaluation,0.8,65668,0.065668,46903,0.7142443808247548,18765
evaluation,0.85,60839,0.060839,46903,0.7709364059238317,13936
evaluation,0.9,56152,0.056152,46903,0.8352863655791424,9249
evaluation,0.95,51535,0.051535,46903,0.9101193363733385,4632
evaluation,1.0,46903,0.046903,46903,1.0,0
