base,factors,voice_count,first_missing_prime,harmonic_repeat_count,event_x_old_lock,event_x_echo,last_pure_repeat_x,phi_crossed_before_expansion
5002,2;41;61,3,3,1,1.771508148389585,0.22849185161041527,1.8494915373605385,False
5074,2;43;59,3,3,1,1.7718472296124301,0.22815277038757012,1.8497247084851478,False
5106,2;3;23;37,4,5,3,1.6827946698558478,0.31720533014415225,1.7206309403734277,False
5170,2;5;11;47,4,3,1,1.7722904063943152,0.227709593605685,1.850029415588882,False
5226,2;3;13;67,4,5,3,1.6835191559511284,0.31648084404887133,1.7212833226933923,False
5246,2;43;61,3,3,1,1.772634266835176,0.22736573316482414,1.8502658016982572,False
5254,2;37;71,3,3,1,1.7726701126013846,0.22732988739861562,1.8502904419897255,False
5270,2;5;17;31,4,3,1,1.7727416069137765,0.22725839308622336,1.8503395859880263,False
5278,2;7;13;29,4,3,1,1.7727772559036488,0.2272227440963513,1.8503640900035818,False
5330,2;5;13;41,4,3,1,1.7730073960399237,0.22699260396007648,1.8505222731333386,False
5358,2;3;19;47,4,5,3,1.6842934455364107,0.31570655446358936,1.7219804777961143,False
5394,2;3;29;31,4,5,3,1.6845006612531197,0.31549933874688013,1.7221670377704088,False
5402,2;37;73,3,3,1,1.7733216174027449,0.2266783825972549,1.850738225502305,False
5406,2;3;17;53,4,5,3,1.684569365845009,0.31543063415499084,1.7222288925198892,False
5434,2;11;13;19,4,3,1,1.7734596537495684,0.22654034625043148,1.8508330843606824,False
5474,2;7;17;23,4,3,1,1.7736308267253913,0.22636917327460837,1.8509507077733336,False
5494,2;41;67,3,3,1,1.7737158484686535,0.22628415153134657,1.8510091285266435,False
5510,2;5;19;29,4,3,1,1.7737835975614038,0.22621640243859642,1.8510556794022297,False
5538,2;3;13;71,4,5,3,1.6853132870801342,0.3146867129198659,1.722898606295089,False
5546,2;47;59,3,3,1,1.7739351694450696,0.22606483055493048,1.8511598211053213,False
5590,2;5;13;43,4,3,1,1.774118820873742,0.2258811791262581,1.8512859958120262,False
5610,2;3;5;11;17,5,7,5,1.632091059227988,0.3679089407720118,1.6562263591355408,False
5642,2;7;13;31,4,3,1,1.7743336295353476,0.22566637046465246,1.8514335652622762,False
5658,2;3;23;41,4,5,3,1.6859714120251952,0.3140285879748049,1.7234910232450187,False
5694,2;3;13;73,4,5,3,1.6861656021209532,0.31383439787904693,1.7236658146074386,False
5698,2;7;11;37,4,3,1,1.7745623091340965,0.22543769086590368,1.8515906503666886,False
5734,2;47;61,3,3,1,1.7747078918356618,0.2252921081643383,1.851690647157224,False
5762,2;43;67,3,3,1,1.7748203634102564,0.22517963658974377,1.8517678969786098,False
5822,2;41;71,3,3,1,1.7750591717759554,0.22494082822404463,1.851931908694597,False
5830,2;5;11;53,4,3,1,1.775090788775941,0.22490921122405907,1.851953621872135,False
5890,2;5;19;31,4,3,1,1.7753262625435493,0.22467373745645086,1.8521153266772128,False
5934,2;3;23;43,4,5,3,1.687423803387283,0.31257619661271707,1.7247982105691215,False
5986,2;41;73,3,3,1,1.7756970741334646,0.22430292586653527,1.8523699411007162,False
6006,2;3;7;11;13,5,5,3,1.6877894509490086,0.31221054905099127,1.7251272598169811,False
6018,2;3;17;59,4,5,3,1.6878498832693858,0.3121501167306139,1.725181641717207,False
6042,2;3;19;53,4,5,3,1.6879703174301652,0.312029682569835,1.725290016747986,False
6090,2;3;5;7;29,5,11,9,1.5684249763466598,0.4315750236533403,1.5819937358251193,True
6106,2;43;71,3,3,1,1.7761506434857564,0.22384935651424367,1.8526813309732129,False
6110,2;5;13;47,4,3,1,1.7761655772488176,0.22383442275118223,1.8526915825547938,False
6118,2;7;19;23,4,3,1,1.7761954095003776,0.2238045904996225,1.8527120613265606,False
6222,2;3;17;61,4,5,3,1.6888557490227627,0.311144250977237,1.7260867328687775,False
6254,2;53;59,3,3,1,1.7766954883950905,0.2233045116049096,1.8530553125575413,False
6270,2;3;5;11;19,5,7,5,1.6359192203641844,0.36408077963581553,1.6598557264843883,False
6278,2;43;73,3,3,1,1.7767823790171955,0.22321762098280426,1.8531149470351234,False
6290,2;5;17;37,4,3,1,1.7768256745869637,0.2231743254130363,1.8531446607594626,False
6298,2;47;67,3,3,1,1.7768544831273843,0.2231455168726156,1.853164431769621,False
6314,2;7;11;41,4,3,1,1.7769119683527959,0.22308803164720392,1.8532038826436799,False
6438,2;3;29;37,4,5,3,1.6898787622609464,0.3101212377390535,1.7270071212365044,False
6466,2;53;61,3,3,1,1.7774494871199171,0.2225505128800831,1.8535727279767595,False
6478,2;41;79,3,3,1,1.7774912743957139,0.2225087256042862,1.8536013992053015,False
6486,2;3;23;47,4,5,3,1.6901005432832052,0.3098994567167948,1.7272066364178396,False
6490,2;5;11;59,4,3,1,1.7775329686894243,0.22246703131057588,1.8536300061770843,False
6510,2;3;5;7;31,5,11,9,1.5709996571994147,0.42900034280058535,1.5845089124396547,True
6578,2;11;13;23,4,3,1,1.7778359216195971,0.22216407838040308,1.853837852153144,False
6622,2;7;11;43,4,3,1,1.7779855765159622,0.22201442348403796,1.853940516481355,False
6630,2;3;5;13;17,5,7,5,1.6378108494251378,0.3621891505748622,1.661648712326982,False
6670,2;5;23;29,4,3,1,1.7781474791438023,0.22185252085619778,1.8540515761827152,False
6674,2;47;71,3,3,1,1.7781609077817768,0.22183909221822332,1.8540607874613093,False
6710,2;5;11;61,4,3,1,1.7782813319091695,0.22171866809083057,1.854143389406555,False
6726,2;3;19;59,4,5,3,1.6911808355909643,0.3088191644090357,1.728178382479785,False
6734,2;7;13;37,4,3,1,1.7783611840987206,0.2216388159012793,1.8541981599260786,False
6794,2;43;79,3,3,1,1.7785593273405753,0.2214406726594248,1.8543340588652384,False
6834,2;3;17;67,4,5,3,1.6916520779175706,0.3083479220824292,1.7286022284539755,False
6862,2;47;73,3,3,1,1.778781363468368,0.22121863653163215,1.8544863327187382,False
6882,2;3;31;37,4,5,3,1.691858678847869,0.3081413211521313,1.7287880410667242,False
6890,2;5;13;53,4,3,1,1.7788720230517878,0.22112797694821193,1.8545485039238165,False
6902,2;7;17;29,4,3,1,1.7789107417716368,0.2210892582283633,1.8545750552211588,False
6954,2;3;19;61,4,5,3,1.6921653825602592,0.3078346174397409,1.7290638740260589,False
6970,2;5;17;41,4,3,1,1.779128631081888,0.220871368918112,1.854724465075018,False
7030,2;5;19;37,4,3,1,1.7793187766584802,0.22068122334151988,1.8548548404147411,False
7102,2;53;67,3,3,1,1.7795443951547687,0.2204556048452312,1.855009525767447,False
7106,2;11;17;19,4,3,1,1.7795568489108935,0.22044315108910623,1.8550180637440272,False
7130,2;5;23;31,4,3,1,1.779631395118391,0.22036860488160895,1.855069169861404,False
7134,2;3;29;41,4,5,3,1.692915876843882,0.3070841231561179,1.7297387780109228,False
7138,2;43;83,3,3,1,1.7796561769317525,0.2203438230682476,1.8550861590296888,False
7198,2;59;61,3,3,1,1.7798409840508673,0.22015901594913279,1.8552128484137647,False
7238,2;7;11;47,4,3,1,1.7799631644790201,0.22003683552097955,1.8552966008647938,False
7242,2;3;17;71,4,5,3,1.6933554308827286,0.30664456911727117,1.7301340265473049,False
7310,2;5;17;43,4,3,1,1.7801810602476549,0.21981893975234534,1.8554459546630562,False
7314,2;3;23;53,4,5,3,1.6936441537712184,0.3063558462287817,1.7303936337914554,False
7370,2;5;11;67,4,3,1,1.7803606817631863,0.21963931823681385,1.8555690644632157,False
7378,2;7;17;31,4,3,1,1.780384498679251,0.21961550132074908,1.8555853875692963,False
7410,2;3;5;13;19,5,7,5,1.64152150512795,0.35847849487205,1.6651650759092076,False
7426,2;47;79,3,3,1,1.7805267524579098,0.2194732475420903,1.8556828791735382,False
7446,2;3;17;73,4,5,3,1.6941647950203216,0.30583520497967864,1.7308617452482193,False
7462,2;7;13;41,4,3,1,1.7806327207593935,0.21936727924060664,1.8557554995750758,False
7482,2;3;29;43,4,5,3,1.6943048838364714,0.30569511616352835,1.730987693991587,False
7526,2;53;71,3,3,1,1.7808196030009742,0.2191803969990259,1.8558835633347173,False
7590,2;3;5;11;23,5,7,5,1.6423122683499298,0.35768773165007006,1.6659142987747475,False
7626,2;3;31;41,4,5,3,1.694857324820546,0.30514267517945376,1.7314843491640253,False
7638,2;3;19;67,4,5,3,1.6949028005758722,0.3050971994241276,1.731525231019923,False
7670,2;5;13;59,4,3,1,1.781233207128434,0.21876679287156608,1.856166958818456,False
7714,2;7;19;29,4,3,1,1.7813577318733946,0.21864226812660545,1.8562522725188122,False
7738,2;53;73,3,3,1,1.7814252960458359,0.21857470395416437,1.8562985599988941,False
7770,2;3;5;7;37,5,11,9,1.5776836889348758,0.4223163110651242,1.5910372558290735,True
7790,2;5;19;41,4,3,1,1.7815708270521338,0.21842917294786637,1.856398257624018,False
7802,2;47;83,3,3,1,1.7816042457778292,0.2183957542221706,1.8564211507038337,False
7810,2;5;11;71,4,3,1,1.7816264907145287,0.21837350928547153,1.8564363891562308,False
7826,2;7;13;43,4,3,1,1.7816708987539875,0.21832910124601218,1.8564668096124304,False
7854,2;3;7;11;17,5,5,3,1.6957071230193188,0.30429287698068136,1.732248258380946,False
