scale,sector,theta_center,center_number,q,r,population,n,mean,sd,p05,median,p95,mean_theta,mean_wrong_theta
12,0,0.03125,4058403663847,1999957,1999891,raw,3999915,0.272785360430328,0.3509147527182029,-0.0006258158713229196,0.21874384361705182,0.8431265116488016,0.031249999995132442,0.5599619029698109
12,0,0.03125,4058403663847,1999957,1999891,prime,137917,0.27378899324248285,0.35163732183587726,-0.0006335031038435874,0.22035745859189912,0.8443010333188724,0.03125005881659256,0.5599619903121646
12,0,0.03125,4058403663847,1999957,1999891,composite,3861998,0.27274951938987335,0.35088886822496546,-0.0006255159912323828,0.2186820648014342,0.8430944409888192,0.03124999789454116,0.5599618998507012
12,1,0.09375,4054616072933,1999957,1999891,raw,3999915,0.16340529464429773,0.39248666089655365,-0.8187842366310236,0.1562405310485349,0.7243685113019301,0.09375000000289865,0.652766418237547
12,1,0.09375,4054616072933,1999957,1999891,prime,138161,0.16250641142278804,0.3936588263471838,-0.8188191008004596,0.15588565570842486,0.7233217346095281,0.09375003293453066,0.6527664671368136
12,1,0.09375,4054616072933,1999957,1999891,composite,3861754,0.16343745376286586,0.3924446216122202,-0.8187826373539804,0.15625287459512993,0.7244073545261194,0.09374999882471197,0.6527664164880904
12,2,0.15625,4050828482020,1999957,1999891,raw,3999915,0.06965547304058152,0.3857384531462993,-0.7094021710344066,0.09375371894203367,0.6056103862999848,0.1562499999941636,0.745570933480781
12,2,0.15625,4050828482020,1999957,1999891,prime,137908,0.06868387516812463,0.3859150838930545,-0.7094060023255804,0.09276162249886649,0.6061403102100309,0.15624998461266637,0.7455709106412227
12,2,0.15625,4050828482020,1999957,1999891,composite,3862007,0.06969016772637436,0.3857320991064634,-0.7094020049921876,0.09379016154362868,0.6055913403981186,0.1562500005434199,0.7455709342963563
12,3,0.21875,4047040891106,1999957,1999891,raw,3999915,-0.008464104408360528,0.34934391956109945,-0.6078337222041084,0.03125059356074277,0.48685197038833056,0.21875000000192982,0.8383754487485172
12,3,0.21875,4047040891106,1999957,1999891,prime,138071,-0.008316441220748184,0.34937629211542626,-0.6078378285879886,0.03178021759154849,0.48720261809584564,0.21875003434749316,0.8383754997472912
12,3,0.21875,4047040891106,1999957,1999891,composite,3861844,-0.008469383752626349,0.3493427609466158,-0.6078335506448701,0.031229968588268996,0.48683845286776484,0.21874999877398632,0.8383754469251781
12,4,0.28125,4043253300193,1999957,1999891,raw,3999915,-0.07096908580517612,0.29324874953690283,-0.5141041909144579,-0.03125278141951745,0.36812530737775995,0.2812499999931948,0.9311799639917512
12,4,0.28125,4043253300193,1999957,1999891,prime,137631,-0.07079847738201879,0.29311181047992113,-0.5140779737908872,-0.0314169370281514,0.3687815609467622,0.28124998508299254,0.9311799418520054
12,4,0.28125,4043253300193,1999957,1999891,composite,3862284,-0.07097516537050264,0.293253626295921,-0.5141049529263199,-0.031247530744472285,0.3681040203894737,0.2812500005245141,0.9311799647806924
12,5,0.34375,4039465709279,1999957,1999891,raw,3999915,-0.11784990238686066,0.22452460145786535,-0.42818088958733763,-0.09375615631477117,0.24936696699944602,0.343750000000961,0.0239844792594874
12,5,0.34375,4039465709279,1999957,1999891,prime,137975,-0.11849930931924216,0.22420663918915235,-0.42822083561958924,-0.09405279178571942,0.2476953523365905,0.3437499862851416,0.023984458893247775
12,5,0.34375,4039465709279,1999957,1999891,composite,3861940,-0.11782670111457383,0.22453591817132512,-0.4281797559167301,-0.09374615334655728,0.24943097635318207,0.34375000049098425,0.023984479987109245
12,6,0.40625,4035678118366,1999957,1999891,raw,3999915,-0.1490880433302625,0.15040408608009817,-0.3500491003447062,-0.156253336761254,0.13064022298691932,0.406249999992226,0.11678899450272136
12,6,0.40625,4035678118366,1999957,1999891,prime,137692,-0.14892339225925433,0.15064124697926037,-0.35006844222346634,-0.1563938030030238,0.13121697273977473,0.40624995531918395,0.11678892816896123
12,6,0.40625,4035678118366,1999957,1999891,composite,3862223,-0.14909391330081295,0.1503956208319564,-0.35004818489923334,-0.15624771815724667,0.13062017114620295,0.4062500015848633,0.1167889968675843
12,7,0.46875,4031890527452,1999957,1999891,raw,3999915,-0.16471678602057255,0.08661975893094624,-0.279730879192494,-0.18457730802938171,0.011881952531919667,0.4687499999999922,0.20959350977045751
12,7,0.46875,4031890527452,1999957,1999891,prime,137861,-0.16470331502737529,0.0864279720617683,-0.27961152139824147,-0.1844642109286346,0.011348667581688463,0.4687499771859185,0.2095934758944728
12,7,0.46875,4031890527452,1999957,1999891,composite,3862054,-0.16471726688505373,0.08662659712298669,-0.27973553876326585,-0.18458168269685138,0.011900771944722955,0.46875000081436996,0.20959351097970452
12,8,0.53125,4028102936538,1999957,1999891,raw,3999915,-0.16471528454781142,0.08661642497227144,-0.2797282880291686,-0.18457221321868214,0.011874462460383093,0.5312500000077585,0.3023980250381937
12,8,0.53125,4028102936538,1999957,1999891,prime,137799,-0.16479088929731037,0.08651770752305468,-0.27974634121018915,-0.18455833917427106,0.011410095330825328,0.5312499845480722,0.30239800208253453
12,8,0.53125,4028102936538,1999957,1999891,composite,3862116,-0.16471258699577618,0.08661994387972628,-0.2797276239146467,-0.18457282309428197,0.01189178182823477,0.5312500005593548,0.3023980258572439
12,9,0.59375,4024315345625,1999957,1999891,raw,3999915,-0.14908353888311995,0.1503937187751687,-0.35002474126044436,-0.15624702593213843,0.1306325477821126,0.5937499999990233,0.3952025402814276
12,9,0.59375,4024315345625,1999957,1999891,prime,137825,-0.14859297470928456,0.15064690536787478,-0.3499307342387208,-0.1561125403483916,0.13176088049827672,0.5937500490675317,0.3952026131418942
12,9,0.59375,4024315345625,1999957,1999891,composite,3862090,-0.1491010454682226,0.1503846459472398,-0.3500278124673525,-0.15625096338788041,0.13059498407951545,0.5937499982479333,0.39520253768128266
12,10,0.65625,4020527754711,1999957,1999891,raw,3999915,-0.11783455499470412,0.2245143602364802,-0.42815399766318296,-0.09374365472716512,0.24935943591919285,0.6562500000067895,0.48800705554916385
12,10,0.65625,4020527754711,1999957,1999891,prime,137630,-0.11805683743773222,0.22476697752850072,-0.4281623440006449,-0.09369760047609602,0.24989969601012674,0.6562499710916552,0.4880070126138834
12,10,0.65625,4020527754711,1999957,1999891,composite,3862285,-0.11782663410522187,0.22450534907854167,-0.4281536037479459,-0.09374553020569933,0.24933953303609718,0.6562500010371615,0.4880070570791345
12,11,0.71875,4016740163798,1999957,1999891,raw,3999915,-0.07096404850736836,0.29324089720286506,-0.5140968215886977,-0.0312569063945107,0.368117536288066,0.7187499999980544,0.5808115707923978
12,11,0.71875,4016740163798,1999957,1999891,prime,137804,-0.07174947209895127,0.29296559660899313,-0.5141146512738829,-0.031530821493737274,0.3669426582090088,0.7187500207698634,0.5808116016358802
12,11,0.71875,4016740163798,1999957,1999891,composite,3862111,-0.0709360238046567,0.29325067656034154,-0.5140961693232264,-0.03124884332972724,0.36816112903116355,0.7187499992568955,0.5808115696918712
