terminal_prime,depth,forward_gate,reverse_gate,forward_survivors,reverse_survivors,hamming_fraction,completion
5,1,2,5,15,24,0.5,False
5,2,3,3,10,16,0.3333333333333333,False
5,3,5,2,8,8,0.0,True
7,1,2,7,105,180,0.5,False
7,2,3,5,70,144,0.5619047619047619,False
7,3,5,3,56,96,0.26666666666666666,False
7,4,7,2,48,48,0.0,True
11,1,2,11,1155,2100,0.5,False
11,2,3,7,770,1800,0.5930735930735931,False
11,3,5,5,616,1440,0.47445887445887447,False
11,4,7,3,528,960,0.22857142857142856,False
11,5,11,2,480,480,0.0,True
13,1,2,13,15015,27720,0.5,False
13,2,3,11,10010,25200,0.6130536130536131,False
13,3,5,7,8008,21600,0.6023310023310023,False
13,4,7,5,6864,17280,0.4203796203796204,False
13,5,11,3,6240,11520,0.2077922077922078,False
13,6,13,2,5760,5760,0.0,True
17,1,2,17,255255,480480,0.5,False
17,2,3,13,170170,443520,0.6229260935143288,False
17,3,5,11,136136,403200,0.6352392705333881,False
17,4,7,7,116688,345600,0.5444908033143327,False
17,5,11,5,106080,276480,0.38831756478815305,False
17,6,13,3,97920,184320,0.1918081918081918,False
17,7,17,2,92160,92160,0.0,True
